--------------------
BDMEP - INMET
--------------------
Estação           : CACERES - MT (OMM: 83405)
Latitude  (graus) : -16.05
Longitude (graus) : -57.68
Altitude  (metros): 118.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83405;01/01/1961;0000;28.8;;24.58;90.25;1.233333;
83405;01/01/1961;1200;;23.2;;;;
83405;02/01/1961;0000;34.1;;26.62;80.5;1.166667;
83405;02/01/1961;1200;;22.2;;;;
83405;03/01/1961;0000;30;;26.18;87;1.2;
83405;03/01/1961;1200;;24;;;;
83405;04/01/1961;0000;32.2;;25.84;87.5;1.2;
83405;04/01/1961;1200;;23.2;;;;
83405;05/01/1961;0000;31.2;;25.92;85.75;1.233333;
83405;05/01/1961;1200;;22.8;;;;
83405;06/01/1961;0000;26.5;;24.38;91.75;1.233333;
83405;06/01/1961;1200;;23;;;;
83405;07/01/1961;0000;31.8;;26.24;83.5;1.366667;
83405;07/01/1961;1200;;21.8;;;;
83405;08/01/1961;0000;33.4;;27.76;83.25;3.3;
83405;08/01/1961;1200;;23.4;;;;
83405;09/01/1961;0000;32.4;;27.42;79.5;1.233333;
83405;09/01/1961;1200;;23.6;;;;
83405;10/01/1961;0000;33.1;;27.6;80.75;1.266667;
83405;10/01/1961;1200;;23.5;;;;
83405;11/01/1961;0000;31.2;;26.72;86;0.8;
83405;11/01/1961;1200;;24.4;;;;
83405;12/01/1961;0000;33.8;;27.96;77.25;1.233333;
83405;12/01/1961;1200;;24;;;;
83405;13/01/1961;0000;33.8;;27.02;81.25;1.266667;
83405;13/01/1961;1200;;23.8;;;;
83405;14/01/1961;0000;30.6;;25.7;85.25;1.366667;
83405;14/01/1961;1200;;23.3;;;;
83405;15/01/1961;0000;33.7;;26.26;82.75;1.2;
83405;15/01/1961;1200;;22.2;;;;
83405;16/01/1961;0000;32.4;;26.78;78;1.233333;
83405;16/01/1961;1200;;23.7;;;;
83405;17/01/1961;0000;33;;26.68;85.5;1.266667;
83405;17/01/1961;1200;;23.8;;;;
83405;18/01/1961;0000;32.8;;26.48;87;1.2;
83405;18/01/1961;1200;;23.8;;;;
83405;19/01/1961;0000;33.2;;27.46;77;1.2;
83405;19/01/1961;1200;;22.6;;;;
83405;20/01/1961;0000;34;;28.02;76;0.766667;
83405;20/01/1961;1200;;22.8;;;;
83405;21/01/1961;0000;34.9;;28.8;76;1.333333;
83405;21/01/1961;1200;;23.3;;;;
83405;22/01/1961;0000;32;;28.08;84;0.833333;
83405;22/01/1961;1200;;24.8;;;;
83405;23/01/1961;0000;33.2;;27.78;80;1.266667;
