--------------------
BDMEP - INMET
--------------------
Estação           : RONDONOPOLIS - MT (OMM: 83410)
Latitude  (graus) : -16.45
Longitude (graus) : -54.56
Altitude  (metros): 284.00
Estação Operante
Inicio de operação: 01/01/1992
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83410;01/01/1995;0000;29.2;;24.82;91;0.3;
83410;01/01/1995;1200;;21.5;;;;
83410;02/01/1995;0000;31;;25;91;0.366667;
83410;02/01/1995;1200;;22.7;;;;
83410;03/01/1995;0000;32;;25.48;93.75;0.166667;
83410;03/01/1995;1200;;22.5;;;;
83410;04/01/1995;0000;30.2;;24.54;96.75;0.366667;
83410;04/01/1995;1200;;22.2;;;;
83410;05/01/1995;0000;32;;26;91.25;0.466667;
83410;05/01/1995;1200;;21.9;;;;
83410;06/01/1995;0000;29.8;;24.64;92.5;0.466667;
83410;06/01/1995;1200;;21.7;;;;
83410;07/01/1995;0000;31.6;;25.52;92.75;0.433333;
83410;07/01/1995;1200;;22.5;;;;
83410;08/01/1995;0000;27;;24.08;92.25;0.366667;
83410;08/01/1995;1200;;22.7;;;;
83410;09/01/1995;0000;30.2;;25.04;87.75;0.633333;
83410;09/01/1995;1200;;22.5;;;;
83410;10/01/1995;0000;28;;23.18;95.5;0.4;
83410;10/01/1995;1200;;20.9;;;;
83410;11/01/1995;0000;31.2;;24.56;89.25;0.4;
83410;11/01/1995;1200;;20.9;;;;
83410;12/01/1995;0000;33.6;;26.72;80.25;0.266667;
83410;12/01/1995;1200;;22.3;;;;
83410;13/01/1995;0000;34.6;;26.28;76.5;0.3;
83410;13/01/1995;1200;;21.3;;;;
83410;14/01/1995;0000;34.2;;26.6;78.75;0.333333;
83410;14/01/1995;1200;;21.3;;;;
83410;15/01/1995;0000;35.2;;27.84;73;0.333333;
83410;15/01/1995;1200;;22.3;;;;
83410;16/01/1995;0000;34.8;;27.16;70.5;0.4;
83410;16/01/1995;1200;;20.7;;;;
83410;17/01/1995;0000;34.4;;27.28;69.25;0.2;
