--------------------
BDMEP - INMET
--------------------
Estação           : UNAI - MG (OMM: 83428)
Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Altitude  (metros): 460.00
Estação Operante
Inicio de operação: 07/04/1976
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83428;01/05/1978;0000;30.2;;23.08;78;1.666667;
83428;01/05/1978;1200;;15.4;;;;
83428;02/05/1978;0000;27.4;;20.76;67.75;1.666667;
83428;02/05/1978;1200;;16.2;;;;
83428;03/05/1978;0000;28.6;;20.16;69.75;0.666667;
83428;03/05/1978;1200;;12.4;;;;
83428;04/05/1978;0000;29.6;;21.84;70.5;1;
83428;04/05/1978;1200;;14.4;;;;
83428;05/05/1978;0000;27.8;;21.64;78;1;
83428;05/05/1978;1200;;16.8;;;;
83428;06/05/1978;0000;29;;22;88.25;1;
83428;06/05/1978;1200;;17;;;;
83428;07/05/1978;0000;29.6;;22.68;80;1;
83428;07/05/1978;1200;;17.6;;;;
83428;08/05/1978;0000;30.4;;22.16;70.25;0.666667;
83428;08/05/1978;1200;;17;;;;
83428;09/05/1978;0000;30;;21.4;67.5;0.666667;
83428;09/05/1978;1200;;12.4;;;;
83428;10/05/1978;0000;28.8;;22.16;65.75;2.333333;
83428;10/05/1978;1200;;15.8;;;;
83428;11/05/1978;0000;27.2;;20.84;65.5;3;
83428;11/05/1978;1200;;15.4;;;;
83428;12/05/1978;0000;25;;19.72;65.25;3.666667;
83428;12/05/1978;1200;;11.8;;;;
83428;13/05/1978;0000;27;;20.2;74.5;1.666667;
83428;13/05/1978;1200;;12.8;;;;
83428;14/05/1978;0000;29.4;;21.52;67;2.066667;
83428;14/05/1978;1200;;13.4;;;;
83428;15/05/1978;0000;29.4;;22.8;64.5;2;
83428;15/05/1978;1200;;15;;;;
83428;16/05/1978;0000;29.2;;22.96;68.75;0.666667;
83428;16/05/1978;1200;;17.2;;;;
83428;17/05/1978;0000;29.8;;22.88;71.25;1.333333;
83428;17/05/1978;1200;;16.4;;;;
83428;18/05/1978;0000;30.2;;21.96;71.5;1.333333;
83428;18/05/1978;1200;;11.8;;;;
83428;19/05/1978;0000;31.8;;24.44;65.5;1.333333;
83428;19/05/1978;1200;;16.8;;;;
83428;20/05/1978;0000;31.2;;23.48;75.5;1.666667;
83428;20/05/1978;1200;;18.8;;;;
83428;21/05/1978;0000;30.2;;22.96;73.25;0.666667;
83428;21/05/1978;1200;;17.8;;;;
83428;22/05/1978;0000;24.2;;20.88;86.5;1;
83428;22/05/1978;1200;;19.4;;;;
83428;23/05/1978;0000;26.8;;21.76;78;2;
83428;23/05/1978;1200;;18.8;;;;
83428;24/05/1978;0000;29.6;;21.44;72;0.666667;
83428;24/05/1978;1200;;14.2;;;;
83428;25/05/1978;0000;29.6;;22.16;76.5;1.333333;
83428;25/05/1978;1200;;16.6;;;;
83428;26/05/1978;0000;30.2;;20.76;85.75;0.666667;
83428;26/05/1978;1200;;16;;;;
83428;27/05/1978;0000;30.4;;21.76;76.25;2;
83428;27/05/1978;1200;;17.2;;;;
83428;28/05/1978;0000;26.6;;21.6;84.75;1.333333;
83428;28/05/1978;1200;;18;;;;
83428;29/05/1978;0000;30.2;;22.8;79.5;1.666667;
83428;29/05/1978;1200;;17.2;;;;
83428;30/05/1978;0000;26.4;;21.44;85.5;1.666667;
83428;30/05/1978;1200;;18;;;;
83428;31/05/1978;0000;25.2;;20.32;80.25;0.666667;
83428;31/05/1978;1200;;17.8;;;;
83428;01/06/1978;0000;23.4;;17.72;67;1;
83428;01/06/1978;1200;;13.6;;;;
83428;02/06/1978;0000;26.6;;19.08;79.25;0.666667;
83428;02/06/1978;1200;;11.8;;;;
83428;03/06/1978;0000;30.4;;21.92;79.75;0.333333;
83428;03/06/1978;1200;;15.2;;;;
83428;04/06/1978;0000;27.6;;21.24;77.25;1.333333;
83428;04/06/1978;1200;;16.6;;;;
83428;05/06/1978;0000;28.2;;21;80.75;1.333333;
83428;05/06/1978;1200;;15.8;;;;
83428;06/06/1978;0000;28.6;;21.6;77;2;
83428;06/06/1978;1200;;15.8;;;;
83428;07/06/1978;0000;26.8;;20.92;79.25;0.333333;
83428;07/06/1978;1200;;14.8;;;;
83428;08/06/1978;0000;29.2;;21.32;76;1;
83428;08/06/1978;1200;;15.4;;;;
83428;09/06/1978;0000;29.6;;21.88;75.25;0.333333;
83428;09/06/1978;1200;;15.8;;;;
83428;10/06/1978;0000;28.8;;21.84;77.25;0.333333;
83428;10/06/1978;1200;;17.2;;;;
83428;11/06/1978;0000;28;;22;75.25;2.666667;
83428;11/06/1978;1200;;16.2;;;;
83428;12/06/1978;0000;26.2;;21;74;2;
83428;12/06/1978;1200;;16.2;;;;
83428;13/06/1978;0000;26.6;;19.64;72.5;0.666667;
83428;13/06/1978;1200;;13.6;;;;
83428;14/06/1978;0000;26.6;;18.24;72.75;0;
83428;14/06/1978;1200;;11.2;;;;
83428;15/06/1978;0000;25.8;;17.44;73.5;1;
83428;15/06/1978;1200;;9.8;;;;
83428;16/06/1978;0000;27.2;;18.8;78.5;1.666667;
83428;16/06/1978;1200;;11.2;;;;
83428;17/06/1978;0000;28.4;;19.44;73.5;0;
83428;17/06/1978;1200;;12.6;;;;
83428;18/06/1978;0000;29;;18.8;72.5;0.333333;
83428;18/06/1978;1200;;12.4;;;;
83428;19/06/1978;0000;26;;19.24;80.75;1.666667;
83428;19/06/1978;1200;;12.2;;;;
83428;20/06/1978;0000;27;;19.52;74.25;2.333333;
83428;20/06/1978;1200;;13;;;;
83428;21/06/1978;0000;27.2;;18.56;76;1.666667;
83428;21/06/1978;1200;;10.4;;;;
83428;22/06/1978;0000;25.8;;18.92;78.75;1.666667;
83428;22/06/1978;1200;;10.8;;;;
83428;23/06/1978;0000;25.2;;18.6;66;2;
83428;23/06/1978;1200;;11;;;;
83428;24/06/1978;0000;25.4;;18.56;60.5;1.333333;
83428;24/06/1978;1200;;10.4;;;;
83428;25/06/1978;0000;27.1;;17.62;75.5;1.333333;
83428;25/06/1978;1200;;10;;;;
83428;26/06/1978;0000;26.8;;18.12;72;1;
83428;26/06/1978;1200;;10.8;;;;
83428;27/06/1978;0000;26.8;;18.16;72.5;0.833333;
83428;27/06/1978;1200;;9.8;;;;
83428;28/06/1978;0000;26.8;;18.64;61.25;1.333333;
83428;28/06/1978;1200;;9.6;;;;
83428;29/06/1978;0000;26.6;;18.44;58.75;1.666667;
83428;29/06/1978;1200;;9.6;;;;
83428;30/06/1978;0000;26.4;;16.16;70.5;1.666667;
83428;30/06/1978;1200;;8.4;;;;
83428;01/07/1978;0000;27.2;;19.16;66;1.666667;
83428;01/07/1978;1200;;11.8;;;;
83428;02/07/1978;0000;27.4;;19.12;64;1;
