--------------------
BDMEP - INMET
--------------------
Estação           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83437;01/01/1961;0000;28.2;;24.7;80;1;
83437;01/01/1961;1200;;23;;;;
83437;02/01/1961;0000;25.6;;21.62;93.25;0.333333;
83437;02/01/1961;1200;;18.2;;;;
83437;03/01/1961;0000;26.2;;22.36;92;0.333333;
83437;03/01/1961;1200;;20.9;;;;
83437;04/01/1961;0000;27.2;;23.5;85.25;0.333333;
83437;04/01/1961;1200;;21;;;;
83437;05/01/1961;0000;26.8;;22.86;89.25;0.333333;
83437;05/01/1961;1200;;21.2;;;;
83437;06/01/1961;0000;25.8;;22.68;91;0.333333;
83437;06/01/1961;1200;;21.5;;;;
83437;07/01/1961;0000;28;;23.36;86.25;0.333333;
83437;07/01/1961;1200;;20.7;;;;
83437;08/01/1961;0000;26.8;;23.04;91.5;0.333333;
83437;08/01/1961;1200;;21.3;;;;
83437;09/01/1961;0000;32.4;;25.86;72;0.333333;
83437;09/01/1961;1200;;22.8;;;;
83437;10/01/1961;0000;28;;22.8;89;0;
83437;10/01/1961;1200;;21.1;;;;
83437;11/01/1961;0000;27.6;;23.5;89;0;
83437;11/01/1961;1200;;21.8;;;;
83437;12/01/1961;0000;21;;19.72;97;0;
83437;12/01/1961;1200;;19.3;;;;
83437;13/01/1961;0000;25.4;;21.4;86;0.333333;
83437;13/01/1961;1200;;18.9;;;;
83437;14/01/1961;0000;26.2;;22.66;83.5;0;
83437;14/01/1961;1200;;21;;;;
83437;15/01/1961;0000;27;;22.26;88;0.666667;
83437;15/01/1961;1200;;20.8;;;;
83437;16/01/1961;0000;30.4;;24.38;71.75;0.333333;
83437;16/01/1961;1200;;21.4;;;;
83437;17/01/1961;0000;30.4;;24.5;73.25;0.666667;
83437;17/01/1961;1200;;21.2;;;;
83437;18/01/1961;0000;31.6;;24.5;71.5;0.666667;
83437;18/01/1961;1200;;21;;;;
83437;19/01/1961;0000;31.4;;24.7;74.5;0.666667;
83437;19/01/1961;1200;;21.4;;;;
83437;20/01/1961;0000;29.7;;23.92;82;0.666667;
83437;20/01/1961;1200;;21;;;;
83437;21/01/1961;0000;26.8;;22.56;90;0;
83437;21/01/1961;1200;;20.1;;;;
83437;22/01/1961;0000;28.6;;23.38;81;0.666667;
83437;22/01/1961;1200;;21.4;;;;
83437;23/01/1961;0000;28.4;;24.34;84;0.666667;
83437;23/01/1961;1200;;21.8;;;;
83437;24/01/1961;0000;26.4;;22.72;91.75;0.333333;
83437;24/01/1961;1200;;21.5;;;;
83437;25/01/1961;0000;26.4;;22.5;85.5;0;
83437;25/01/1961;1200;;20.8;;;;
83437;26/01/1961;0000;31.8;;24.2;86.25;0.333333;
83437;26/01/1961;1200;;21.5;;;;
83437;27/01/1961;0000;26;;22.16;95;0.333333;
83437;27/01/1961;1200;;20.9;;;;
