--------------------
BDMEP - INMET
--------------------
Estação           : SALINAS - MG (OMM: 83441)
Latitude  (graus) : -16.15
Longitude (graus) : -42.28
Altitude  (metros): 471.32
Estação Operante
Inicio de operação: 05/03/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83441;01/01/1961;0000;31.6;;26.72;56.75;1;
83441;01/01/1961;1200;;20;;;;
83441;02/01/1961;0000;31.6;;25.36;72.75;0.666667;
83441;02/01/1961;1200;;20.2;;;;
83441;03/01/1961;0000;30.6;;25.48;72;0.666667;
83441;03/01/1961;1200;;18.6;;;;
83441;04/01/1961;0000;30.4;;25.4;73.25;1;
83441;04/01/1961;1200;;21.8;;;;
83441;05/01/1961;0000;32.4;;25.4;72.5;1;
83441;05/01/1961;1200;;20;;;;
83441;06/01/1961;0000;33.4;;26;68.75;0.666667;
83441;06/01/1961;1200;;20.2;;;;
83441;07/01/1961;0000;31.8;;24.96;72;2.666667;
83441;07/01/1961;1200;;19.4;;;;
83441;08/01/1961;0000;33.6;;25.52;72.5;1.333333;
83441;08/01/1961;1200;;19.8;;;;
83441;09/01/1961;0000;34;;27.64;70.5;2;
83441;09/01/1961;1200;;23;;;;
83441;10/01/1961;0000;31.8;;25.64;73.25;1.666667;
83441;10/01/1961;1200;;23;;;;
83441;11/01/1961;0000;35.2;;27.16;73.5;2.333333;
83441;11/01/1961;1200;;23;;;;
83441;12/01/1961;0000;35;;24.68;81;1.666667;
83441;12/01/1961;1200;;19.8;;;;
83441;13/01/1961;0000;30;;25.44;74.25;1.666667;
83441;13/01/1961;1200;;19;;;;
83441;14/01/1961;0000;32.4;;25.92;65.25;1;
83441;14/01/1961;1200;;19.2;;;;
83441;15/01/1961;0000;30.4;;24.6;76.75;1.333333;
83441;15/01/1961;1200;;19;;;;
83441;16/01/1961;0000;33;;26.28;69.5;1;
83441;16/01/1961;1200;;21;;;;
83441;17/01/1961;0000;31.8;;26.16;72.5;2;
83441;17/01/1961;1200;;21.2;;;;
83441;18/01/1961;0000;28.2;;25.6;63.25;2.666667;
