--------------------
BDMEP - INMET
--------------------
Estação           : ARACUAI - MG (OMM: 83442)
Latitude  (graus) : -16.83
Longitude (graus) : -42.05
Altitude  (metros): 289.00
Estação Operante
Inicio de operação: 06/09/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83442;01/01/1961;0000;31.8;;25.68;70.25;2;
83442;01/01/1961;1200;;21.2;;;;
83442;02/01/1961;0000;28.1;;24.36;78.75;2;
83442;02/01/1961;1200;;21.5;;;;
83442;03/01/1961;0000;30.3;;25.3;70.5;2;
83442;03/01/1961;1200;;20.8;;;;
83442;04/01/1961;0000;29.8;;24.54;75.75;2;
83442;04/01/1961;1200;;21.5;;;;
83442;05/01/1961;0000;29.3;;24.3;80.75;2;
83442;05/01/1961;1200;;21.2;;;;
83442;06/01/1961;0000;31.4;;25.38;74.5;2;
83442;06/01/1961;1200;;22.5;;;;
83442;07/01/1961;0000;29.6;;25.26;74.75;2;
83442;07/01/1961;1200;;21.5;;;;
83442;08/01/1961;0000;32.3;;26.3;68;2;
83442;08/01/1961;1200;;22.6;;;;
83442;09/01/1961;0000;32.5;;26.06;70;2;
83442;09/01/1961;1200;;22.4;;;;
83442;10/01/1961;0000;31.3;;25.06;71.25;2;
83442;10/01/1961;1200;;21;;;;
83442;11/01/1961;0000;27.8;;23.92;78.25;2;
83442;11/01/1961;1200;;20.8;;;;
83442;12/01/1961;0000;26.6;;22.6;86.25;2;
83442;12/01/1961;1200;;20.4;;;;
83442;13/01/1961;0000;30.5;;23.86;78;2;
83442;13/01/1961;1200;;20.6;;;;
83442;14/01/1961;0000;30.6;;24.92;74.25;2;
83442;14/01/1961;1200;;21;;;;
83442;15/01/1961;0000;30.5;;24.92;76.5;2;
83442;15/01/1961;1200;;20.5;;;;
83442;16/01/1961;0000;32.1;;24.52;73;2;
83442;16/01/1961;1200;;20.5;;;;
83442;17/01/1961;0000;33.3;;24.66;67.75;2;
83442;17/01/1961;1200;;19;;;;
83442;18/01/1961;0000;30.7;;25.08;74.75;2;
83442;18/01/1961;1200;;19.7;;;;
83442;19/01/1961;0000;31.7;;25.36;69.75;2;
83442;19/01/1961;1200;;20.5;;;;
83442;20/01/1961;0000;30.6;;25.02;73.25;2;
83442;20/01/1961;1200;;19.5;;;;
83442;21/01/1961;0000;25.7;;21.94;87.25;2;
83442;21/01/1961;1200;;20;;;;
83442;22/01/1961;0000;30.1;;24.1;81.25;2;
83442;22/01/1961;1200;;19.2;;;;
83442;23/01/1961;0000;32.8;;25.76;66.5;2;
83442;23/01/1961;1200;;21.2;;;;
