--------------------
BDMEP - INMET
--------------------
Estação           : GUARATINGA - BA (OMM: 83446)
Latitude  (graus) : -16.73
Longitude (graus) : -39.54
Altitude  (metros): 194.67
Estação Operante
Inicio de operação: 10/09/1973
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83446;01/01/1977;0000;;;;;3.05;
83446;01/01/1977;1200;;20.1;;;;
83446;02/01/1977;0000;;;;;3.3;
83446;02/01/1977;1200;;21.5;;;;
83446;03/01/1977;0000;;;;;3.9;
83446;03/01/1977;1200;;20.3;;;;
83446;04/01/1977;0000;;;;;2.15;
83446;04/01/1977;1200;;19.4;;;;
83446;05/01/1977;0000;;;;;2.45;
83446;05/01/1977;1200;;19.1;;;;
83446;06/01/1977;0000;;;;;1.8;
83446;06/01/1977;1200;;20.2;;;;
83446;07/01/1977;0000;;;;;3.1;
83446;07/01/1977;1200;;20;;;;
83446;08/01/1977;0000;;;;;4.95;
83446;08/01/1977;1200;;22.9;;;;
83446;09/01/1977;0000;;;;;4.1;
83446;09/01/1977;1200;;21.1;;;;
83446;10/01/1977;0000;31.3;;24.68;76;4.366667;
83446;10/01/1977;1200;;20.5;;;;
83446;11/01/1977;0000;29.5;;24.24;78;4.033333;
83446;11/01/1977;1200;;20.3;;;;
83446;12/01/1977;0000;;;;;0.75;
83446;12/01/1977;1200;;19.3;;;;
83446;13/01/1977;0000;27.6;;23.36;86.25;1.8;
83446;13/01/1977;1200;;20.2;;;;
83446;14/01/1977;0000;30.2;;25.22;73.25;2.166667;
83446;14/01/1977;1200;;20.9;;;;
83446;15/01/1977;0000;31.7;;25;74.25;1.4;
83446;15/01/1977;1200;;20.1;;;;
83446;16/01/1977;0000;32.1;;24.64;71.5;1.833333;
83446;16/01/1977;1200;;18.2;;;;
83446;17/01/1977;0000;32.8;;25.98;68.5;1.8;
83446;17/01/1977;1200;;18.7;;;;
83446;18/01/1977;0000;29;;24.6;89.25;2.133333;
83446;18/01/1977;1200;;21.4;;;;
83446;19/01/1977;0000;31.1;;26.44;69.5;3.1;
83446;19/01/1977;1200;;21.1;;;;
83446;20/01/1977;0000;29.1;;25.2;76.25;4.1;
83446;20/01/1977;1200;;22.3;;;;
83446;21/01/1977;0000;;;;;3.2;
83446;21/01/1977;1200;;22.2;;;;
83446;22/01/1977;0000;29.7;;24.78;93.5;1.1;
83446;22/01/1977;1200;;21.2;;;;
83446;23/01/1977;0000;30.2;;25.1;91.75;1.733333;
83446;23/01/1977;1200;;22.5;;;;
83446;24/01/1977;0000;27.4;;23.72;94.75;0.6;
83446;24/01/1977;1200;;19.6;;;;
83446;25/01/1977;0000;28;;23.58;91.25;1.6;
83446;25/01/1977;1200;;20.9;;;;
83446;26/01/1977;0000;31.1;;25.08;75.5;2.933333;
83446;26/01/1977;1200;;20.1;;;;
83446;27/01/1977;0000;32.3;;25.94;72.5;2.466667;
83446;27/01/1977;1200;;20.4;;;;
83446;28/01/1977;0000;31.5;;25.44;74.5;2.733333;
83446;28/01/1977;1200;;19.4;;;;
83446;29/01/1977;0000;28.5;;24.92;77.25;3;
83446;29/01/1977;1200;;22.5;;;;
83446;30/01/1977;0000;32.4;;26;73;3.366667;
83446;30/01/1977;1200;;21.1;;;;
83446;31/01/1977;0000;30.9;;24.48;81;2.366667;
83446;31/01/1977;1200;;20.5;;;;
83446;01/02/1977;0000;28.7;;24.02;80;0.866667;
83446;01/02/1977;1200;;18.8;;;;
83446;02/02/1977;0000;28.7;;;;2.05;
83446;03/02/1977;0000;30.8;;25;77.25;2.866667;
83446;03/02/1977;1200;;21.3;;;;
83446;04/02/1977;0000;30.1;;24.48;78.25;2.1;
83446;04/02/1977;1200;;20.3;;;;
83446;05/02/1977;0000;28.9;;23.66;79.25;2.466667;
83446;05/02/1977;1200;;19.7;;;;
83446;06/02/1977;0000;29.4;;24.6;80;3.166667;
83446;06/02/1977;1200;;20.7;;;;
83446;07/02/1977;0000;30.6;;24.86;72.5;2.9;
83446;07/02/1977;1200;;20.1;;;;
83446;08/02/1977;0000;30.3;;24.6;84.5;2.533333;
83446;08/02/1977;1200;;20.1;;;;
83446;09/02/1977;0000;31.1;;25.04;78;2.8;
83446;09/02/1977;1200;;19.7;;;;
83446;10/02/1977;0000;30.1;;24.96;77.75;2.7;
83446;10/02/1977;1200;;21.1;;;;
83446;11/02/1977;0000;27.8;;23.78;88.5;3.666667;
83446;11/02/1977;1200;;20.3;;;;
83446;12/02/1977;0000;27.9;;24.36;83.75;1.8;
83446;12/02/1977;1200;;20.9;;;;
83446;13/02/1977;0000;30.1;;25.12;79;3.2;
83446;13/02/1977;1200;;20.9;;;;
83446;14/02/1977;0000;27.3;;24.44;89.25;2.566667;
83446;14/02/1977;1200;;21.7;;;;
83446;15/02/1977;0000;26.5;;23.14;93.75;3;
83446;15/02/1977;1200;;21.2;;;;
83446;16/02/1977;0000;27.9;;23.84;86.75;2.466667;
83446;16/02/1977;1200;;19.1;;;;
83446;17/02/1977;0000;28.5;;24.4;80.25;3.6;
83446;17/02/1977;1200;;20.7;;;;
83446;18/02/1977;0000;28.1;;23.04;90;1.7;
83446;18/02/1977;1200;;20.7;;;;
83446;19/02/1977;0000;28.9;;23.8;91;2.033333;
83446;19/02/1977;1200;;19.7;;;;
83446;20/02/1977;0000;28.5;;24.02;86.5;4.566667;
83446;20/02/1977;1200;;19.6;;;;
83446;21/02/1977;0000;27.5;;23.52;91.5;1.366667;
83446;21/02/1977;1200;;19.3;;;;
83446;22/02/1977;0000;28.9;;24.08;89.25;1.466667;
