--------------------
BDMEP - INMET
--------------------
Estação           : JURAMENTO - MG (OMM: 83452)
Latitude  (graus) : -16.77
Longitude (graus) : -43.66
Altitude  (metros): 648.00
Estação Operante
Inicio de operação: 14/11/1986
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83452;01/01/1987;0000;29.2;;23.96;95.25;;
83452;01/01/1987;1200;;19.8;;;;
83452;02/01/1987;0000;32.4;;25.16;94;;
83452;02/01/1987;1200;;17.8;;;;
83452;03/01/1987;0000;32.4;;25.52;92.25;;
83452;03/01/1987;1200;;18;;;;
83452;04/01/1987;0000;31.6;;25.48;89.5;;
83452;04/01/1987;1200;;18;;;;
83452;05/01/1987;0000;32;;24.2;85.5;;
83452;05/01/1987;1200;;18.2;;;;
83452;06/01/1987;0000;30.6;;22.64;89.75;;
83452;06/01/1987;1200;;16;;;;
83452;07/01/1987;0000;33;;24.32;85.5;;
83452;07/01/1987;1200;;15.4;;;;
83452;08/01/1987;0000;31.6;;24.52;91.25;;
83452;08/01/1987;1200;;15.8;;;;
83452;09/01/1987;0000;33;;26.16;90.25;;
83452;09/01/1987;1200;;20.4;;;;
83452;10/01/1987;0000;33.4;;26.2;89.25;;
83452;10/01/1987;1200;;20;;;;
83452;11/01/1987;0000;33;;25.36;91.25;;
83452;11/01/1987;1200;;17;;;;
83452;12/01/1987;0000;34;;26.48;88;;
83452;12/01/1987;1200;;17.4;;;;
83452;13/01/1987;0000;33.6;;26.92;79.75;;
83452;13/01/1987;1200;;18.6;;;;
83452;14/01/1987;0000;33;;25.96;82.5;;
83452;14/01/1987;1200;;17.6;;;;
83452;15/01/1987;0000;34;;25.56;79.75;;
83452;15/01/1987;1200;;18;;;;
83452;16/01/1987;0000;34.5;;24.54;78.75;;
83452;16/01/1987;1200;;15;;;;
83452;17/01/1987;0000;35;;27.08;83.5;;
83452;17/01/1987;1200;;22;;;;
83452;18/01/1987;0000;30;;24.96;86;;
83452;18/01/1987;1200;;19.8;;;;
83452;19/01/1987;0000;28.4;;22.68;96.5;;
83452;19/01/1987;1200;;20;;;;
83452;20/01/1987;0000;30.2;;22.4;86.75;;
83452;20/01/1987;1200;;18;;;;
83452;21/01/1987;0000;29;;21.84;99.25;;
83452;21/01/1987;1200;;18;;;;
83452;22/01/1987;0000;31.8;;23.92;94.75;;
83452;22/01/1987;1200;;18;;;;
83452;23/01/1987;0000;32;;23.68;91;;
83452;23/01/1987;1200;;18.4;;;;
83452;24/01/1987;0000;32;;24.72;92;;
83452;24/01/1987;1200;;19;;;;
83452;25/01/1987;0000;31.4;;24.48;92.25;;
83452;25/01/1987;1200;;20;;;;
83452;26/01/1987;0000;30.4;;24.84;92;;
83452;26/01/1987;1200;;19;;;;
83452;27/01/1987;0000;33.2;;25.64;92;;
83452;27/01/1987;1200;;19.4;;;;
83452;28/01/1987;0000;33.4;;24.52;90;;
83452;28/01/1987;1200;;18.8;;;;
83452;29/01/1987;0000;32.2;;25.44;87.5;;
83452;29/01/1987;1200;;19.8;;;;
83452;30/01/1987;0000;33.2;;25.52;88.25;;
83452;30/01/1987;1200;;17.6;;;;
83452;31/01/1987;0000;31.4;;24.84;89.75;;
83452;31/01/1987;1200;;18;;;;
83452;01/02/1987;0000;32;;24.32;90.5;;
83452;01/02/1987;1200;;17.6;;;;
83452;02/02/1987;0000;33.4;;24.48;88.75;;
83452;02/02/1987;1200;;17.2;;;;
83452;03/02/1987;0000;35.4;;27.24;87.75;;
83452;03/02/1987;1200;;18.8;;;;
83452;04/02/1987;0000;35.2;;26.56;86;;
83452;04/02/1987;1200;;17.4;;;;
83452;05/02/1987;0000;35.2;;26.64;86.25;;
83452;05/02/1987;1200;;18.8;;;;
83452;06/02/1987;0000;35;;26.8;77.25;;
83452;06/02/1987;1200;;17.4;;;;
