--------------------
BDMEP - INMET
--------------------
Estação           : RIO VERDE - GO (OMM: 83470)
Latitude  (graus) : -17.8
Longitude (graus) : -50.91
Altitude  (metros): 774.62
Estação Operante
Inicio de operação: 01/01/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83470;01/11/1971;0000;28.6;;21.92;97;2.5;
83470;01/11/1971;1200;;19;;;;
83470;02/11/1971;0000;30;;22.96;79.25;3.333333;
83470;02/11/1971;1200;;14;;;;
83470;03/11/1971;0000;30.5;;23.46;76;2.666667;
83470;03/11/1971;1200;;18;;;;
83470;04/11/1971;0000;30;;23.48;55.5;1;
83470;04/11/1971;1200;;14.8;;;;
83470;05/11/1971;0000;31;;23.94;57;0;
83470;05/11/1971;1200;;15.9;;;;
83470;06/11/1971;0000;33;;25.76;58;0;
83470;06/11/1971;1200;;20.6;;;;
83470;07/11/1971;0000;31.4;;24.54;56.5;0;
83470;07/11/1971;1200;;18.7;;;;
83470;08/11/1971;0000;30.4;;24.2;66.75;0;
83470;08/11/1971;1200;;20;;;;
83470;09/11/1971;0000;30.2;;23.58;79.25;2.666667;
83470;09/11/1971;1200;;18.8;;;;
83470;10/11/1971;0000;31.5;;23.98;70.75;1;
83470;10/11/1971;1200;;19;;;;
83470;11/11/1971;0000;31.2;;25.28;73.25;2.333333;
83470;11/11/1971;1200;;21.1;;;;
83470;12/11/1971;0000;29;;23.48;80.25;1.666667;
83470;12/11/1971;1200;;20;;;;
83470;13/11/1971;0000;29.2;;22.4;88;0.333333;
83470;13/11/1971;1200;;18.7;;;;
83470;14/11/1971;0000;29;;23.76;63.25;0;
83470;14/11/1971;1200;;19;;;;
83470;15/11/1971;0000;31.4;;24.18;57.25;0;
83470;15/11/1971;1200;;17.5;;;;
83470;16/11/1971;0000;32.8;;25.28;63.25;1;
83470;16/11/1971;1200;;20.2;;;;
83470;17/11/1971;0000;28.9;;23.58;79.75;4.333333;
83470;17/11/1971;1200;;21;;;;
83470;18/11/1971;0000;27.9;;23.2;88.5;0;
83470;18/11/1971;1200;;19.9;;;;
83470;19/11/1971;0000;27;;22.42;84;0;
83470;19/11/1971;1200;;19.6;;;;
83470;20/11/1971;0000;27;;22.48;77.75;0.666667;
83470;20/11/1971;1200;;19.5;;;;
83470;21/11/1971;0000;23.8;;21.32;76.25;0.333333;
83470;21/11/1971;1200;;18;;;;
83470;22/11/1971;0000;25.4;;20.52;77.25;0;
83470;22/11/1971;1200;;17;;;;
83470;23/11/1971;0000;28.5;;19.54;80.5;0;
83470;23/11/1971;1200;;15.8;;;;
83470;24/11/1971;0000;28.5;;22.46;68.75;0.333333;
83470;24/11/1971;1200;;14.4;;;;
83470;25/11/1971;0000;30;;23.08;70.5;2;
83470;25/11/1971;1200;;17;;;;
83470;26/11/1971;0000;30;;24.02;72.25;1.666667;
83470;26/11/1971;1200;;18.5;;;;
83470;27/11/1971;0000;31;;23.52;79.25;3.333333;
83470;27/11/1971;1200;;19;;;;
83470;28/11/1971;0000;29;;22.52;78.5;0.333333;
83470;28/11/1971;1200;;18;;;;
83470;29/11/1971;0000;30.8;;23.54;81.75;1.666667;
83470;29/11/1971;1200;;19.5;;;;
83470;30/11/1971;0000;30;;23.52;72.75;0;
83470;30/11/1971;1200;;19;;;;
83470;01/12/1971;0000;29.8;;23.5;81;0;
83470;01/12/1971;1200;;19.6;;;;
83470;02/12/1971;0000;30.2;;24.3;73.75;1.333333;
83470;02/12/1971;1200;;20.2;;;;
83470;03/12/1971;0000;30.4;;24.56;72.5;4;
83470;03/12/1971;1200;;20.5;;;;
83470;04/12/1971;0000;25;;20.66;89;2.333333;
83470;04/12/1971;1200;;18.5;;;;
83470;05/12/1971;0000;28.8;;21.38;81.25;0;
83470;05/12/1971;1200;;16.2;;;;
83470;06/12/1971;0000;30.7;;23.98;74.75;1.666667;
83470;06/12/1971;1200;;18;;;;
83470;07/12/1971;0000;25.4;;22.34;85.75;0;
83470;07/12/1971;1200;;19.5;;;;
83470;08/12/1971;0000;29.6;;23.18;81;0.666667;
83470;08/12/1971;1200;;19.7;;;;
83470;09/12/1971;0000;27.9;;22.48;84.25;1.333333;
83470;09/12/1971;1200;;19.5;;;;
83470;10/12/1971;0000;26.1;;22.2;89.25;0.333333;
83470;10/12/1971;1200;;19.3;;;;
83470;11/12/1971;0000;27.5;;23.54;89.25;0;
83470;11/12/1971;1200;;19.4;;;;
83470;12/12/1971;0000;28.8;;23.98;84.25;0.333333;
83470;12/12/1971;1200;;21;;;;
83470;13/12/1971;0000;29.4;;23.64;87;0;
83470;13/12/1971;1200;;20;;;;
83470;14/12/1971;0000;26.9;;23.08;88;0;
83470;14/12/1971;1200;;20.5;;;;
83470;15/12/1971;0000;31;;22.94;85;0;
83470;15/12/1971;1200;;18.8;;;;
83470;16/12/1971;0000;24.7;;23.06;84;0.333333;
83470;16/12/1971;1200;;20.3;;;;
83470;17/12/1971;0000;29;;23.06;91.5;1.333333;
83470;17/12/1971;1200;;20.3;;;;
83470;18/12/1971;0000;25;;22.88;86;0.666667;
83470;18/12/1971;1200;;21;;;;
83470;19/12/1971;0000;28.6;;22.94;89.5;0;
83470;19/12/1971;1200;;20.3;;;;
83470;20/12/1971;0000;28;;22.48;89.5;0;
83470;20/12/1971;1200;;19.8;;;;
83470;21/12/1971;0000;26.2;;22.84;;0;
83470;21/12/1971;1200;;20.4;;;;
83470;22/12/1971;0000;27;;21.98;;0;
83470;22/12/1971;1200;;19.7;;;;
83470;23/12/1971;0000;27.5;;22.02;;0.333333;
83470;23/12/1971;1200;;19.8;;;;
83470;24/12/1971;0000;25.8;;21.8;;0;
83470;24/12/1971;1200;;18.7;;;;
83470;25/12/1971;0000;26.5;;21.66;;0.333333;
83470;25/12/1971;1200;;19.3;;;;
83470;26/12/1971;0000;24.8;;21.38;;0.333333;
83470;26/12/1971;1200;;18.3;;;;
83470;27/12/1971;0000;29;;22.2;;0;
83470;27/12/1971;1200;;18.4;;;;
83470;28/12/1971;0000;30;;23.5;;0;
83470;28/12/1971;1200;;18.5;;;;
83470;29/12/1971;0000;31.2;;24.64;;0.333333;
83470;29/12/1971;1200;;18.9;;;;
83470;30/12/1971;0000;31.3;;24.2;;0.333333;
83470;30/12/1971;1200;;18.4;;;;
83470;31/12/1971;0000;31;;24.8;;0;
83470;31/12/1971;1200;;19;;;;
83470;01/01/1972;0000;31.4;;24.42;;0.333333;
83470;01/01/1972;1200;;18.9;;;;
