--------------------
BDMEP - INMET
--------------------
Estação           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Estação Operante
Inicio de operação: 13/05/1918
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83479;03/07/1973;0000;;;;;0;
83479;04/07/1973;0000;28.5;;20.9;70.25;1.4;
83479;04/07/1973;1200;;15.8;;;;
83479;05/07/1973;0000;27.8;;20.4;71.25;1.366667;
83479;05/07/1973;1200;;14.2;;;;
83479;06/07/1973;0000;27.5;;20.62;70.25;3.433333;
83479;06/07/1973;1200;;15.5;;;;
83479;07/07/1973;0000;28.3;;20.1;66;1.7;
83479;07/07/1973;1200;;15.2;;;;
83479;08/07/1973;0000;27.6;;19.9;74.5;0;
83479;08/07/1973;1200;;13;;;;
83479;09/07/1973;0000;27.7;;19.62;68;2.033333;
83479;09/07/1973;1200;;15.2;;;;
83479;10/07/1973;0000;27;;19.54;69;1.366667;
83479;10/07/1973;1200;;13.8;;;;
83479;11/07/1973;0000;27;;19.98;61.5;2.9;
83479;11/07/1973;1200;;11.9;;;;
83479;12/07/1973;0000;27.6;;21.18;64;2.933333;
83479;12/07/1973;1200;;14.9;;;;
83479;13/07/1973;0000;27;;19.6;72.5;1.2;
83479;13/07/1973;1200;;13;;;;
83479;14/07/1973;0000;27.3;;19.56;70.75;2.4;
83479;14/07/1973;1200;;13.9;;;;
83479;15/07/1973;0000;27.8;;20.1;69.5;1.566667;
83479;15/07/1973;1200;;12.1;;;;
83479;16/07/1973;0000;27;;20.52;64;0.333333;
83479;16/07/1973;1200;;13;;;;
83479;17/07/1973;0000;26.6;;20.18;72.25;1.566667;
83479;17/07/1973;1200;;17.3;;;;
83479;18/07/1973;0000;28.4;;20.78;64.25;0.333333;
83479;18/07/1973;1200;;13.9;;;;
83479;19/07/1973;0000;28.4;;20.56;68.75;1.866667;
83479;19/07/1973;1200;;14.8;;;;
83479;20/07/1973;0000;28.9;;21.66;66.75;1.733333;
83479;20/07/1973;1200;;18.6;;;;
83479;21/07/1973;0000;29.3;;21;61.25;2.4;
83479;21/07/1973;1200;;13.5;;;;
83479;22/07/1973;0000;25.8;;19.5;71.5;5.3;
83479;22/07/1973;1200;;15.8;;;;
83479;23/07/1973;0000;24.8;;15.12;53.5;3.433333;
83479;23/07/1973;1200;;8.3;;;;
83479;24/07/1973;0000;25.4;;15.46;60.5;1.5;
83479;24/07/1973;1200;;6.9;;;;
