--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PINHEIRO - MG (OMM: 83481)
Latitude  (graus) : -17.73
Longitude (graus) : -46.17
Altitude  (metros): 760.36
Estação Operante
Inicio de operação: 09/12/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83481;01/01/1961;0000;27;;21.88;84.75;1;
83481;01/01/1961;1200;;15.8;;;;
83481;02/01/1961;0000;27.4;;21.84;92.75;0.666667;
83481;02/01/1961;1200;;16.6;;;;
83481;03/01/1961;0000;25.6;;21.48;89.75;1;
83481;03/01/1961;1200;;16.8;;;;
83481;04/01/1961;0000;24.8;;20.72;89.5;1;
83481;04/01/1961;1200;;16.6;;;;
83481;05/01/1961;0000;27.2;;21.32;90;1.333333;
83481;05/01/1961;1200;;15.6;;;;
83481;06/01/1961;0000;27.6;;21.84;86.5;0.666667;
83481;06/01/1961;1200;;15.8;;;;
83481;07/01/1961;0000;25.4;;20.96;89.75;1.333333;
83481;07/01/1961;1200;;16.4;;;;
83481;08/01/1961;0000;25;;21.56;87;1.333333;
83481;08/01/1961;1200;;16.6;;;;
83481;09/01/1961;0000;29.4;;22.4;81.75;0.666667;
83481;09/01/1961;1200;;15.4;;;;
83481;10/01/1961;0000;28.8;;22.72;80.75;1.333333;
83481;10/01/1961;1200;;16.8;;;;
83481;11/01/1961;0000;26.8;;21.52;84.25;1;
83481;11/01/1961;1200;;15.6;;;;
83481;12/01/1961;0000;23.2;;19.44;93.75;1.333333;
83481;12/01/1961;1200;;15.8;;;;
83481;13/01/1961;0000;23.6;;19.58;89.25;1.666667;
83481;13/01/1961;1200;;15.3;;;;
83481;14/01/1961;0000;29.6;;22;83.5;2;
83481;14/01/1961;1200;;15.8;;;;
83481;15/01/1961;0000;27.8;;21.92;83.25;2.6;
83481;15/01/1961;1200;;15.4;;;;
83481;16/01/1961;0000;28;;21.6;80;1;
83481;16/01/1961;1200;;14.6;;;;
83481;17/01/1961;0000;30.2;;23.6;66.75;2.333333;
83481;17/01/1961;1200;;16.2;;;;
83481;18/01/1961;0000;30.4;;23.16;67.25;2;
83481;18/01/1961;1200;;15.2;;;;
83481;19/01/1961;0000;30.6;;24.44;71.25;2.666667;
83481;19/01/1961;1200;;16.8;;;;
83481;20/01/1961;0000;29.6;;22.2;83;1;
83481;20/01/1961;1200;;16.4;;;;
83481;21/01/1961;0000;27.4;;21.08;84.75;1.333333;
83481;21/01/1961;1200;;15.2;;;;
83481;22/01/1961;0000;28;;22.04;81.25;2;
83481;22/01/1961;1200;;16;;;;
83481;23/01/1961;0000;28.8;;23.08;80.25;2;
83481;23/01/1961;1200;;16.8;;;;
83481;24/01/1961;0000;28.8;;21.72;94;1.333333;
83481;24/01/1961;1200;;15.8;;;;
83481;25/01/1961;0000;23.6;;21.04;95.25;1;
83481;25/01/1961;1200;;16.6;;;;
83481;26/01/1961;0000;24;;21.08;92;1.333333;
83481;26/01/1961;1200;;17;;;;
83481;27/01/1961;0000;22.4;;20.24;94;1.666667;
83481;27/01/1961;1200;;16.8;;;;
83481;28/01/1961;0000;22.8;;19.96;94.75;2;
83481;28/01/1961;1200;;15.8;;;;
83481;29/01/1961;0000;27.2;;22.04;83.5;1.333333;
83481;29/01/1961;1200;;16.2;;;;
83481;30/01/1961;0000;27;;22.12;90;0.666667;
83481;30/01/1961;1200;;16.2;;;;
83481;31/01/1961;0000;27.8;;21.68;84.75;0.666667;
83481;31/01/1961;1200;;16.4;;;;
83481;01/02/1961;0000;30;;23.4;75;1.666667;
83481;01/02/1961;1200;;15.4;;;;
83481;02/02/1961;0000;30.4;;24.48;68;2.333333;
83481;02/02/1961;1200;;17.8;;;;
83481;03/02/1961;0000;31.4;;24.68;66.75;1.333333;
83481;03/02/1961;1200;;18;;;;
83481;04/02/1961;0000;31;;23.72;70.5;1.333333;
83481;04/02/1961;1200;;16.8;;;;
83481;05/02/1961;0000;30.4;;23.44;66.75;1.666667;
83481;05/02/1961;1200;;16.2;;;;
83481;06/02/1961;0000;32;;24.64;65.5;1.666667;
83481;06/02/1961;1200;;16.4;;;;
83481;07/02/1961;0000;32;;24.8;70.25;2;
83481;07/02/1961;1200;;17.2;;;;
83481;08/02/1961;0000;31.4;;24.96;71.25;1.666667;
83481;08/02/1961;1200;;16.8;;;;
83481;09/02/1961;0000;30;;23.96;73.75;1;
83481;09/02/1961;1200;;17.8;;;;
83481;10/02/1961;0000;26.8;;23.2;80.75;2;
83481;10/02/1961;1200;;17.6;;;;
83481;11/02/1961;0000;27.4;;23.12;80;1.333333;
83481;11/02/1961;1200;;18;;;;
83481;12/02/1961;0000;28.6;;23.2;80.5;1.333333;
83481;12/02/1961;1200;;17;;;;
83481;13/02/1961;0000;26.8;;21.48;85.75;3;
83481;13/02/1961;1200;;15.6;;;;
83481;14/02/1961;0000;26.8;;21.28;90.75;1.333333;
83481;14/02/1961;1200;;16.6;;;;
83481;15/02/1961;0000;25.4;;20.56;93;1.333333;
83481;15/02/1961;1200;;16;;;;
83481;16/02/1961;0000;27.2;;21.36;84.75;1.333333;
83481;16/02/1961;1200;;15.8;;;;
83481;17/02/1961;0000;27.6;;22.36;72.25;1.333333;
83481;17/02/1961;1200;;16.4;;;;
83481;18/02/1961;0000;28.2;;23;69.25;1.333333;
83481;18/02/1961;1200;;16.2;;;;
83481;19/02/1961;0000;27.4;;22.88;77.75;1;
83481;19/02/1961;1200;;17;;;;
83481;20/02/1961;0000;26.4;;21.16;85.75;1.333333;
83481;20/02/1961;1200;;15.8;;;;
83481;21/02/1961;0000;27.6;;21.44;87.5;2;
83481;21/02/1961;1200;;16.8;;;;
83481;22/02/1961;0000;28.2;;22.48;77.25;1;
83481;22/02/1961;1200;;16.4;;;;
83481;23/02/1961;0000;29.4;;23.52;68;1;
83481;23/02/1961;1200;;16.6;;;;
83481;24/02/1961;0000;30.6;;24.32;69;1.666667;
83481;24/02/1961;1200;;17.8;;;;
83481;25/02/1961;0000;30.8;;24.36;65.25;2.333333;
83481;25/02/1961;1200;;16.8;;;;
83481;26/02/1961;0000;29;;23.12;69.75;1.333333;
83481;26/02/1961;1200;;17.8;;;;
83481;27/02/1961;0000;31.4;;24.36;65.75;1.333333;
83481;27/02/1961;1200;;17.2;;;;
83481;28/02/1961;0000;31.4;;24.76;66;1.333333;
83481;28/02/1961;1200;;17;;;;
83481;01/03/1961;0000;30.4;;24.32;70;1;
83481;01/03/1961;1200;;17.2;;;;
83481;02/03/1961;0000;28.2;;22.84;79.75;2.333333;
83481;02/03/1961;1200;;17.4;;;;
83481;03/03/1961;0000;31;;24.04;79;1.666667;
83481;03/03/1961;1200;;17.4;;;;
83481;04/03/1961;0000;28.6;;22.72;82.75;1;
83481;04/03/1961;1200;;17.4;;;;
83481;05/03/1961;0000;29;;22.52;85.25;1.333333;
83481;05/03/1961;1200;;17.4;;;;
83481;06/03/1961;0000;27.2;;22.32;84.5;1;
83481;06/03/1961;1200;;16.4;;;;
83481;07/03/1961;0000;25.4;;21.92;83.75;2;
83481;07/03/1961;1200;;16;;;;
83481;08/03/1961;0000;25.2;;22;86.5;1;
83481;08/03/1961;1200;;17;;;;
83481;09/03/1961;0000;30;;23.96;70;1.666667;
83481;09/03/1961;1200;;17.8;;;;
83481;10/03/1961;0000;31.4;;25;70.75;1.333333;
83481;10/03/1961;1200;;18.6;;;;
83481;11/03/1961;0000;30.8;;24.32;74.75;2;
83481;11/03/1961;1200;;18.2;;;;
83481;12/03/1961;0000;32;;25.48;70.25;0.333333;
83481;12/03/1961;1200;;18.8;;;;
83481;13/03/1961;0000;31.4;;23.88;76.25;0.666667;
83481;13/03/1961;1200;;16.4;;;;
83481;14/03/1961;0000;30.4;;24.48;70;1.666667;
83481;14/03/1961;1200;;18.8;;;;
83481;15/03/1961;0000;31.2;;24.92;65.25;1;
83481;15/03/1961;1200;;17.8;;;;
83481;16/03/1961;0000;30.4;;24.16;71.25;1.666667;
83481;16/03/1961;1200;;18;;;;
83481;17/03/1961;0000;31.6;;24.68;69;1;
83481;17/03/1961;1200;;17;;;;
83481;18/03/1961;0000;31.8;;24;77;0.666667;
83481;18/03/1961;1200;;16.8;;;;
83481;19/03/1961;0000;26;;22.04;81;1.333333;
83481;19/03/1961;1200;;16.8;;;;
