--------------------
BDMEP - INMET
--------------------
Estação           : PIRAPORA - MG (OMM: 83483)
Latitude  (graus) : -17.35
Longitude (graus) : -44.91
Altitude  (metros): 505.24
Estação Operante
Inicio de operação: 23/12/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83483;01/01/1961;0000;30;;24.2;83.5;1.666667;
83483;01/01/1961;1200;;22;;;;
83483;02/01/1961;0000;29.4;;23.28;92;1;
83483;02/01/1961;1200;;21;;;;
83483;03/01/1961;0000;28.4;;23.36;88.5;1.666667;
83483;03/01/1961;1200;;20.8;;;;
83483;04/01/1961;0000;28;;22.44;92;2.333333;
83483;04/01/1961;1200;;20.2;;;;
83483;05/01/1961;0000;28;;22.84;92;1;
83483;05/01/1961;1200;;20.2;;;;
83483;06/01/1961;0000;29;;23.8;87.5;1;
83483;06/01/1961;1200;;21;;;;
83483;07/01/1961;0000;29;;23.4;92;1.666667;
83483;07/01/1961;1200;;21;;;;
83483;08/01/1961;0000;28.2;;24.24;89.25;1;
83483;08/01/1961;1200;;21;;;;
83483;09/01/1961;0000;31;;25.56;83.25;1.666667;
83483;09/01/1961;1200;;22;;;;
83483;10/01/1961;0000;27;;23.2;94.25;1;
83483;10/01/1961;1200;;20;;;;
83483;11/01/1961;0000;28;;23.6;81.5;1;
83483;11/01/1961;1200;;20;;;;
83483;12/01/1961;0000;24;;21.2;91.25;1;
83483;12/01/1961;1200;;20;;;;
83483;13/01/1961;0000;25.6;;21.92;91.5;1;
83483;13/01/1961;1200;;20;;;;
83483;14/01/1961;0000;27.8;;22.28;91.75;1;
83483;14/01/1961;1200;;20;;;;
83483;15/01/1961;0000;27.4;;22.08;95;1;
83483;15/01/1961;1200;;20;;;;
83483;16/01/1961;0000;29;;22.76;84.5;1.666667;
83483;16/01/1961;1200;;19.2;;;;
83483;17/01/1961;0000;31.2;;24.56;79;2.333333;
83483;17/01/1961;1200;;18;;;;
83483;18/01/1961;0000;31.8;;25;82.5;1;
83483;18/01/1961;1200;;19.8;;;;
83483;19/01/1961;0000;34.8;;26.4;81;1.666667;
83483;19/01/1961;1200;;21.2;;;;
83483;20/01/1961;0000;31;;25;83.75;1.666667;
83483;20/01/1961;1200;;22;;;;
83483;21/01/1961;0000;28;;23.48;89;1;
83483;21/01/1961;1200;;20;;;;
83483;22/01/1961;0000;30.4;;24.68;80.25;1;
83483;22/01/1961;1200;;20;;;;
83483;23/01/1961;0000;31;;25.76;83.5;1;
83483;23/01/1961;1200;;21.8;;;;
83483;24/01/1961;0000;26;;23.8;90.75;1;
83483;24/01/1961;1200;;22.8;;;;
83483;25/01/1961;0000;26;;23.24;96;1.666667;
83483;25/01/1961;1200;;20.4;;;;
83483;26/01/1961;0000;27.2;;23.84;92;1.666667;
83483;26/01/1961;1200;;21;;;;
83483;27/01/1961;0000;28;;23.36;90.25;2.333333;
83483;27/01/1961;1200;;21;;;;
83483;28/01/1961;0000;29;;23.96;84.5;2.333333;
83483;28/01/1961;1200;;21.8;;;;
83483;29/01/1961;0000;31.8;;25.92;86.75;1;
83483;29/01/1961;1200;;22.8;;;;
83483;30/01/1961;0000;29.2;;24.24;82.5;1;
83483;30/01/1961;1200;;21;;;;
83483;31/01/1961;0000;28;;24.24;89.25;1;
83483;31/01/1961;1200;;21.2;;;;
83483;01/02/1961;0000;32;;25;75.25;1.666667;
83483;01/02/1961;1200;;20;;;;
83483;02/02/1961;0000;32.6;;26.36;82.5;1.666667;
83483;02/02/1961;1200;;21.2;;;;
83483;03/02/1961;0000;33;;26.56;74.25;1.666667;
83483;03/02/1961;1200;;20.2;;;;
83483;04/02/1961;0000;32.2;;25.56;76;1;
83483;04/02/1961;1200;;20.6;;;;
83483;05/02/1961;0000;32;;25.4;75;1;
83483;05/02/1961;1200;;20;;;;
83483;06/02/1961;0000;32.6;;26.28;80.5;1;
83483;06/02/1961;1200;;20.8;;;;
83483;07/02/1961;0000;32.2;;26.8;76.75;1;
83483;07/02/1961;1200;;20.8;;;;
83483;08/02/1961;0000;33.8;;26.76;73.75;1;
83483;08/02/1961;1200;;21;;;;
83483;09/02/1961;0000;32.2;;26.44;80.5;1;
83483;09/02/1961;1200;;22;;;;
83483;10/02/1961;0000;33.2;;27.24;80;1.666667;
83483;10/02/1961;1200;;24;;;;
83483;11/02/1961;0000;32.4;;25.08;84;1.666667;
83483;11/02/1961;1200;;22;;;;
83483;12/02/1961;0000;28.6;;25.12;92;1;
83483;12/02/1961;1200;;22;;;;
83483;13/02/1961;0000;28.8;;23;90;2.333333;
83483;13/02/1961;1200;;20.2;;;;
83483;14/02/1961;0000;30.4;;24.84;85.25;2.333333;
83483;14/02/1961;1200;;21;;;;
83483;15/02/1961;0000;27.2;;23.44;90;1.666667;
83483;15/02/1961;1200;;20;;;;
83483;16/02/1961;0000;29.2;;23.64;84.25;1;
83483;16/02/1961;1200;;20;;;;
83483;17/02/1961;0000;30;;23.56;85.75;1;
83483;17/02/1961;1200;;18;;;;
83483;18/02/1961;0000;31.2;;24.88;80.5;1;
83483;18/02/1961;1200;;20.2;;;;
83483;19/02/1961;0000;31.2;;25.68;80.25;1;
83483;19/02/1961;1200;;21.2;;;;
83483;20/02/1961;0000;28.2;;22.8;89.5;1;
83483;20/02/1961;1200;;19.8;;;;
83483;21/02/1961;0000;28.8;;22.96;93.5;1.666667;
83483;21/02/1961;1200;;21;;;;
83483;22/02/1961;0000;31;;24.24;79.25;1;
83483;22/02/1961;1200;;20.2;;;;
83483;23/02/1961;0000;32;;25.72;84;1.666667;
83483;23/02/1961;1200;;19.6;;;;
83483;24/02/1961;0000;31;;25.68;83.25;1;
83483;24/02/1961;1200;;21.4;;;;
