--------------------
BDMEP - INMET
--------------------
Estação           : CARBONITA - MG (OMM: 83485)
Latitude  (graus) : -17.53
Longitude (graus) : -43
Altitude  (metros): 736.38
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83485;01/04/1981;0000;25.8;;21;87;;
83485;01/04/1981;1200;;18.4;;;;
83485;03/04/1981;0000;24.6;;20.52;87.25;;
83485;03/04/1981;1200;;18;;;;
83485;04/04/1981;0000;26.8;;21.48;74;;
83485;04/04/1981;1200;;18;;;;
83485;05/04/1981;0000;27.8;;21.56;84.5;;
83485;05/04/1981;1200;;17.4;;;;
83485;07/04/1981;0000;26.4;;20.72;70.25;;
83485;07/04/1981;1200;;16.2;;;;
83485;08/04/1981;0000;26.6;;20.64;71.75;;
83485;08/04/1981;1200;;16.4;;;;
83485;09/04/1981;0000;26.7;;20.36;75.75;;
83485;09/04/1981;1200;;15.2;;;;
83485;10/04/1981;0000;27;;20.28;79.5;;
83485;10/04/1981;1200;;15.8;;;;
83485;11/04/1981;0000;26.8;;20.12;71;;
83485;11/04/1981;1200;;15;;;;
83485;12/04/1981;0000;26.2;;18.84;66.75;;
83485;12/04/1981;1200;;12;;;;
83485;13/04/1981;0000;24.7;;17.98;74.75;;
83485;13/04/1981;1200;;12.4;;;;
83485;14/04/1981;0000;25.6;;18.28;68.75;;
83485;14/04/1981;1200;;10.2;;;;
83485;15/04/1981;0000;27;;18.08;76.5;;
83485;15/04/1981;1200;;11.4;;;;
83485;16/04/1981;0000;27.6;;20.52;65.5;;
83485;16/04/1981;1200;;11.8;;;;
83485;17/04/1981;0000;28.6;;22;68.25;;
83485;17/04/1981;1200;;16;;;;
83485;18/04/1981;0000;26.4;;19.64;64.75;;
83485;18/04/1981;1200;;15;;;;
83485;19/04/1981;0000;23.4;;18.22;72.25;;
83485;19/04/1981;1200;;14.4;;;;
83485;20/04/1981;0000;24.8;;18.18;72.25;;
83485;20/04/1981;1200;;13.3;;;;
83485;21/04/1981;0000;23.8;;17.8;73.75;;
83485;21/04/1981;1200;;13.2;;;;
83485;22/04/1981;0000;25.8;;18.84;71.75;;
83485;22/04/1981;1200;;11;;;;
83485;23/04/1981;0000;26;;20.44;78.75;;
83485;23/04/1981;1200;;17.2;;;;
83485;24/04/1981;0000;26.4;;20.72;75.5;;
83485;24/04/1981;1200;;17.2;;;;
83485;25/04/1981;0000;26.6;;20.04;75.75;;
83485;25/04/1981;1200;;15.6;;;;
83485;26/04/1981;0000;24.6;;20.12;79.25;;
83485;26/04/1981;1200;;14.2;;;;
83485;27/04/1981;0000;25;;20.04;79.5;;
83485;27/04/1981;1200;;17.8;;;;
83485;28/04/1981;0000;26;;19.76;82.5;;
83485;28/04/1981;1200;;14.6;;;;
83485;29/04/1981;0000;26.6;;19.78;78.5;;
83485;29/04/1981;1200;;14.1;;;;
83485;30/04/1981;0000;25.4;;20.36;83.75;;
83485;30/04/1981;1200;;15.2;;;;
83485;01/05/1981;0000;25.6;;20.04;81.25;;
83485;01/05/1981;1200;;16.6;;;;
83485;02/05/1981;0000;22.8;;19.64;83;;
83485;02/05/1981;1200;;16.6;;;;
83485;03/05/1981;0000;23.8;;19.68;78.5;;
83485;03/05/1981;1200;;15.8;;;;
83485;04/05/1981;0000;27.2;;20.56;72.25;;
83485;04/05/1981;1200;;14.8;;;;
83485;05/05/1981;0000;25.2;;19.6;77.75;;
83485;05/05/1981;1200;;15;;;;
83485;06/05/1981;0000;26.4;;19.64;77;;
83485;06/05/1981;1200;;17.4;;;;
83485;07/05/1981;0000;26.2;;18.88;71.25;;
83485;07/05/1981;1200;;14.6;;;;
83485;08/05/1981;0000;23.8;;18.24;75.75;;
83485;08/05/1981;1200;;11.4;;;;
83485;09/05/1981;0000;25.4;;19.56;73;;
83485;09/05/1981;1200;;16.2;;;;
83485;11/05/1981;0000;26.2;;17.96;64.75;;
83485;11/05/1981;1200;;14.2;;;;
83485;12/05/1981;0000;26.4;;17.52;68;;
83485;12/05/1981;1200;;8.2;;;;
83485;13/05/1981;0000;26.2;;16.96;67.5;;
83485;13/05/1981;1200;;10;;;;
83485;14/05/1981;0000;26.6;;17.14;73;;
83485;14/05/1981;1200;;8.7;;;;
83485;15/05/1981;0000;28;;18.12;72.5;;
83485;15/05/1981;1200;;10;;;;
83485;16/05/1981;0000;29.3;;20.5;67;;
83485;16/05/1981;1200;;11.4;;;;
83485;17/05/1981;0000;24.8;;19.76;78.25;;
83485;17/05/1981;1200;;16;;;;
83485;19/05/1981;0000;23.2;;19.52;84.75;;
83485;19/05/1981;1200;;16.6;;;;
83485;26/05/1981;0000;25.2;;17.44;77;;
83485;26/05/1981;1200;;11;;;;
83485;27/05/1981;0000;22.2;;15.16;84;;
83485;27/05/1981;1200;;9.8;;;;
83485;28/05/1981;0000;24.8;;16.48;80.75;;
