--------------------
BDMEP - INMET
--------------------
Estação           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Estação Operante
Inicio de operação: 27/03/1925
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83488;11/06/1962;0000;25.2;;16.04;80;1;
83488;11/06/1962;1200;;12;;;;
83488;12/06/1962;0000;25.4;;15.16;71.75;0.666667;
83488;12/06/1962;1200;;6.6;;;;
83488;13/06/1962;0000;25.6;;17.2;81.25;1;
83488;13/06/1962;1200;;11.4;;;;
83488;14/06/1962;0000;24;;16.56;83.5;1.666667;
83488;14/06/1962;1200;;13.4;;;;
83488;15/06/1962;0000;22;;15.12;85.5;1;
83488;15/06/1962;1200;;12;;;;
83488;16/06/1962;0000;20.8;;13.72;86.5;1;
83488;16/06/1962;1200;;10.6;;;;
83488;17/06/1962;0000;21.2;;12.68;81.25;1;
83488;17/06/1962;1200;;9;;;;
83488;18/06/1962;0000;19;;10.32;87.5;1;
83488;18/06/1962;1200;;4.4;;;;
83488;19/06/1962;0000;22;;13.04;84.75;1.666667;
83488;19/06/1962;1200;;5.6;;;;
83488;20/06/1962;0000;19.2;;13.64;91.25;1;
83488;20/06/1962;1200;;6.6;;;;
83488;21/06/1962;0000;24;;16.48;86.5;1;
83488;21/06/1962;1200;;12.2;;;;
83488;22/06/1962;0000;25.4;;16.72;84.5;1;
83488;22/06/1962;1200;;13.2;;;;
83488;23/06/1962;0000;26.6;;17.04;80.5;1;
83488;23/06/1962;1200;;8.6;;;;
83488;24/06/1962;0000;26;;18;81;1;
83488;24/06/1962;1200;;12;;;;
