--------------------
BDMEP - INMET
--------------------
Estação           : CARAVELAS - BA (OMM: 83498)
Latitude  (graus) : -17.73
Longitude (graus) : -39.25
Altitude  (metros): 2.88
Estação Operante
Inicio de operação: 01/05/1930
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83498;01/01/1961;0000;29.3;;26.44;77.5;4.666667;
83498;01/01/1961;1200;;23.9;;;;
83498;02/01/1961;0000;29.4;;26.16;78.5;4.866667;
83498;02/01/1961;1200;;24;;;;
83498;03/01/1961;0000;30.1;;26.2;70;6.066667;
83498;03/01/1961;1200;;22.5;;;;
83498;04/01/1961;0000;29.6;;25.62;83.75;3.633333;
83498;04/01/1961;1200;;22.9;;;;
83498;05/01/1961;0000;29.2;;26.58;82.25;4.766667;
83498;05/01/1961;1200;;24.5;;;;
83498;06/01/1961;0000;30.1;;26.52;76.75;5.333333;
83498;06/01/1961;1200;;24.3;;;;
83498;07/01/1961;0000;29.7;;26.36;76.75;4.966667;
83498;07/01/1961;1200;;23.7;;;;
83498;08/01/1961;0000;30.6;;26.42;83.25;4.433333;
83498;08/01/1961;1200;;24.2;;;;
83498;09/01/1961;0000;30.6;;26.76;79.25;4.866667;
83498;09/01/1961;1200;;24.4;;;;
83498;10/01/1961;0000;30.6;;26.9;76.25;4.266667;
83498;10/01/1961;1200;;24.9;;;;
83498;11/01/1961;0000;30.3;;26.48;80.25;4.366667;
83498;11/01/1961;1200;;24.3;;;;
83498;12/01/1961;0000;30.1;;26.06;75.25;2.1;
83498;12/01/1961;1200;;22.7;;;;
83498;13/01/1961;0000;28.6;;25.42;79;2.7;
83498;13/01/1961;1200;;22.7;;;;
83498;14/01/1961;0000;27.5;;24.92;81;2.5;
83498;14/01/1961;1200;;22.5;;;;
83498;15/01/1961;0000;28.8;;25.14;81.25;2.466667;
83498;15/01/1961;1200;;21.7;;;;
83498;16/01/1961;0000;28.6;;25.22;88.75;1.5;
83498;16/01/1961;1200;;23.1;;;;
83498;17/01/1961;0000;29.3;;25.32;87.75;3;
83498;17/01/1961;1200;;22.7;;;;
83498;18/01/1961;0000;29.2;;25.46;78.75;2.6;
83498;18/01/1961;1200;;22.9;;;;
83498;19/01/1961;0000;30;;24.94;78;2.066667;
83498;19/01/1961;1200;;20.1;;;;
83498;20/01/1961;0000;29.6;;25.22;78.25;1.766667;
83498;20/01/1961;1200;;20.5;;;;
83498;21/01/1961;0000;29.4;;24.58;88.25;1.6;
83498;21/01/1961;1200;;21.7;;;;
83498;22/01/1961;0000;28.1;;23.86;88;0.4;
83498;22/01/1961;1200;;20.4;;;;
83498;23/01/1961;0000;33.9;;27;78.75;4.966667;
83498;23/01/1961;1200;;22;;;;
83498;24/01/1961;0000;32.9;;27.68;79.5;2.466667;
83498;24/01/1961;1200;;24.3;;;;
83498;25/01/1961;0000;28.3;;25.76;86.5;3.166667;
83498;25/01/1961;1200;;24.1;;;;
83498;26/01/1961;0000;29.7;;26.42;84;6.266667;
83498;26/01/1961;1200;;24;;;;
83498;27/01/1961;0000;29.3;;26.06;81.25;4.066667;
83498;27/01/1961;1200;;23;;;;
83498;28/01/1961;0000;30.7;;26.64;83.25;4.3;
83498;28/01/1961;1200;;24.7;;;;
83498;29/01/1961;0000;30.3;;26.28;80.25;3.8;
83498;29/01/1961;1200;;22.9;;;;
83498;30/01/1961;0000;30.6;;26.06;78.25;3.566667;
83498;30/01/1961;1200;;22.7;;;;
83498;31/01/1961;0000;30.9;;26.32;76.5;3.4;
83498;31/01/1961;1200;;21.9;;;;
83498;01/02/1961;0000;31;;25.8;76;3.233333;
83498;01/02/1961;1200;;22.2;;;;
83498;02/02/1961;0000;31.1;;25.88;69.25;2.1;
83498;02/02/1961;1200;;23.5;;;;
83498;03/02/1961;0000;29.7;;25.28;81.25;1.666667;
83498;03/02/1961;1200;;20.7;;;;
83498;04/02/1961;0000;30.5;;25.96;75.25;3.066667;
83498;04/02/1961;1200;;22.1;;;;
83498;05/02/1961;0000;30.4;;25.8;76.25;1.9;
