--------------------
BDMEP - INMET
--------------------
Estação           : NHUMIRIM  NHECOLANDIA  - MS (OMM: 83513)
Latitude  (graus) : -18.98
Longitude (graus) : -56.62
Altitude  (metros): 89.00
Estação Operante
Inicio de operação: 01/07/1984
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83513;01/01/1993;0000;33.9;;28.86;81;1.666667;
83513;01/01/1993;1200;;27.3;;;;
83513;02/01/1993;0000;35.9;;29.84;74.25;4;
83513;02/01/1993;1200;;27.4;;;;
83513;05/01/1993;0000;;;;;1;
83513;06/01/1993;0000;39.9;;29.06;78.25;1.333333;
83513;06/01/1993;1200;;21.9;;;;
83513;07/01/1993;0000;30.5;;27.3;88;0.666667;
83513;07/01/1993;1200;;25.1;;;;
83513;08/01/1993;0000;32.1;;26.96;89.75;1.333333;
83513;08/01/1993;1200;;21.9;;;;
83513;09/01/1993;0000;26.9;;24.24;95.5;1.333333;
83513;09/01/1993;1200;;21.7;;;;
83513;10/01/1993;0000;29.9;;25.16;89.25;0.666667;
83513;10/01/1993;1200;;22.1;;;;
83513;11/01/1993;0000;32.5;;26.2;85;1.333333;
83513;11/01/1993;1200;;20.9;;;;
83513;12/01/1993;0000;31.1;;25.76;93.25;1.666667;
83513;12/01/1993;1200;;23.1;;;;
83513;13/01/1993;0000;31.1;;25.92;87.5;1;
83513;13/01/1993;1200;;22.1;;;;
83513;14/01/1993;0000;34.1;;27.88;84.5;0;
83513;14/01/1993;1200;;22.3;;;;
83513;15/01/1993;0000;31.9;;28.58;86;0.666667;
83513;15/01/1993;1200;;26.6;;;;
83513;16/01/1993;0000;35.5;;28.9;83.5;0;
83513;16/01/1993;1200;;22.9;;;;
83513;17/01/1993;0000;35.1;;29.32;85.75;2;
83513;17/01/1993;1200;;24.4;;;;
83513;18/01/1993;0000;32.1;;25.56;91.25;0.666667;
83513;18/01/1993;1200;;22.7;;;;
83513;19/01/1993;0000;27.9;;24.96;92.5;1.333333;
83513;19/01/1993;1200;;23.1;;;;
83513;20/01/1993;0000;31.3;;27.2;85.5;1;
83513;20/01/1993;1200;;22.3;;;;
83513;21/01/1993;0000;32.3;;27.16;88.75;1;
83513;21/01/1993;1200;;21.9;;;;
83513;22/01/1993;0000;33.5;;27.52;91.25;1.666667;
83513;22/01/1993;1200;;24.9;;;;
83513;23/01/1993;0000;33.9;;28.52;85.25;1.333333;
83513;23/01/1993;1200;;23.5;;;;
83513;24/01/1993;0000;29.5;;25.68;93.75;1;
83513;24/01/1993;1200;;23.3;;;;
83513;25/01/1993;0000;29.9;;25.36;88.5;1;
83513;25/01/1993;1200;;23.1;;;;
83513;26/01/1993;0000;34.5;;28.6;77;1;
83513;26/01/1993;1200;;22.9;;;;
83513;27/01/1993;0000;34.9;;27.82;85;2;
83513;27/01/1993;1200;;24.3;;;;
83513;28/01/1993;0000;34.7;;27.68;84.75;1;
83513;28/01/1993;1200;;24.3;;;;
83513;29/01/1993;0000;34.3;;28.34;83.25;0.666667;
83513;29/01/1993;1200;;23.9;;;;
83513;30/01/1993;0000;35.5;;28.88;88.75;0.666667;
83513;30/01/1993;1200;;23.3;;;;
83513;31/01/1993;0000;35.5;;29.16;80.25;0.666667;
83513;31/01/1993;1200;;23.9;;;;
83513;01/02/1993;0000;34.3;;26.16;87.25;1.666667;
83513;01/02/1993;1200;;22.6;;;;
83513;02/02/1993;0000;30.9;;26;94.25;1.333333;
83513;02/02/1993;1200;;22.5;;;;
83513;03/02/1993;0000;31.1;;26.4;87.5;0.333333;
83513;03/02/1993;1200;;23.9;;;;
83513;04/02/1993;0000;32.1;;26.64;90.75;0.666667;
83513;04/02/1993;1200;;21.9;;;;
83513;05/02/1993;0000;32.1;;27.72;87;1.666667;
83513;05/02/1993;1200;;24.7;;;;
83513;06/02/1993;0000;29.9;;26.4;91.5;2.666667;
83513;06/02/1993;1200;;23.9;;;;
83513;07/02/1993;0000;28.5;;25.06;94.5;1.333333;
83513;07/02/1993;1200;;23.4;;;;
83513;08/02/1993;0000;24.8;;23.36;89.25;2.333333;
83513;08/02/1993;1200;;21.5;;;;
83513;09/02/1993;0000;28.1;;24.24;83;1;
83513;09/02/1993;1200;;20.9;;;;
83513;10/02/1993;0000;30.1;;25.36;86.5;0.333333;
83513;10/02/1993;1200;;20.3;;;;
83513;11/02/1993;0000;33.7;;27.64;87.75;0.333333;
83513;11/02/1993;1200;;21.9;;;;
83513;12/02/1993;0000;34.3;;28.64;85.5;0.666667;
83513;12/02/1993;1200;;25.1;;;;
83513;13/02/1993;0000;31.7;;27.92;94.25;1.333333;
83513;13/02/1993;1200;;24.9;;;;
83513;14/02/1993;0000;30.1;;25.56;91.25;1;
83513;14/02/1993;1200;;22.3;;;;
83513;15/02/1993;0000;32.1;;26.94;83.75;1;
83513;15/02/1993;1200;;24;;;;
83513;16/02/1993;0000;34.1;;27.16;82.5;1.333333;
83513;16/02/1993;1200;;22.9;;;;
83513;17/02/1993;0000;34.9;;27.52;82.5;0.666667;
83513;17/02/1993;1200;;21.7;;;;
83513;18/02/1993;0000;33.9;;27.6;85.5;0.333333;
83513;18/02/1993;1200;;22.3;;;;
83513;19/02/1993;0000;31.9;;25.6;85.75;0.666667;
83513;19/02/1993;1200;;22.3;;;;
83513;20/02/1993;0000;30.7;;26.12;85.25;1.333333;
83513;20/02/1993;1200;;23.1;;;;
83513;21/02/1993;0000;30.9;;27.08;88.75;2;
83513;21/02/1993;1200;;21.9;;;;
83513;22/02/1993;0000;30.1;;25.04;87.25;1.333333;
83513;22/02/1993;1200;;21.9;;;;
83513;23/02/1993;0000;31.9;;25.52;82.5;0.666667;
83513;23/02/1993;1200;;20.9;;;;
83513;24/02/1993;0000;32.9;;26.74;81.75;1;
83513;24/02/1993;1200;;24.4;;;;
83513;25/02/1993;0000;33.9;;27.08;77.25;0.666667;
83513;25/02/1993;1200;;20.1;;;;
83513;26/02/1993;0000;34.9;;27.12;83.25;0;
83513;26/02/1993;1200;;20.9;;;;
83513;27/02/1993;0000;34.9;;28.4;78.25;1;
83513;27/02/1993;1200;;23.1;;;;
83513;28/02/1993;0000;34.3;;28.04;80.5;0.666667;
83513;28/02/1993;1200;;22.3;;;;
83513;01/03/1993;0000;33.3;;26.96;82.5;2;
83513;01/03/1993;1200;;23.9;;;;
83513;02/03/1993;0000;32.9;;25.6;87.75;0.333333;
83513;02/03/1993;1200;;23.3;;;;
83513;03/03/1993;0000;34.1;;27.56;86;0;
83513;03/03/1993;1200;;23.1;;;;
83513;04/03/1993;0000;33.9;;28.72;90.25;1.666667;
83513;04/03/1993;1200;;24.9;;;;
83513;05/03/1993;0000;32.9;;26.84;87;0.333333;
83513;05/03/1993;1200;;22.1;;;;
83513;06/03/1993;0000;35.7;;28.7;83;0.666667;
83513;06/03/1993;1200;;23.5;;;;
83513;07/03/1993;0000;35.1;;28.86;83.5;0.666667;
83513;07/03/1993;1200;;23.5;;;;
83513;08/03/1993;0000;35.9;;28.22;85.25;0.666667;
83513;08/03/1993;1200;;22.9;;;;
83513;09/03/1993;0000;36.3;;29.3;85.75;0.333333;
83513;09/03/1993;1200;;23.7;;;;
83513;10/03/1993;0000;35.7;;27.78;94.25;1;
83513;10/03/1993;1200;;23.7;;;;
83513;11/03/1993;0000;36.7;;28.42;84;0;
83513;11/03/1993;1200;;23.9;;;;
83513;12/03/1993;0000;37.3;;29.3;81.75;0.333333;
83513;12/03/1993;1200;;22.7;;;;
83513;13/03/1993;0000;36.3;;28.62;88.25;0.333333;
83513;13/03/1993;1200;;24.7;;;;
83513;14/03/1993;0000;35.9;;27.9;81.25;1;
83513;14/03/1993;1200;;23.1;;;;
83513;15/03/1993;0000;34.9;;27.76;81.5;1;
83513;15/03/1993;1200;;21.1;;;;
83513;16/03/1993;0000;35.7;;28.64;82.75;0.666667;
83513;16/03/1993;1200;;24.5;;;;
83513;17/03/1993;0000;35.1;;28.3;78.75;1.333333;
83513;17/03/1993;1200;;23.9;;;;
83513;18/03/1993;0000;34.5;;27.16;87;1;
83513;18/03/1993;1200;;23.5;;;;
83513;19/03/1993;0000;32.5;;26.76;90.75;0.333333;
83513;19/03/1993;1200;;23;;;;
83513;20/03/1993;0000;30.7;;26.04;88;0.333333;
83513;20/03/1993;1200;;22.1;;;;
83513;21/03/1993;0000;29.7;;25.76;89.5;0.333333;
83513;21/03/1993;1200;;23.3;;;;
83513;22/03/1993;0000;32.5;;25.46;84.5;1;
83513;22/03/1993;1200;;22.8;;;;
83513;23/03/1993;0000;30.3;;25.74;89.75;0.333333;
83513;23/03/1993;1200;;22.8;;;;
83513;24/03/1993;0000;33.5;;26.52;86.75;0.333333;
83513;24/03/1993;1200;;23.5;;;;
83513;25/03/1993;0000;31.3;;27.04;91.75;0;
83513;25/03/1993;1200;;24.5;;;;
83513;26/03/1993;0000;31.1;;26;90.75;0.666667;
83513;26/03/1993;1200;;22.1;;;;
83513;27/03/1993;0000;33.1;;27.28;84.25;0;
83513;27/03/1993;1200;;21.7;;;;
83513;28/03/1993;0000;32.9;;27.28;91.75;0.666667;
83513;28/03/1993;1200;;24.3;;;;
83513;29/03/1993;0000;32.9;;25.44;91;0.333333;
83513;29/03/1993;1200;;22.5;;;;
83513;30/03/1993;0000;31.9;;26.68;86.75;0.666667;
83513;30/03/1993;1200;;22.3;;;;
83513;31/03/1993;0000;29.3;;26.24;93.25;0.333333;
83513;31/03/1993;1200;;24.7;;;;
83513;01/04/1993;0000;26.1;;24.08;95.25;0.333333;
83513;01/04/1993;1200;;21.1;;;;
83513;02/04/1993;0000;32.1;;27.24;83.75;0.666667;
83513;02/04/1993;1200;;22.7;;;;
83513;03/04/1993;0000;32.9;;27.4;88.5;1;
83513;03/04/1993;1200;;23.9;;;;
83513;04/04/1993;0000;31.3;;26.96;94.5;0.666667;
83513;04/04/1993;1200;;24.1;;;;
83513;05/04/1993;0000;31.9;;27.04;91;0.666667;
83513;05/04/1993;1200;;23.9;;;;
83513;06/04/1993;0000;27.7;;24.28;88.25;1.666667;
83513;06/04/1993;1200;;23.1;;;;
83513;07/04/1993;0000;27.7;;23.72;91.5;1;
83513;07/04/1993;1200;;20.3;;;;
83513;08/04/1993;0000;28.9;;25.24;91.25;1.333333;
83513;08/04/1993;1200;;21.7;;;;
83513;09/04/1993;0000;25.4;;22.26;85.75;0.666667;
83513;09/04/1993;1200;;20.9;;;;
83513;10/04/1993;0000;27.9;;22.6;82.75;0.333333;
83513;10/04/1993;1200;;18.3;;;;
83513;11/04/1993;0000;32.3;;25.88;84;0.666667;
83513;11/04/1993;1200;;19.7;;;;
83513;12/04/1993;0000;32.5;;27.04;85;1;
83513;12/04/1993;1200;;22.9;;;;
83513;13/04/1993;0000;33.3;;27.2;84.25;1;
83513;13/04/1993;1200;;22.1;;;;
83513;14/04/1993;0000;33.9;;28.04;85.75;1;
83513;14/04/1993;1200;;23.9;;;;
83513;15/04/1993;0000;35.1;;28.36;79;0.666667;
83513;15/04/1993;1200;;23.5;;;;
83513;16/04/1993;0000;35.9;;27.96;83;0.333333;
83513;16/04/1993;1200;;23.1;;;;
83513;17/04/1993;0000;35.1;;27.96;79.5;0.666667;
83513;17/04/1993;1200;;23.5;;;;
83513;18/04/1993;0000;35.1;;27.48;79.5;0.333333;
83513;18/04/1993;1200;;21.5;;;;
83513;19/04/1993;0000;35.1;;26.84;80.5;1.333333;
83513;19/04/1993;1200;;21.3;;;;
83513;20/04/1993;0000;35.1;;27.32;75.75;0.666667;
83513;20/04/1993;1200;;21.9;;;;
83513;21/04/1993;0000;35.9;;26.6;85.25;2.333333;
83513;21/04/1993;1200;;23.3;;;;
83513;22/04/1993;0000;27.4;;23.62;85.75;1;
83513;22/04/1993;1200;;21.1;;;;
83513;23/04/1993;0000;27.9;;22.96;87.25;2;
83513;23/04/1993;1200;;20.1;;;;
83513;24/04/1993;0000;24.4;;;;5;
83513;24/04/1993;1200;;18.9;;;;
83513;25/04/1993;0000;32.9;;25.24;81.5;1.333333;
83513;25/04/1993;1200;;19.9;;;;
