--------------------
BDMEP - INMET
--------------------
Estação           : CAPINOPOLIS - MG (OMM: 83514)
Latitude  (graus) : -18.71
Longitude (graus) : -49.55
Altitude  (metros): 620.60
Estação Operante
Inicio de operação: 13/08/1969
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83514;01/05/1970;0000;32;;22.76;63.25;2.333333;
83514;01/05/1970;1200;;15.2;;;;
83514;02/05/1970;0000;30.6;;23.38;63;2;
83514;02/05/1970;1200;;16;;;;
83514;03/05/1970;0000;31.5;;23.22;67.5;2;
83514;03/05/1970;1200;;15.6;;;;
83514;04/05/1970;0000;31.1;;22.88;65;3.333333;
83514;04/05/1970;1200;;16.2;;;;
83514;05/05/1970;0000;31.1;;22.38;61.5;2.666667;
83514;05/05/1970;1200;;14.8;;;;
83514;06/05/1970;0000;31.8;;23.16;65.25;2;
83514;06/05/1970;1200;;14.8;;;;
83514;07/05/1970;0000;29;;21.64;81.25;3.333333;
83514;07/05/1970;1200;;17.5;;;;
83514;08/05/1970;0000;28.9;;22.16;75.75;3;
83514;08/05/1970;1200;;14.9;;;;
83514;09/05/1970;0000;27.6;;22.56;76;2.333333;
83514;09/05/1970;1200;;16.8;;;;
83514;10/05/1970;0000;30.1;;22.78;64.5;2.666667;
83514;10/05/1970;1200;;16;;;;
83514;11/05/1970;0000;30.2;;22.56;63.75;1.333333;
83514;11/05/1970;1200;;15.2;;;;
83514;12/05/1970;0000;29.9;;22.94;57;3;
83514;12/05/1970;1200;;19.1;;;;
83514;13/05/1970;0000;29.1;;23.04;59.25;4.333333;
83514;13/05/1970;1200;;18.1;;;;
83514;14/05/1970;0000;28.3;;21.1;61.5;3.666667;
83514;14/05/1970;1200;;13.8;;;;
83514;15/05/1970;0000;29.8;;20.82;63;2;
83514;15/05/1970;1200;;12.9;;;;
83514;16/05/1970;0000;30;;21.12;60;1.333333;
83514;16/05/1970;1200;;11.8;;;;
83514;17/05/1970;0000;30;;21.68;60.25;1.666667;
83514;17/05/1970;1200;;13.5;;;;
83514;18/05/1970;0000;30.6;;22.04;54.75;0.666667;
83514;18/05/1970;1200;;13.9;;;;
83514;19/05/1970;0000;30.4;;21.96;57.5;3.666667;
83514;19/05/1970;1200;;13.6;;;;
83514;20/05/1970;0000;28.8;;20.86;72.25;3;
83514;20/05/1970;1200;;12.1;;;;
83514;21/05/1970;0000;22.1;;16.84;84;3.333333;
83514;21/05/1970;1200;;12.1;;;;
83514;22/05/1970;0000;20.2;;16.46;92;3;
83514;22/05/1970;1200;;12;;;;
83514;23/05/1970;0000;28.2;;19.92;81.5;3;
83514;23/05/1970;1200;;13.5;;;;
83514;24/05/1970;0000;27.5;;22.48;58;3.333333;
83514;24/05/1970;1200;;14.5;;;;
83514;25/05/1970;0000;30.1;;22.04;52.75;2.333333;
83514;25/05/1970;1200;;13.8;;;;
83514;26/05/1970;0000;30;;21.32;55.5;2.333333;
83514;26/05/1970;1200;;12.4;;;;
83514;27/05/1970;0000;30;;21.08;48.5;3.333333;
83514;27/05/1970;1200;;12.9;;;;
83514;28/05/1970;0000;29.2;;20.2;46.25;2.666667;
83514;28/05/1970;1200;;12;;;;
83514;29/05/1970;0000;29;;20.36;48.75;3.666667;
83514;29/05/1970;1200;;10.9;;;;
83514;30/05/1970;0000;28.9;;19.88;53.25;2;
83514;30/05/1970;1200;;11.2;;;;
83514;31/05/1970;0000;29;;20.9;53.5;2.666667;
83514;31/05/1970;1200;;11.8;;;;
83514;01/07/1970;0000;29.2;;19.72;53.75;1.666667;
83514;01/07/1970;1200;;11.2;;;;
83514;02/07/1970;0000;20.4;;15.4;87;4;
83514;02/07/1970;1200;;11.9;;;;
83514;03/07/1970;0000;27.4;;18.74;60.75;2.666667;
83514;03/07/1970;1200;;9.9;;;;
83514;04/07/1970;0000;28;;20.48;55;5;
83514;04/07/1970;1200;;12.4;;;;
83514;05/07/1970;0000;27.7;;20.42;53.5;3.666667;
83514;05/07/1970;1200;;12.7;;;;
83514;06/07/1970;0000;28.5;;20.02;61.75;4.333333;
83514;06/07/1970;1200;;11.1;;;;
83514;07/07/1970;0000;29.5;;21.8;57;2.666667;
83514;07/07/1970;1200;;12.9;;;;
83514;08/07/1970;0000;27.3;;19.72;60;3.333333;
83514;08/07/1970;1200;;11.7;;;;
83514;09/07/1970;0000;26.1;;17.98;69.25;3;
83514;09/07/1970;1200;;9.5;;;;
83514;10/07/1970;0000;27.8;;19.04;70.25;5.666667;
83514;10/07/1970;1200;;12.1;;;;
83514;11/07/1970;0000;28.1;;19.9;58.25;4;
83514;11/07/1970;1200;;11;;;;
83514;12/07/1970;0000;28.7;;19.78;60.25;2.333333;
83514;12/07/1970;1200;;11.9;;;;
83514;13/07/1970;0000;29;;20.32;66.25;3.333333;
83514;13/07/1970;1200;;11.7;;;;
83514;14/07/1970;0000;28.6;;21.44;59.25;3.333333;
83514;14/07/1970;1200;;13.2;;;;
83514;15/07/1970;0000;30.1;;21.38;49.5;3.666667;
83514;15/07/1970;1200;;11.9;;;;
83514;16/07/1970;0000;28.2;;20.56;49;4.333333;
83514;16/07/1970;1200;;11.9;;;;
83514;17/07/1970;0000;26.2;;18.54;51.5;5.666667;
83514;17/07/1970;1200;;11.8;;;;
83514;18/07/1970;0000;25.4;;17.56;43.25;6;
83514;18/07/1970;1200;;9.2;;;;
83514;19/07/1970;0000;25.4;;18.2;44.25;3.666667;
83514;19/07/1970;1200;;8.9;;;;
83514;20/07/1970;0000;26.6;;20.38;43;4.333333;
83514;20/07/1970;1200;;11.9;;;;
83514;21/07/1970;0000;28.6;;19.84;40;2;
83514;21/07/1970;1200;;10;;;;
83514;22/07/1970;0000;27.9;;20.22;40.5;3.666667;
83514;22/07/1970;1200;;11.9;;;;
83514;23/07/1970;0000;27.9;;21;50;4.333333;
83514;23/07/1970;1200;;12.4;;;;
83514;24/07/1970;0000;28.9;;20.56;47.5;4;
83514;24/07/1970;1200;;13.1;;;;
83514;25/07/1970;0000;26.2;;18.8;59.25;4.333333;
83514;25/07/1970;1200;;10.8;;;;
83514;26/07/1970;0000;27.2;;19.88;60.5;4.333333;
83514;26/07/1970;1200;;12.8;;;;
83514;27/07/1970;0000;29;;;;3.5;
83514;27/07/1970;1200;;11.4;;;;
83514;01/09/1970;0000;27.2;;20.34;47.5;4;
83514;01/09/1970;1200;;15.8;;;;
83514;02/09/1970;0000;29.6;;22.16;47;2;
83514;02/09/1970;1200;;15.2;;;;
83514;03/09/1970;0000;30.6;;24.12;60.5;3;
83514;03/09/1970;1200;;17.9;;;;
83514;04/09/1970;0000;31.8;;24.86;49.25;4.666667;
83514;04/09/1970;1200;;19;;;;
83514;05/09/1970;0000;32.1;;25.38;50.75;5;
83514;05/09/1970;1200;;20.4;;;;
83514;06/09/1970;0000;33;;25.7;47.25;4;
83514;06/09/1970;1200;;18.9;;;;
83514;07/09/1970;0000;28.5;;22.56;70.75;3;
83514;07/09/1970;1200;;18.9;;;;
83514;08/09/1970;0000;29.8;;23.44;55.25;2;
83514;08/09/1970;1200;;18.2;;;;
83514;09/09/1970;0000;29.2;;23.22;61.5;4.333333;
83514;09/09/1970;1200;;19.5;;;;
83514;10/09/1970;0000;25.2;;21.2;76.75;5;
83514;10/09/1970;1200;;18.3;;;;
83514;11/09/1970;0000;32;;24.18;61;4.333333;
83514;11/09/1970;1200;;17.7;;;;
83514;12/09/1970;0000;32.8;;26.28;46;2.333333;
83514;12/09/1970;1200;;19.8;;;;
83514;13/09/1970;0000;27.1;;22.6;71;2.333333;
83514;13/09/1970;1200;;20.3;;;;
83514;14/09/1970;0000;28.4;;22.7;66;4.333333;
83514;14/09/1970;1200;;18.9;;;;
83514;15/09/1970;0000;29.8;;23.38;66.75;2.333333;
83514;15/09/1970;1200;;18.9;;;;
83514;16/09/1970;0000;30.2;;24.2;64;3;
83514;16/09/1970;1200;;19.3;;;;
83514;17/09/1970;0000;33.4;;26.14;50.5;3;
83514;17/09/1970;1200;;18.4;;;;
83514;18/09/1970;0000;33.2;;26.08;54;1.666667;
83514;18/09/1970;1200;;19.9;;;;
83514;19/09/1970;0000;34.8;;27.24;44.75;2.333333;
83514;19/09/1970;1200;;19.8;;;;
83514;20/09/1970;0000;32;;23.64;64.25;6.333333;
83514;20/09/1970;1200;;19.2;;;;
83514;21/09/1970;0000;24.2;;20.18;89.75;2.333333;
83514;21/09/1970;1200;;17.7;;;;
83514;22/09/1970;0000;27.9;;21.52;77.75;2;
83514;22/09/1970;1200;;16.8;;;;
83514;23/09/1970;0000;31.2;;23.48;53.5;2.333333;
83514;23/09/1970;1200;;16.9;;;;
83514;24/09/1970;0000;33.2;;25.64;49.75;2;
83514;24/09/1970;1200;;19.4;;;;
83514;25/09/1970;0000;34.9;;27.78;42.25;3.666667;
83514;25/09/1970;1200;;20.4;;;;
83514;26/09/1970;0000;35.1;;27.9;42;3;
83514;26/09/1970;1200;;21.9;;;;
83514;27/09/1970;0000;35.2;;28.5;44.25;2.333333;
83514;27/09/1970;1200;;21.7;;;;
83514;28/09/1970;0000;33.3;;26.06;56.5;4;
83514;28/09/1970;1200;;22.1;;;;
83514;29/09/1970;0000;31.2;;23.18;77;2.333333;
83514;29/09/1970;1200;;19.8;;;;
83514;30/09/1970;0000;32.4;;25.18;64;2.666667;
83514;30/09/1970;1200;;18.9;;;;
83514;01/10/1970;0000;34.9;;27.32;56.75;2.666667;
83514;01/10/1970;1200;;21.1;;;;
83514;02/10/1970;0000;30;;22.88;83.25;5.333333;
83514;02/10/1970;1200;;17.8;;;;
83514;03/10/1970;0000;22.7;;;;2;
83514;03/10/1970;1200;;19.5;;;;
83514;04/10/1970;0000;25;;18.2;94;3;
83514;04/10/1970;1200;;12;;;;
83514;05/10/1970;0000;24.7;;17.82;83.25;2;
83514;05/10/1970;1200;;14;;;;
83514;06/10/1970;0000;28.7;;20.72;70.25;1.666667;
83514;06/10/1970;1200;;13.8;;;;
83514;07/10/1970;0000;33.2;;25.44;51;1.666667;
83514;07/10/1970;1200;;18.2;;;;
83514;08/10/1970;0000;35.3;;27.58;50.5;2.666667;
83514;08/10/1970;1200;;20.3;;;;
83514;09/10/1970;0000;31;;23.92;72.75;4.333333;
83514;09/10/1970;1200;;17.5;;;;
83514;10/10/1970;0000;31.5;;24.94;60;2.666667;
83514;10/10/1970;1200;;19.5;;;;
83514;11/10/1970;0000;34.1;;25.42;59;3;
83514;11/10/1970;1200;;18.7;;;;
83514;12/10/1970;0000;31.8;;24;70;5.666667;
83514;12/10/1970;1200;;20.1;;;;
83514;13/10/1970;0000;28.9;;24;74.25;2;
83514;13/10/1970;1200;;18.7;;;;
83514;14/10/1970;0000;32.8;;25.96;71.75;2;
83514;14/10/1970;1200;;21.6;;;;
83514;15/10/1970;0000;33;;25.96;68.75;4;
83514;15/10/1970;1200;;20.8;;;;
83514;16/10/1970;0000;32.8;;27.22;61.25;3.333333;
83514;16/10/1970;1200;;21.8;;;;
83514;17/10/1970;0000;34.5;;26.86;48.25;3;
83514;17/10/1970;1200;;21.4;;;;
83514;18/10/1970;0000;32.2;;25.82;63.75;3;
83514;18/10/1970;1200;;20.9;;;;
83514;19/10/1970;0000;34.9;;27.16;60;2.333333;
83514;19/10/1970;1200;;19.7;;;;
83514;20/10/1970;0000;32.4;;25.26;83.5;3;
83514;20/10/1970;1200;;21.3;;;;
83514;21/10/1970;0000;30.5;;25.1;76.75;4;
83514;21/10/1970;1200;;21.8;;;;
83514;22/10/1970;0000;29.2;;24.72;80.75;2.333333;
83514;22/10/1970;1200;;21.4;;;;
83514;23/10/1970;0000;29.9;;24.64;75.25;2.333333;
83514;23/10/1970;1200;;20.7;;;;
