--------------------
BDMEP - INMET
--------------------
Estação           : ITUIUTABA - MG (OMM: 83521)
Latitude  (graus) : -18.95
Longitude (graus) : -49.52
Altitude  (metros): 560.00
Estação Operante
Inicio de operação: 16/11/1979
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83521;01/03/1980;0000;31.2;;25.4;87.5;;
83521;01/03/1980;1200;;22.4;;;;
83521;04/03/1980;0000;32.6;;26.16;65;;
83521;04/03/1980;1200;;24;;;;
83521;07/03/1980;0000;34.4;;25.64;80.5;;
83521;07/03/1980;1200;;22;;;;
83521;09/03/1980;0000;30.2;;25.64;79.5;;
83521;09/03/1980;1200;;24.2;;;;
83521;10/03/1980;0000;28.6;;24.28;87.75;;
83521;10/03/1980;1200;;23;;;;
83521;12/03/1980;0000;30;;25.72;83;;
83521;12/03/1980;1200;;24;;;;
83521;14/03/1980;0000;22.6;;21.12;91;;
83521;14/03/1980;1200;;20;;;;
83521;17/03/1980;0000;23.2;;21.44;92.75;;
83521;17/03/1980;1200;;20.4;;;;
83521;20/03/1980;0000;31.6;;25.12;69.25;;
83521;20/03/1980;1200;;23;;;;
83521;22/03/1980;0000;31.4;;25.6;77.25;;
83521;22/03/1980;1200;;24;;;;
83521;23/03/1980;0000;32;;25.72;79.5;;
83521;23/03/1980;1200;;23.6;;;;
83521;24/03/1980;0000;24.8;;21.8;80.25;;
83521;24/03/1980;1200;;20;;;;
83521;25/03/1980;0000;26.6;;22.44;80.25;;
83521;25/03/1980;1200;;19;;;;
83521;27/03/1980;0000;28;;23;88.5;;
83521;27/03/1980;1200;;21.4;;;;
83521;28/03/1980;0000;28.9;;23.62;86.25;;
83521;28/03/1980;1200;;21.6;;;;
83521;30/03/1980;0000;31;;24.6;74.25;;
83521;30/03/1980;1200;;22;;;;
83521;31/03/1980;0000;31;;24.44;70.25;;
83521;31/03/1980;1200;;22;;;;
83521;02/04/1980;0000;31.8;;25.4;72;;
83521;02/04/1980;1200;;23;;;;
83521;03/04/1980;0000;31.4;;25.08;77.25;;
83521;03/04/1980;1200;;23;;;;
83521;05/04/1980;0000;32;;25.44;77.5;;
83521;05/04/1980;1200;;23;;;;
83521;07/04/1980;0000;32;;26.2;75;;
83521;07/04/1980;1200;;23.8;;;;
83521;10/04/1980;0000;34.6;;28.96;66.5;;
83521;10/04/1980;1200;;25.2;;;;
83521;11/04/1980;0000;34.2;;27.56;71.5;;
83521;11/04/1980;1200;;25.6;;;;
83521;12/04/1980;0000;32.4;;27.12;73.75;;
83521;12/04/1980;1200;;24;;;;
83521;13/04/1980;0000;32;;26.4;83;;
83521;13/04/1980;1200;;24.2;;;;
83521;14/04/1980;0000;31.2;;25.32;77.75;;
83521;14/04/1980;1200;;23;;;;
83521;15/04/1980;0000;29.8;;23.04;84.75;;
83521;15/04/1980;1200;;19.4;;;;
83521;18/04/1980;0000;31;;26.52;74.25;;
83521;18/04/1980;1200;;24;;;;
83521;19/04/1980;0000;30.8;;23.84;74.75;;
83521;19/04/1980;1200;;20;;;;
83521;20/04/1980;0000;30;;25.08;78.25;;
83521;20/04/1980;1200;;21.2;;;;
83521;22/04/1980;0000;32;;27.32;76;;
83521;22/04/1980;1200;;25.8;;;;
83521;23/04/1980;0000;31.8;;27.76;74;;
83521;23/04/1980;1200;;25.2;;;;
83521;24/04/1980;0000;31.2;;27.36;79.75;;
83521;24/04/1980;1200;;26.2;;;;
