--------------------
BDMEP - INMET
--------------------
Estação           : IPAMERI - GO (OMM: 83522)
Latitude  (graus) : -17.71
Longitude (graus) : -48.16
Altitude  (metros): 772.99
Estação Operante
Inicio de operação: 10/02/1977
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83522;11/02/1977;0000;31.4;;23.6;66;1.666667;
83522;11/02/1977;1200;;16.4;;;;
83522;12/02/1977;0000;30.6;;22.96;62.5;1.333333;
83522;12/02/1977;1200;;16.6;;;;
83522;13/02/1977;0000;30;;24.04;66.5;1.333333;
83522;13/02/1977;1200;;17;;;;
83522;14/02/1977;0000;30.6;;24.64;66.5;2;
83522;14/02/1977;1200;;22.6;;;;
83522;15/02/1977;0000;30.6;;24;70.5;3.333333;
83522;15/02/1977;1200;;18.8;;;;
83522;16/02/1977;0000;31.2;;25.06;70.5;1;
83522;16/02/1977;1200;;22.9;;;;
83522;17/02/1977;0000;30.8;;23.94;67;2;
83522;17/02/1977;1200;;17.6;;;;
83522;18/02/1977;0000;30.9;;24.62;60.5;1.333333;
83522;18/02/1977;1200;;18;;;;
83522;19/02/1977;0000;31.6;;24.32;62.5;1.333333;
83522;19/02/1977;1200;;17.2;;;;
83522;20/02/1977;0000;31;;23.78;65.75;1.333333;
83522;20/02/1977;1200;;18.2;;;;
83522;21/02/1977;0000;30.2;;23.88;60.5;1.333333;
83522;21/02/1977;1200;;18;;;;
83522;22/02/1977;0000;30.2;;23.58;71.75;2;
83522;22/02/1977;1200;;17.2;;;;
83522;23/02/1977;0000;24.9;;21.42;86.5;0.333333;
83522;23/02/1977;1200;;18.4;;;;
83522;24/02/1977;0000;28.9;;22.42;77.25;3.333333;
83522;24/02/1977;1200;;16.4;;;;
83522;25/02/1977;0000;30;;23.32;68;2;
83522;25/02/1977;1200;;17.4;;;;
83522;26/02/1977;0000;30.5;;23.44;66.75;1.333333;
83522;26/02/1977;1200;;17.4;;;;
83522;27/02/1977;0000;31.6;;24.44;63.25;3.333333;
83522;27/02/1977;1200;;16.9;;;;
83522;28/02/1977;0000;29.7;;24.26;65.75;1.333333;
83522;28/02/1977;1200;;20.9;;;;
83522;01/03/1977;0000;;;;73.5;0.666667;
83522;01/03/1977;1200;;16.8;;;;
83522;02/03/1977;0000;;;;64.25;1;
83522;02/03/1977;1200;;17.6;;;;
83522;03/03/1977;0000;;;;72;0.333333;
83522;03/03/1977;1200;;20.1;;;;
83522;04/03/1977;0000;;;;62.75;1.333333;
83522;04/03/1977;1200;;16.9;;;;
83522;05/03/1977;0000;;;;60.5;2;
83522;05/03/1977;1200;;17.2;;;;
83522;06/03/1977;0000;;;;59.5;2;
83522;06/03/1977;1200;;17.5;;;;
83522;07/03/1977;0000;;;;60;1.333333;
83522;07/03/1977;1200;;18.9;;;;
83522;08/03/1977;0000;;;;65;1.333333;
83522;08/03/1977;1200;;22.9;;;;
83522;09/03/1977;0000;;;;56.25;1.333333;
83522;09/03/1977;1200;;17.6;;;;
83522;10/03/1977;0000;;;;64.25;0.666667;
