--------------------
BDMEP - INMET
--------------------
Estação           : ITUMBIARA - GO (OMM: 83523)
Latitude  (graus) : -18.41
Longitude (graus) : -49.21
Altitude  (metros): 449.00
Estação Operante
Inicio de operação: 10/06/1989
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83523;01/09/1993;0000;34.4;;25.6;54.25;0;
83523;01/09/1993;1200;;17.7;;;;
83523;02/09/1993;0000;34.5;;24.74;54.75;1;
83523;02/09/1993;1200;;18.2;;;;
83523;03/09/1993;0000;34.4;;22.36;53.5;0.333333;
83523;03/09/1993;1200;;13.1;;;;
83523;04/09/1993;0000;33.6;;23.18;53.75;0.666667;
83523;04/09/1993;1200;;14.3;;;;
83523;05/09/1993;0000;34.8;;24.7;49.5;1.333333;
83523;05/09/1993;1200;;15.5;;;;
83523;06/09/1993;0000;36.1;;25.88;48.5;1.666667;
83523;06/09/1993;1200;;15.9;;;;
83523;07/09/1993;0000;33.7;;24.6;66.75;4.333333;
83523;07/09/1993;1200;;20.1;;;;
83523;08/09/1993;0000;31.8;;24.46;63.25;0.333333;
83523;08/09/1993;1200;;19.3;;;;
83523;09/09/1993;0000;33.7;;24.8;59.5;0.666667;
83523;09/09/1993;1200;;16.5;;;;
83523;10/09/1993;0000;34.4;;25.84;55.75;0.666667;
83523;10/09/1993;1200;;19;;;;
83523;11/09/1993;0000;30.8;;23.98;65.5;4;
83523;11/09/1993;1200;;21;;;;
83523;12/09/1993;0000;31.7;;24.2;56.5;0;
83523;12/09/1993;1200;;17.5;;;;
83523;13/09/1993;0000;32;;24.96;59.25;4;
83523;13/09/1993;1200;;19.5;;;;
83523;14/09/1993;0000;31.5;;23.06;69.5;4;
83523;14/09/1993;1200;;19.4;;;;
83523;15/09/1993;0000;23;;19.8;88.5;3;
83523;15/09/1993;1200;;18.6;;;;
83523;16/09/1993;0000;32.3;;22.68;72.5;1;
83523;16/09/1993;1200;;16.3;;;;
83523;17/09/1993;0000;33.3;;25.02;61;0.666667;
83523;17/09/1993;1200;;19.5;;;;
83523;18/09/1993;0000;34.3;;25.76;58.5;0.666667;
83523;18/09/1993;1200;;17.5;;;;
83523;19/09/1993;0000;35.3;;26.6;59.5;0.666667;
83523;19/09/1993;1200;;19.2;;;;
83523;20/09/1993;0000;34.5;;26.88;56.5;1.666667;
83523;20/09/1993;1200;;19;;;;
83523;21/09/1993;0000;35.3;;26.88;58;3;
83523;21/09/1993;1200;;22.2;;;;
83523;22/09/1993;0000;31.8;;24.86;73.5;1;
83523;22/09/1993;1200;;20;;;;
83523;23/09/1993;0000;33.3;;26.48;66.25;1;
83523;23/09/1993;1200;;21.3;;;;
83523;24/09/1993;0000;25.4;;23.3;86.5;1;
83523;24/09/1993;1200;;22.2;;;;
83523;25/09/1993;0000;29.3;;24.46;80.25;0.666667;
83523;25/09/1993;1200;;21;;;;
83523;26/09/1993;0000;25.1;;21.86;90.5;0.666667;
83523;26/09/1993;1200;;20.3;;;;
83523;27/09/1993;0000;27.1;;22.24;86.75;0;
83523;27/09/1993;1200;;19.1;;;;
83523;28/09/1993;0000;29.8;;23.92;78.5;0.333333;
83523;28/09/1993;1200;;20;;;;
83523;29/09/1993;0000;30.1;;24.46;73.75;2;
83523;29/09/1993;1200;;20.8;;;;
83523;30/09/1993;0000;32.7;;26.48;61;1.333333;
83523;30/09/1993;1200;;21.7;;;;
83523;01/10/1993;0000;33;;26.22;68.5;1.666667;
83523;01/10/1993;1200;;21.9;;;;
83523;02/10/1993;0000;34.2;;26.36;64.75;1.333333;
83523;02/10/1993;1200;;20.6;;;;
83523;03/10/1993;0000;35.1;;27.16;62.25;0.666667;
83523;03/10/1993;1200;;21;;;;
83523;04/10/1993;0000;36.2;;27.4;64.5;1;
83523;04/10/1993;1200;;21.5;;;;
83523;05/10/1993;0000;28.8;;24.06;81.25;0.666667;
83523;05/10/1993;1200;;22;;;;
83523;06/10/1993;0000;27.8;;23.04;70.5;0.666667;
83523;06/10/1993;1200;;21.1;;;;
83523;07/10/1993;0000;29.3;;22.1;46.25;1.666667;
83523;07/10/1993;1200;;17.1;;;;
83523;08/10/1993;0000;31.9;;23.44;47;4;
83523;08/10/1993;1200;;12.2;;;;
83523;09/10/1993;0000;33.1;;24.88;51.25;2;
83523;09/10/1993;1200;;20.4;;;;
83523;10/10/1993;0000;34.1;;25.72;44.5;3.333333;
83523;10/10/1993;1200;;18.2;;;;
83523;11/10/1993;0000;35.1;;25.9;45;2.333333;
83523;11/10/1993;1200;;16.7;;;;
83523;12/10/1993;0000;35.2;;26.14;39;3;
83523;12/10/1993;1200;;16.7;;;;
83523;13/10/1993;0000;36.3;;27.36;40.75;2.666667;
83523;13/10/1993;1200;;18.8;;;;
83523;14/10/1993;0000;35.7;;27.18;51.25;3.333333;
83523;14/10/1993;1200;;19.6;;;;
83523;15/10/1993;0000;31.5;;25.64;59.5;1.666667;
83523;15/10/1993;1200;;20;;;;
83523;16/10/1993;0000;26.3;;22.52;83;1.333333;
83523;16/10/1993;1200;;21;;;;
83523;17/10/1993;0000;32.4;;25;54.5;0.666667;
83523;17/10/1993;1200;;18.2;;;;
83523;18/10/1993;0000;34.5;;26.48;53.25;1.666667;
83523;18/10/1993;1200;;19.1;;;;
83523;19/10/1993;0000;34.5;;27.18;56.25;2;
83523;19/10/1993;1200;;20.1;;;;
83523;20/10/1993;0000;36.6;;27.22;55.75;3.666667;
83523;20/10/1993;1200;;20.5;;;;
83523;21/10/1993;0000;35.8;;28;52.75;1.666667;
83523;21/10/1993;1200;;21;;;;
83523;22/10/1993;0000;36.3;;29.04;54.75;2.666667;
83523;22/10/1993;1200;;22.7;;;;
83523;23/10/1993;0000;30.2;;26.06;78.25;1.666667;
83523;23/10/1993;1200;;22.7;;;;
83523;24/10/1993;0000;35.5;;26.4;73.75;1.666667;
83523;24/10/1993;1200;;21.5;;;;
83523;25/10/1993;0000;28.8;;24.58;89.75;1;
83523;25/10/1993;1200;;22.5;;;;
83523;26/10/1993;0000;28.4;;24.16;81.5;1.333333;
83523;26/10/1993;1200;;21.8;;;;
83523;27/10/1993;0000;33.1;;26.56;65.25;1;
83523;27/10/1993;1200;;20.4;;;;
83523;28/10/1993;0000;33.9;;28.04;61.25;2.666667;
83523;28/10/1993;1200;;22.5;;;;
83523;29/10/1993;0000;33.6;;27.54;59;3.666667;
83523;29/10/1993;1200;;24;;;;
83523;30/10/1993;0000;35.3;;28.24;54.5;2.666667;
83523;30/10/1993;1200;;22.2;;;;
83523;31/10/1993;0000;35.9;;27.96;48.25;2;
83523;31/10/1993;1200;;20.2;;;;
83523;01/11/1993;0000;36.8;;28.34;53.5;0.666667;
83523;01/11/1993;1200;;19.8;;;;
83523;02/11/1993;0000;36.8;;27.5;59.75;1.666667;
83523;02/11/1993;1200;;19.8;;;;
83523;03/11/1993;0000;35.9;;28.32;60.25;1;
83523;03/11/1993;1200;;22;;;;
83523;04/11/1993;0000;35.9;;26.58;61.75;1.333333;
83523;04/11/1993;1200;;21.5;;;;
83523;05/11/1993;0000;36;;26.3;63.25;1.333333;
83523;05/11/1993;1200;;20.7;;;;
83523;06/11/1993;0000;33.7;;25.42;68.75;1;
83523;06/11/1993;1200;;19.7;;;;
83523;07/11/1993;0000;32.7;;25.98;76;1;
83523;07/11/1993;1200;;22.2;;;;
83523;08/11/1993;0000;32.1;;26.46;63;2;
83523;08/11/1993;1200;;21;;;;
83523;09/11/1993;0000;35.1;;26.8;55.75;3;
83523;09/11/1993;1200;;23.2;;;;
83523;10/11/1993;0000;34.6;;27.34;54.5;1.666667;
83523;10/11/1993;1200;;20.5;;;;
83523;11/11/1993;0000;35.1;;28.14;48.25;3;
83523;11/11/1993;1200;;22.5;;;;
83523;12/11/1993;0000;35.1;;27.78;43;3.333333;
83523;12/11/1993;1200;;21.6;;;;
83523;13/11/1993;0000;35.4;;27.28;45.5;2.666667;
83523;13/11/1993;1200;;21.1;;;;
83523;14/11/1993;0000;35.7;;28;43.5;1;
83523;14/11/1993;1200;;20.1;;;;
83523;15/11/1993;0000;36.5;;27.68;48.25;0.666667;
83523;15/11/1993;1200;;17.7;;;;
83523;16/11/1993;0000;36.9;;27.02;66.25;2.666667;
83523;16/11/1993;1200;;20;;;;
83523;17/11/1993;0000;36.5;;28.88;52.25;2;
83523;17/11/1993;1200;;21;;;;
83523;18/11/1993;0000;34.5;;27.6;64;1.666667;
83523;18/11/1993;1200;;21.7;;;;
83523;19/11/1993;0000;34.7;;28.3;59.5;1.333333;
83523;19/11/1993;1200;;22.6;;;;
83523;20/11/1993;0000;36.6;;28.96;56.5;0.666667;
