--------------------
BDMEP - INMET
--------------------
Estação           : CATALAO - GO (OMM: 83526)
Latitude  (graus) : -18.18
Longitude (graus) : -47.95
Altitude  (metros): 840.47
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83526;01/01/1961;0000;27;;22.06;84.75;1.333333;
83526;01/01/1961;1200;;19.4;;;;
83526;02/01/1961;0000;24.3;;21.32;93.25;1.666667;
83526;02/01/1961;1200;;19.3;;;;
83526;03/01/1961;0000;23.9;;21.14;90;2;
83526;03/01/1961;1200;;19;;;;
83526;04/01/1961;0000;22.7;;20.42;93.75;2.666667;
83526;04/01/1961;1200;;18.8;;;;
83526;05/01/1961;0000;26.5;;21.36;87;1.666667;
83526;05/01/1961;1200;;18.8;;;;
83526;06/01/1961;0000;24.1;;20.72;92;2;
83526;06/01/1961;1200;;18.8;;;;
83526;07/01/1961;0000;28.6;;22.18;84.25;1.333333;
83526;07/01/1961;1200;;18.4;;;;
83526;08/01/1961;0000;24.9;;21.36;91.25;1;
83526;08/01/1961;1200;;19.5;;;;
83526;09/01/1961;0000;26.8;;22.8;78.25;1;
83526;09/01/1961;1200;;18.6;;;;
83526;10/01/1961;0000;28.7;;23.98;78.25;2;
83526;10/01/1961;1200;;20.4;;;;
83526;11/01/1961;0000;27.5;;21.68;85;2;
83526;11/01/1961;1200;;18.6;;;;
83526;12/01/1961;0000;21.6;;19.5;89.5;2;
83526;12/01/1961;1200;;18.8;;;;
83526;13/01/1961;0000;20.7;;18.66;93.5;1.333333;
83526;13/01/1961;1200;;17.6;;;;
83526;14/01/1961;0000;26.2;;21.38;83.25;1;
83526;14/01/1961;1200;;17.2;;;;
83526;15/01/1961;0000;24.9;;21.1;89.25;1.333333;
83526;15/01/1961;1200;;18.3;;;;
83526;16/01/1961;0000;27.6;;21.68;78.5;1.333333;
83526;16/01/1961;1200;;17.8;;;;
