--------------------
BDMEP - INMET
--------------------
Estação           : PATOS DE MINAS - MG (OMM: 83531)
Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Altitude  (metros): 940.28
Estação Operante
Inicio de operação: 23/10/1947
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83531;01/01/1961;0000;26.1;;21.48;91;2.666667;
83531;01/01/1961;1200;;18.6;;;;
83531;02/01/1961;0000;24.4;;20.62;94.25;0.666667;
83531;02/01/1961;1200;;18.5;;;;
83531;03/01/1961;0000;25;;21.36;90;1.666667;
83531;03/01/1961;1200;;19;;;;
83531;04/01/1961;0000;24;;21.1;91.75;3;
83531;04/01/1961;1200;;19;;;;
83531;05/01/1961;0000;26.4;;21.5;88.75;1.666667;
83531;05/01/1961;1200;;17.5;;;;
83531;06/01/1961;0000;25.5;;21.38;88.75;3.333333;
83531;06/01/1961;1200;;18.9;;;;
83531;07/01/1961;0000;23.9;;21.54;89;2;
83531;07/01/1961;1200;;18.8;;;;
83531;08/01/1961;0000;22.8;;20.64;94.25;1.666667;
83531;08/01/1961;1200;;19.5;;;;
83531;09/01/1961;0000;28.5;;22.22;79.25;3.333333;
83531;09/01/1961;1200;;17.1;;;;
83531;10/01/1961;0000;27.5;;22.34;87.75;0.333333;
83531;10/01/1961;1200;;19.8;;;;
83531;11/01/1961;0000;26.1;;21.4;83.5;0.333333;
83531;11/01/1961;1200;;17.1;;;;
83531;12/01/1961;0000;23.6;;19.96;88.75;3.666667;
83531;12/01/1961;1200;;17.5;;;;
83531;13/01/1961;0000;22.1;;19.26;87.5;4.333333;
83531;13/01/1961;1200;;17.2;;;;
