--------------------
BDMEP - INMET
--------------------
Estação           : BOM DESPACHO - MG (OMM: 83533)
Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Altitude  (metros): 695.00
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83533;01/05/1981;0000;28;;21.48;72.5;;
83533;01/05/1981;1200;;15.4;;;;
83533;02/05/1981;0000;26;;21.48;78;;
83533;02/05/1981;1200;;18.8;;;;
83533;03/05/1981;0000;29.8;;21.12;77.25;;
83533;03/05/1981;1200;;16.4;;;;
83533;04/05/1981;0000;29.4;;21.96;70.5;;
83533;04/05/1981;1200;;16.4;;;;
83533;05/05/1981;0000;29.4;;22.44;65;;
83533;05/05/1981;1200;;16;;;;
83533;06/05/1981;0000;28.8;;22.02;59.75;;
83533;06/05/1981;1200;;16.7;;;;
83533;08/05/1981;0000;27;;19.8;62.25;;
83533;08/05/1981;1200;;12.4;;;;
83533;09/05/1981;0000;26.2;;18.52;75.75;;
83533;09/05/1981;1200;;13.2;;;;
83533;12/05/1981;0000;27.8;;19.68;62.75;;
83533;12/05/1981;1200;;15.2;;;;
83533;13/05/1981;0000;27.8;;19.12;54.75;;
83533;13/05/1981;1200;;12.4;;;;
83533;14/05/1981;0000;27.6;;19.28;57.25;;
83533;14/05/1981;1200;;10.6;;;;
83533;15/05/1981;0000;29.8;;20.6;64.75;;
83533;15/05/1981;1200;;12.4;;;;
83533;16/05/1981;0000;29.4;;21.96;56.5;;
83533;16/05/1981;1200;;15.2;;;;
83533;17/05/1981;0000;28.6;;20.4;59.5;;
83533;17/05/1981;1200;;10.8;;;;
83533;18/05/1981;0000;27.8;;20.8;68.75;;
83533;18/05/1981;1200;;14.4;;;;
83533;19/05/1981;0000;24.8;;20.24;82;;
83533;19/05/1981;1200;;16;;;;
83533;20/05/1981;0000;25.8;;20.44;74.5;;
83533;20/05/1981;1200;;15.8;;;;
83533;21/05/1981;0000;26.6;;20.6;64.5;;
83533;21/05/1981;1200;;16.2;;;;
83533;23/05/1981;0000;26.2;;19.16;66.75;;
83533;23/05/1981;1200;;13.2;;;;
83533;24/05/1981;0000;24.6;;19;66.25;;
83533;24/05/1981;1200;;14.6;;;;
83533;25/05/1981;0000;24.2;;17.96;79.5;;
83533;25/05/1981;1200;;14.6;;;;
83533;26/05/1981;0000;28.2;;19.88;64.5;;
83533;26/05/1981;1200;;12.4;;;;
83533;27/05/1981;0000;27.2;;19.6;69.5;;
83533;27/05/1981;1200;;17;;;;
83533;28/05/1981;0000;27.4;;18.44;75.5;;
83533;28/05/1981;1200;;14.6;;;;
83533;29/05/1981;0000;24.2;;17.08;79.25;;
83533;29/05/1981;1200;;12.4;;;;
83533;30/05/1981;0000;25.6;;18.24;71;;
83533;30/05/1981;1200;;11.2;;;;
83533;31/05/1981;0000;25.2;;18.48;67;;
83533;31/05/1981;1200;;13.8;;;;
83533;01/06/1981;0000;26.4;;19.12;68.75;;
83533;01/06/1981;1200;;13;;;;
83533;02/06/1981;0000;25.6;;18.76;70.75;;
83533;02/06/1981;1200;;12.4;;;;
83533;03/06/1981;0000;26.4;;18.88;76.5;;
83533;03/06/1981;1200;;12;;;;
83533;04/06/1981;0000;27.2;;20.16;73.5;;
83533;04/06/1981;1200;;16.2;;;;
83533;05/06/1981;0000;26.8;;20;71.5;;
83533;05/06/1981;1200;;15.6;;;;
83533;06/06/1981;0000;24.6;;19.24;69.5;;
83533;06/06/1981;1200;;14.4;;;;
83533;07/06/1981;0000;20;;17.08;84.75;;
83533;07/06/1981;1200;;15;;;;
83533;08/06/1981;0000;22;;14.52;68.25;;
83533;08/06/1981;1200;;8.8;;;;
83533;09/06/1981;0000;23.2;;14.6;66;;
83533;09/06/1981;1200;;5.4;;;;
83533;10/06/1981;0000;24.2;;17.2;53.5;;
83533;10/06/1981;1200;;8;;;;
83533;11/06/1981;0000;26.4;;16.8;83.75;;
83533;11/06/1981;1200;;11.4;;;;
83533;12/06/1981;0000;26;;18.16;80;;
83533;12/06/1981;1200;;10;;;;
83533;13/06/1981;0000;25;;16.84;88.5;;
83533;13/06/1981;1200;;10.8;;;;
83533;14/06/1981;0000;26.4;;17.52;86.5;;
83533;14/06/1981;1200;;12;;;;
83533;15/06/1981;0000;26;;19;80.75;;
83533;15/06/1981;1200;;12.4;;;;
