--------------------
BDMEP - INMET
--------------------
Estação           : CURVELO - MG (OMM: 83536)
Latitude  (graus) : -18.75
Longitude (graus) : -44.45
Altitude  (metros): 672.00
Estação Operante
Inicio de operação: 03/09/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83536;01/01/1961;0000;28.8;;21.68;87.5;0.666667;
83536;01/01/1961;1200;;18.6;;;;
83536;02/01/1961;0000;26.8;;22;89;0.666667;
83536;02/01/1961;1200;;19;;;;
83536;03/01/1961;0000;27.6;;22;89;1.666667;
83536;03/01/1961;1200;;19;;;;
83536;04/01/1961;0000;24.6;;19.88;91;1.666667;
83536;04/01/1961;1200;;15.2;;;;
83536;05/01/1961;0000;26.4;;20.6;90.25;1;
83536;05/01/1961;1200;;16.6;;;;
83536;06/01/1961;0000;29.6;;22.72;84;1;
83536;06/01/1961;1200;;18.4;;;;
83536;07/01/1961;0000;26.6;;22.08;89.75;0.666667;
83536;07/01/1961;1200;;18.8;;;;
83536;08/01/1961;0000;26.8;;20.96;86;2;
83536;08/01/1961;1200;;15.6;;;;
83536;09/01/1961;0000;30.6;;23.8;85;0.666667;
83536;09/01/1961;1200;;19;;;;
83536;10/01/1961;0000;29;;22.52;90.75;1.333333;
83536;10/01/1961;1200;;19.4;;;;
83536;11/01/1961;0000;28.4;;22.04;92.5;1.666667;
83536;11/01/1961;1200;;17.4;;;;
83536;12/01/1961;0000;22.4;;17.4;95.25;1;
83536;12/01/1961;1200;;11.8;;;;
83536;13/01/1961;0000;22;;17.8;88.75;1;
83536;13/01/1961;1200;;13;;;;
83536;14/01/1961;0000;28;;20.48;90.75;1.666667;
83536;14/01/1961;1200;;17.6;;;;
83536;15/01/1961;0000;28.4;;21.04;85.75;1;
83536;15/01/1961;1200;;16.6;;;;
83536;16/01/1961;0000;27.2;;21.84;79;0.666667;
83536;16/01/1961;1200;;17.8;;;;
83536;17/01/1961;0000;31.4;;23.44;74.25;0.666667;
83536;17/01/1961;1200;;16.6;;;;
83536;18/01/1961;0000;32;;23.84;75;0.333333;
83536;18/01/1961;1200;;17.2;;;;
83536;19/01/1961;0000;32;;24.64;72.75;0.666667;
