--------------------
BDMEP - INMET
--------------------
Estação           : SAO MATEUS - ES (OMM: 83550)
Latitude  (graus) : -18.7
Longitude (graus) : -39.85
Altitude  (metros): 25.04
Estação Operante
Inicio de operação: 26/06/1969
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83550;08/11/1970;0000;24.5;;;87.25;0.333333;
83550;09/11/1970;0000;23.5;;;92.25;1.666667;
83550;10/11/1970;0000;26.2;;;91.25;0.333333;
83550;11/11/1970;0000;24.2;;;83.75;3.666667;
83550;12/11/1970;0000;23.2;;;90.75;1.333333;
83550;13/11/1970;0000;27.4;;;79.75;3.333333;
83550;14/11/1970;0000;29.1;;;80.25;6.666667;
83550;15/11/1970;0000;23.2;;;91.25;5;
83550;16/11/1970;0000;25.3;;;83;0.666667;
83550;17/11/1970;0000;25.4;;;85;6.333333;
83550;18/11/1970;0000;28.4;;;79.25;6.333333;
83550;19/11/1970;0000;27.2;;;84.5;2.666667;
83550;20/11/1970;0000;26.1;;;77.5;5;
83550;21/11/1970;0000;27.3;;;78;4;
83550;22/11/1970;0000;28.2;;;80.75;2.666667;
83550;23/11/1970;0000;24.4;;;82;1.666667;
83550;24/11/1970;0000;22.4;;;83.25;4.333333;
83550;25/11/1970;0000;25.6;;;74;1.666667;
83550;26/11/1970;0000;25.6;;;72.5;2.666667;
83550;27/11/1970;0000;27.2;;;74.5;5.666667;
83550;28/11/1970;0000;28.5;;;80.75;4;
83550;29/11/1970;0000;29.5;;;78.5;3.333333;
83550;30/11/1970;0000;32.9;;;85;2;
83550;01/12/1970;0000;32.9;;;78.75;3.333333;
83550;02/12/1970;0000;34.3;;;65;1.666667;
83550;03/12/1970;0000;32.2;;;80;3.666667;
