--------------------
BDMEP - INMET
--------------------
Estação           : CORUMBA - MS (OMM: 83552)
Latitude  (graus) : -19.02
Longitude (graus) : -57.67
Altitude  (metros): 130.00
Estação Operante
Inicio de operação: 01/05/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83552;01/01/1961;0000;31.4;;26.56;78.75;3.333333;
83552;01/01/1961;1200;;24.2;;;;
83552;02/01/1961;0000;33.4;;26.48;81.25;1;
83552;02/01/1961;1200;;22.4;;;;
83552;03/01/1961;0000;32.7;;27.98;78.25;1;
83552;03/01/1961;1200;;24.2;;;;
83552;04/01/1961;0000;34.8;;28.72;66;3;
83552;04/01/1961;1200;;24.6;;;;
83552;05/01/1961;0000;33.8;;28.56;69.5;2;
83552;05/01/1961;1200;;25;;;;
83552;06/01/1961;0000;33.9;;25.46;77.25;2.666667;
83552;06/01/1961;1200;;21.9;;;;
83552;07/01/1961;0000;29.9;;25.02;76.5;1;
83552;07/01/1961;1200;;20.6;;;;
83552;08/01/1961;0000;32.8;;27.82;70.75;1.666667;
83552;08/01/1961;1200;;22.4;;;;
83552;09/01/1961;0000;35.6;;29.62;71.5;1;
83552;09/01/1961;1200;;25.2;;;;
83552;10/01/1961;0000;36.3;;30.3;67.75;2.333333;
83552;10/01/1961;1200;;25.6;;;;
83552;11/01/1961;0000;35.8;;27.96;81.75;0.666667;
83552;11/01/1961;1200;;24.3;;;;
83552;12/01/1961;0000;38.6;;30.04;73;2;
83552;12/01/1961;1200;;24.8;;;;
83552;13/01/1961;0000;36;;29.64;69;1.666667;
83552;13/01/1961;1200;;25.7;;;;
83552;14/01/1961;0000;32.8;;27.8;77;1;
83552;14/01/1961;1200;;25;;;;
83552;15/01/1961;0000;34.1;;28.46;73;1;
83552;15/01/1961;1200;;24.6;;;;
83552;16/01/1961;0000;35.3;;29.86;65;1.666667;
83552;16/01/1961;1200;;25.6;;;;
83552;17/01/1961;0000;34.6;;29.22;67.75;1.666667;
83552;17/01/1961;1200;;24.9;;;;
83552;18/01/1961;0000;31.8;;27.24;86.75;1.666667;
83552;18/01/1961;1200;;24.6;;;;
83552;19/01/1961;0000;34.6;;28.68;63;0.666667;
83552;19/01/1961;1200;;24.3;;;;
83552;20/01/1961;0000;36;;30.12;61.75;2.333333;
83552;20/01/1961;1200;;25.6;;;;
83552;21/01/1961;0000;37.9;;31.26;60.5;0.666667;
83552;21/01/1961;1200;;25.4;;;;
83552;22/01/1961;0000;32.6;;27.72;84;1;
83552;22/01/1961;1200;;25.4;;;;
83552;23/01/1961;0000;32;;26.92;88.5;0.666667;
83552;23/01/1961;1200;;25;;;;
83552;24/01/1961;0000;32.6;;26.6;87.25;1.666667;
83552;24/01/1961;1200;;24.4;;;;
83552;25/01/1961;0000;31.8;;26.08;87.75;1;
83552;25/01/1961;1200;;23.8;;;;
83552;26/01/1961;0000;29.6;;25.16;90.5;0.666667;
83552;26/01/1961;1200;;23.8;;;;
83552;27/01/1961;0000;31.4;;25.34;62.5;3.333333;
83552;27/01/1961;1200;;20.6;;;;
83552;28/01/1961;0000;33.4;;26.58;63.25;1.333333;
83552;28/01/1961;1200;;21.2;;;;
83552;29/01/1961;0000;35;;27.92;63;1.666667;
83552;29/01/1961;1200;;22.8;;;;
83552;30/01/1961;0000;36.2;;28.42;54.75;2.666667;
83552;30/01/1961;1200;;23;;;;
83552;31/01/1961;0000;36.3;;30.12;62.5;1;
