--------------------
BDMEP - INMET
--------------------
Estação           : PARANAIBA - MS (OMM: 83565)
Latitude  (graus) : -19.75
Longitude (graus) : -51.18
Altitude  (metros): 331.25
Estação Operante
Inicio de operação: 07/07/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83565;08/07/1971;0000;27.8;;19.12;80.25;1;
83565;08/07/1971;1200;;12;;;;
83565;09/07/1971;0000;28.4;;20.9;78.75;1;
83565;09/07/1971;1200;;14.5;;;;
83565;10/07/1971;0000;28.5;;21.38;69;0.333333;
83565;10/07/1971;1200;;15.9;;;;
83565;11/07/1971;0000;28.9;;21.58;68;1.666667;
83565;11/07/1971;1200;;15.2;;;;
83565;12/07/1971;0000;27.8;;20.26;72.5;1;
83565;12/07/1971;1200;;13.5;;;;
83565;13/07/1971;0000;27.9;;20.16;70.75;1.666667;
83565;13/07/1971;1200;;14.8;;;;
83565;14/07/1971;0000;27.9;;19.48;73.25;1;
83565;14/07/1971;1200;;12.8;;;;
83565;15/07/1971;0000;27.7;;18.9;66.75;1;
83565;15/07/1971;1200;;11.9;;;;
83565;16/07/1971;0000;27.8;;18.94;69;1.666667;
83565;16/07/1971;1200;;10.1;;;;
83565;17/07/1971;0000;29;;19.78;71.25;0.666667;
83565;17/07/1971;1200;;11.7;;;;
83565;18/07/1971;0000;29;;20.2;72;0.333333;
83565;18/07/1971;1200;;14;;;;
83565;19/07/1971;0000;28.6;;19.48;72.25;1;
83565;19/07/1971;1200;;12.2;;;;
83565;20/07/1971;0000;28.8;;19.66;70.25;1;
83565;20/07/1971;1200;;12.5;;;;
83565;21/07/1971;0000;29.3;;19.66;71;0.666667;
83565;21/07/1971;1200;;11.5;;;;
83565;22/07/1971;0000;29.7;;20.5;63.75;1;
83565;22/07/1971;1200;;11.5;;;;
83565;23/07/1971;0000;29.2;;19.74;66.75;1;
83565;23/07/1971;1200;;11.5;;;;
83565;24/07/1971;0000;30.2;;19.62;65.75;1;
83565;24/07/1971;1200;;9.7;;;;
83565;25/07/1971;0000;31;;20.04;67;1.333333;
83565;25/07/1971;1200;;10.2;;;;
83565;26/07/1971;0000;32.8;;20.24;67.25;1;
83565;26/07/1971;1200;;12.7;;;;
83565;27/07/1971;0000;27.7;;19.74;79.5;2.666667;
83565;27/07/1971;1200;;14;;;;
