--------------------
BDMEP - INMET
--------------------
Estação           : POMPEU - MG (OMM: 83570)
Latitude  (graus) : -19.21
Longitude (graus) : -45
Altitude  (metros): 690.91
Estação Operante
Inicio de operação: 01/11/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83570;08/01/1973;0000;34;;25.2;79;1.2;
83570;08/01/1973;1200;;19;;;;
83570;09/01/1973;0000;34.9;;26.78;74;0;
83570;09/01/1973;1200;;19;;;;
83570;10/01/1973;0000;34;;25.64;65.5;0;
83570;10/01/1973;1200;;20.3;;;;
83570;11/01/1973;0000;33.8;;26.56;74.25;0;
83570;11/01/1973;1200;;19.8;;;;
83570;12/01/1973;0000;32;;24.78;82.5;1;
83570;12/01/1973;1200;;20;;;;
83570;13/01/1973;0000;35.1;;24.98;74;0;
83570;13/01/1973;1200;;18.8;;;;
83570;14/01/1973;0000;33;;26.56;66.25;0;
83570;14/01/1973;1200;;21;;;;
83570;15/01/1973;0000;33.1;;25.7;72.75;0.5;
83570;15/01/1973;1200;;21;;;;
83570;16/01/1973;0000;;;;;0;
83570;16/01/1973;1200;;18.8;;;;
83570;18/01/1973;0000;27;;;;0;
83570;19/01/1973;0000;27.8;;21.9;85.5;0.333333;
83570;19/01/1973;1200;;17.4;;;;
83570;20/01/1973;0000;30;;22.92;82.5;0;
83570;20/01/1973;1200;;17;;;;
83570;21/01/1973;0000;29;;22.92;80.75;1.033333;
83570;21/01/1973;1200;;18.8;;;;
83570;22/01/1973;0000;29;;22.44;77.75;0;
83570;22/01/1973;1200;;18;;;;
83570;23/01/1973;0000;29.8;;24.44;71;0;
83570;23/01/1973;1200;;18.8;;;;
83570;24/01/1973;0000;32.2;;25.08;72.75;0;
83570;24/01/1973;1200;;19.2;;;;
83570;25/01/1973;0000;32.4;;25.8;72.5;0;
83570;25/01/1973;1200;;19.8;;;;
83570;26/01/1973;0000;32;;24.12;79;0.5;
83570;26/01/1973;1200;;19;;;;
83570;27/01/1973;0000;30.8;;24.04;69.75;0;
83570;27/01/1973;1200;;17;;;;
83570;28/01/1973;0000;32;;25.84;66.75;0;
83570;28/01/1973;1200;;18;;;;
83570;29/01/1973;0000;32.8;;26;68.25;0.7;
83570;29/01/1973;1200;;19.8;;;;
83570;30/01/1973;0000;31.2;;23.44;84.25;1.033333;
83570;30/01/1973;1200;;19.2;;;;
83570;31/01/1973;0000;31;;23.24;83.75;0.7;
83570;31/01/1973;1200;;18;;;;
83570;01/02/1973;0000;28;;22.28;87;0;
83570;01/02/1973;1200;;18.8;;;;
83570;02/02/1973;0000;31.6;;24.48;78.25;0;
83570;02/02/1973;1200;;19;;;;
83570;03/02/1973;0000;29.8;;23.16;85.5;0;
83570;03/02/1973;1200;;19.8;;;;
83570;04/02/1973;0000;29.2;;24.24;75.25;0;
83570;04/02/1973;1200;;19.6;;;;
83570;05/02/1973;0000;30.4;;23.72;78;0;
83570;05/02/1973;1200;;18.8;;;;
83570;06/02/1973;0000;31.6;;24.72;80;0;
83570;06/02/1973;1200;;18.2;;;;
83570;07/02/1973;0000;30;;23.8;84.75;0;
83570;07/02/1973;1200;;20.2;;;;
83570;08/02/1973;0000;32.4;;25.12;74.75;0;
83570;08/02/1973;1200;;19;;;;
83570;09/02/1973;0000;33;;24.68;80.25;0;
83570;09/02/1973;1200;;19.2;;;;
83570;10/02/1973;0000;33.2;;25.32;75.25;0;
83570;10/02/1973;1200;;19;;;;
83570;11/02/1973;0000;34.2;;25.8;71.75;0;
83570;11/02/1973;1200;;19.8;;;;
83570;12/02/1973;0000;31;;24.32;80.5;0.5;
83570;12/02/1973;1200;;19.8;;;;
83570;13/02/1973;0000;33;;24.84;67.5;0.833333;
83570;13/02/1973;1200;;19.2;;;;
83570;14/02/1973;0000;29.8;;23.72;76.25;0.366667;
83570;14/02/1973;1200;;18.2;;;;
83570;15/02/1973;0000;30.6;;24.36;74.25;0;
83570;15/02/1973;1200;;19.2;;;;
83570;16/02/1973;0000;31.6;;24.72;76.75;0;
83570;16/02/1973;1200;;19;;;;
83570;17/02/1973;0000;32;;25.36;78.25;0;
83570;17/02/1973;1200;;20.2;;;;
83570;18/02/1973;0000;32.2;;25.76;65.75;0;
83570;18/02/1973;1200;;18;;;;
83570;19/02/1973;0000;32;;25.4;67.75;0.7;
83570;19/02/1973;1200;;18.8;;;;
83570;20/02/1973;0000;33;;25.84;70.25;0;
83570;20/02/1973;1200;;19.2;;;;
83570;21/02/1973;0000;32;;25.16;70.25;0;
83570;21/02/1973;1200;;17.8;;;;
83570;22/02/1973;0000;33.6;;25.72;67.75;0;
83570;22/02/1973;1200;;18.8;;;;
83570;23/02/1973;0000;33.4;;25.4;65;0.333333;
83570;23/02/1973;1200;;19;;;;
83570;24/02/1973;0000;33.4;;25.88;64.75;1.033333;
83570;24/02/1973;1200;;17.8;;;;
83570;25/02/1973;0000;34;;26.2;64.5;0.666667;
83570;25/02/1973;1200;;18.8;;;;
83570;26/02/1973;0000;31.4;;24.24;77.5;0.5;
83570;26/02/1973;1200;;17;;;;
83570;27/02/1973;0000;33.2;;24.36;73.75;0;
83570;27/02/1973;1200;;18;;;;
83570;28/02/1973;0000;32;;24.6;76.5;0.333333;
83570;28/02/1973;1200;;19.2;;;;
83570;01/03/1973;0000;32.6;;26.16;68.5;1.033333;
83570;01/03/1973;1200;;19.8;;;;
83570;02/03/1973;0000;32.6;;25.8;69.5;0.333333;
83570;02/03/1973;1200;;20;;;;
83570;03/03/1973;0000;33.2;;25.84;71.5;0;
83570;03/03/1973;1200;;19.6;;;;
83570;04/03/1973;0000;33.8;;26.44;69.75;0.333333;
83570;04/03/1973;1200;;20;;;;
83570;05/03/1973;0000;32;;24.8;79.5;1.2;
83570;05/03/1973;1200;;21;;;;
83570;06/03/1973;0000;31.4;;23.88;82.75;0;
83570;06/03/1973;1200;;18.4;;;;
83570;07/03/1973;0000;32.4;;24.8;80.5;1.033333;
83570;07/03/1973;1200;;19;;;;
83570;08/03/1973;0000;31.4;;23.96;87.75;0;
83570;08/03/1973;1200;;20.4;;;;
83570;09/03/1973;0000;31;;23.44;84.25;1.2;
83570;09/03/1973;1200;;20;;;;
83570;10/03/1973;0000;25.8;;22.68;95.25;1;
83570;10/03/1973;1200;;19.8;;;;
83570;11/03/1973;0000;27.2;;21.52;91.25;0.166667;
83570;11/03/1973;1200;;18.6;;;;
83570;12/03/1973;0000;25;;22.2;89.5;0;
83570;12/03/1973;1200;;19;;;;
83570;13/03/1973;0000;30;;23.56;74.25;0.666667;
83570;13/03/1973;1200;;18.8;;;;
83570;14/03/1973;0000;30;;23.28;79.5;0;
83570;14/03/1973;1200;;17.8;;;;
83570;15/03/1973;0000;30.4;;24.4;70.5;0.333333;
83570;15/03/1973;1200;;18;;;;
83570;16/03/1973;0000;31.2;;24.68;77.25;0;
83570;16/03/1973;1200;;19;;;;
83570;17/03/1973;0000;33;;26;64.25;0;
83570;17/03/1973;1200;;19;;;;
