--------------------
BDMEP - INMET
--------------------
Estação           : FRUTAL - MG (OMM: 83574)
Latitude  (graus) : -20.03
Longitude (graus) : -48.93
Altitude  (metros): 543.67
Estação Operante
Inicio de operação: 27/11/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83574;01/01/1961;0000;29.2;;23.52;86.5;2.666667;
83574;01/01/1961;1200;;21.4;;;;
83574;02/01/1961;0000;25.4;;22.56;91.5;2.666667;
83574;02/01/1961;1200;;21;;;;
83574;03/01/1961;0000;25.2;;22.76;93.75;1;
83574;03/01/1961;1200;;20.8;;;;
83574;04/01/1961;0000;26;;22.44;96.25;3;
83574;04/01/1961;1200;;21;;;;
83574;05/01/1961;0000;29.3;;24.26;86.25;1.666667;
83574;05/01/1961;1200;;21;;;;
83574;06/01/1961;0000;32.8;;24.08;96.75;2;
83574;06/01/1961;1200;;21.4;;;;
83574;07/01/1961;0000;27;;23.92;87;2;
83574;07/01/1961;1200;;20.8;;;;
83574;08/01/1961;0000;30.5;;24.5;87.25;1;
83574;08/01/1961;1200;;21.8;;;;
83574;09/01/1961;0000;32.7;;25.46;82.5;2;
83574;09/01/1961;1200;;22;;;;
83574;10/01/1961;0000;29.7;;24.62;87.25;1.666667;
83574;10/01/1961;1200;;22.4;;;;
83574;11/01/1961;0000;30.7;;24.06;85;1.666667;
83574;11/01/1961;1200;;20.4;;;;
83574;12/01/1961;0000;28.9;;22.94;85.25;1;
83574;12/01/1961;1200;;20.2;;;;
83574;13/01/1961;0000;28.7;;23.34;83.75;1.666667;
83574;13/01/1961;1200;;20.2;;;;
83574;14/01/1961;0000;29.8;;24.14;76.25;2.333333;
83574;14/01/1961;1200;;19.1;;;;
83574;15/01/1961;0000;29.5;;25.08;85.5;1.666667;
83574;15/01/1961;1200;;21.7;;;;
83574;16/01/1961;0000;31.4;;25.32;80.5;2.333333;
83574;16/01/1961;1200;;21;;;;
83574;17/01/1961;0000;31.7;;25.1;78;3;
83574;17/01/1961;1200;;20;;;;
83574;18/01/1961;0000;34;;25.8;72.5;1;
83574;18/01/1961;1200;;20.1;;;;
83574;19/01/1961;0000;35;;28.12;64.5;3;
83574;19/01/1961;1200;;21.8;;;;
83574;20/01/1961;0000;33.8;;26.2;78.25;1.666667;
83574;20/01/1961;1200;;21.4;;;;
83574;21/01/1961;0000;33.2;;26.16;72;1.666667;
83574;21/01/1961;1200;;21;;;;
83574;22/01/1961;0000;34.5;;26.46;68.5;2.333333;
83574;22/01/1961;1200;;21.2;;;;
83574;23/01/1961;0000;33.8;;26.6;77.75;1;
83574;23/01/1961;1200;;22.5;;;;
