--------------------
BDMEP - INMET
--------------------
Estação           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Estação Operante
Inicio de operação: 11/10/1913
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83577;01/01/1961;0000;27.4;;21.68;82.75;0.666667;
83577;01/01/1961;1200;;18.6;;;;
83577;02/01/1961;0000;25.5;;20.78;94.75;0.333333;
83577;02/01/1961;1200;;18.8;;;;
83577;03/01/1961;0000;26;;21.7;94;1.333333;
83577;03/01/1961;1200;;18.8;;;;
83577;04/01/1961;0000;25.1;;21.42;95;0.333333;
83577;04/01/1961;1200;;19.2;;;;
83577;05/01/1961;0000;28;;22.64;85.25;0.333333;
83577;05/01/1961;1200;;19.1;;;;
83577;06/01/1961;0000;25.6;;21.56;92.5;1;
83577;06/01/1961;1200;;19.4;;;;
83577;07/01/1961;0000;28;;22.4;85.5;0;
83577;07/01/1961;1200;;18.8;;;;
83577;08/01/1961;0000;29.4;;23.44;81.25;0.333333;
83577;08/01/1961;1200;;18.8;;;;
83577;09/01/1961;0000;29.8;;23.4;96.25;0.333333;
83577;09/01/1961;1200;;19.6;;;;
83577;10/01/1961;0000;29;;24.12;80.25;0.666667;
83577;10/01/1961;1200;;19.2;;;;
83577;11/01/1961;0000;30.4;;23.24;88.75;0.666667;
83577;11/01/1961;1200;;19.8;;;;
83577;12/01/1961;0000;27.6;;21.44;89.75;1.333333;
83577;12/01/1961;1200;;18.4;;;;
83577;13/01/1961;0000;25.4;;21.68;80.5;1;
83577;13/01/1961;1200;;18.6;;;;
83577;14/01/1961;0000;27.6;;22.36;81.25;0.666667;
83577;14/01/1961;1200;;17.4;;;;
83577;15/01/1961;0000;28.8;;23.24;85;0.333333;
83577;15/01/1961;1200;;18.6;;;;
83577;16/01/1961;0000;30;;23.96;69;1;
83577;16/01/1961;1200;;17.8;;;;
83577;17/01/1961;0000;31.4;;23.88;76.25;0.666667;
83577;17/01/1961;1200;;19;;;;
83577;18/01/1961;0000;32.6;;25.04;70;0.666667;
83577;18/01/1961;1200;;18.4;;;;
83577;19/01/1961;0000;32.6;;24.96;73.5;0.333333;
83577;19/01/1961;1200;;19.2;;;;
83577;20/01/1961;0000;31.2;;23.92;75.75;0.666667;
83577;20/01/1961;1200;;18.8;;;;
