--------------------
BDMEP - INMET
--------------------
Estação           : ARAXA - MG (OMM: 83579)
Latitude  (graus) : -19.6
Longitude (graus) : -46.94
Altitude  (metros): 1023.61
Estação Operante
Inicio de operação: 07/09/1916
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83579;01/04/1963;0000;29;;22.56;57;1.333333;
83579;01/04/1963;1200;;14;;;;
83579;05/04/1965;0000;22.8;;18.6;92.5;0.666667;
83579;05/04/1965;1200;;14.2;;;;
83579;06/04/1965;0000;22;;18.62;89;0.333333;
83579;06/04/1965;1200;;15.5;;;;
83579;07/04/1965;0000;28.4;;21.38;81.75;0;
83579;07/04/1965;1200;;15.1;;;;
83579;08/04/1965;0000;30.1;;22.76;86;0.666667;
83579;08/04/1965;1200;;16.5;;;;
83579;09/04/1965;0000;25;;20.44;92;0;
83579;09/04/1965;1200;;16.8;;;;
83579;10/04/1965;0000;25.8;;19.56;80.5;1.333333;
83579;10/04/1965;1200;;16;;;;
83579;11/04/1965;0000;27;;20.1;94;0.666667;
83579;11/04/1965;1200;;15.3;;;;
83579;12/04/1965;0000;28.4;;20.5;80.25;2;
83579;12/04/1965;1200;;14.3;;;;
83579;13/04/1965;0000;28.2;;21.64;79;2;
83579;13/04/1965;1200;;15;;;;
83579;14/04/1965;0000;27.1;;20.74;83.75;2;
83579;14/04/1965;1200;;16;;;;
83579;15/04/1965;0000;27.4;;20.86;88;2.666667;
83579;15/04/1965;1200;;15.7;;;;
83579;16/04/1965;0000;28;;21.2;87;0.666667;
83579;16/04/1965;1200;;16;;;;
83579;17/04/1965;0000;28.5;;21.58;85;0;
83579;17/04/1965;1200;;16.8;;;;
83579;18/04/1965;0000;28.6;;21.84;84;0;
83579;18/04/1965;1200;;17;;;;
83579;19/04/1965;0000;27;;22.52;84.75;1.333333;
83579;19/04/1965;1200;;18.4;;;;
83579;20/04/1965;0000;30;;22.68;82.25;1.333333;
83579;20/04/1965;1200;;14.6;;;;
83579;21/04/1965;0000;27.2;;22.8;84.25;2;
83579;21/04/1965;1200;;19.8;;;;
83579;22/04/1965;0000;25.8;;20.4;89.75;2;
83579;22/04/1965;1200;;16.6;;;;
83579;23/04/1965;0000;25.2;;18.88;88.5;2;
83579;23/04/1965;1200;;14.2;;;;
83579;24/04/1965;0000;27;;19.86;84.75;1.333333;
83579;24/04/1965;1200;;14.4;;;;
83579;25/04/1965;0000;27.2;;20.22;82.75;0.666667;
83579;25/04/1965;1200;;14.4;;;;
83579;26/04/1965;0000;29.4;;21.08;82;1.333333;
83579;26/04/1965;1200;;13.2;;;;
83579;27/04/1965;0000;30.4;;22.06;82;0.666667;
83579;27/04/1965;1200;;15.5;;;;
83579;28/04/1965;0000;29.8;;23.2;83.5;1.333333;
83579;28/04/1965;1200;;17.4;;;;
83579;29/04/1965;0000;25.4;;18.76;88.5;4.333333;
83579;29/04/1965;1200;;15.4;;;;
83579;30/04/1965;0000;21;;18.08;94.75;2;
83579;30/04/1965;1200;;14.6;;;;
83579;01/05/1965;0000;27.8;;21.5;87;0.666667;
83579;01/05/1965;1200;;15.1;;;;
83579;02/05/1965;0000;29;;21.52;82.25;1.333333;
83579;02/05/1965;1200;;16;;;;
83579;03/05/1965;0000;28.4;;19.9;85;0.666667;
83579;03/05/1965;1200;;13.1;;;;
83579;04/05/1965;0000;27.4;;19.04;87.75;2;
83579;04/05/1965;1200;;10.8;;;;
83579;05/05/1965;0000;28;;20.56;87;2.666667;
83579;05/05/1965;1200;;14;;;;
83579;06/05/1965;0000;28;;20.8;87.5;2;
83579;06/05/1965;1200;;13.6;;;;
83579;07/05/1965;0000;27;;20.48;90;2;
83579;07/05/1965;1200;;14.8;;;;
83579;08/05/1965;0000;28.4;;21.02;88.5;0.666667;
83579;08/05/1965;1200;;14.5;;;;
83579;09/05/1965;0000;27.8;;21.64;88.5;1.333333;
83579;09/05/1965;1200;;14.8;;;;
83579;10/05/1965;0000;27.1;;20.94;92;2;
83579;10/05/1965;1200;;16.4;;;;
83579;11/05/1965;0000;25.8;;20.56;90.25;1.333333;
83579;11/05/1965;1200;;14.4;;;;
83579;12/05/1965;0000;26.2;;20.54;91.25;1.333333;
83579;12/05/1965;1200;;12.5;;;;
83579;13/05/1965;0000;28;;21.34;90;2;
83579;13/05/1965;1200;;16;;;;
83579;14/05/1965;0000;26.8;;19.96;87;2;
83579;14/05/1965;1200;;15;;;;
83579;15/05/1965;0000;28.1;;21.9;87.25;1.333333;
83579;15/05/1965;1200;;15.4;;;;
83579;16/05/1965;0000;26.2;;20.64;93.25;2;
83579;16/05/1965;1200;;14;;;;
83579;17/05/1965;0000;28.5;;21.86;87.5;2.666667;
83579;17/05/1965;1200;;16.8;;;;
83579;22/05/1965;0000;26.4;;19.84;91.25;1.333333;
83579;22/05/1965;1200;;14.6;;;;
83579;23/05/1965;0000;26;;19.16;86;2;
83579;23/05/1965;1200;;16.4;;;;
83579;24/05/1965;0000;25.8;;16.84;86.25;1.333333;
83579;24/05/1965;1200;;10.2;;;;
83579;25/05/1965;0000;26.6;;18.04;75;3.333333;
83579;25/05/1965;1200;;9.8;;;;
83579;26/05/1965;0000;26.2;;18.32;73.75;2;
83579;26/05/1965;1200;;9.9;;;;
83579;27/05/1965;0000;25.4;;18.64;84.25;1.333333;
83579;27/05/1965;1200;;14;;;;
83579;28/05/1965;0000;25.6;;18.24;83.75;2;
83579;28/05/1965;1200;;12.8;;;;
83579;29/05/1965;0000;26;;18.36;86.75;2;
83579;29/05/1965;1200;;12.2;;;;
83579;30/05/1965;0000;26.2;;18.96;85;2;
83579;30/05/1965;1200;;13.6;;;;
83579;31/05/1965;0000;26;;18.68;83;2;
83579;31/05/1965;1200;;13.6;;;;
83579;01/07/1965;0000;28;;20.12;86.75;1.333333;
83579;01/07/1965;1200;;13;;;;
83579;02/07/1965;0000;28;;20.44;87.75;2;
83579;02/07/1965;1200;;14.8;;;;
83579;03/07/1965;0000;28;;19.72;87.75;2;
83579;03/07/1965;1200;;13.6;;;;
83579;04/07/1965;0000;27.6;;19.56;87.75;2;
83579;04/07/1965;1200;;12.8;;;;
83579;05/07/1965;0000;22.6;;16.84;94.75;2;
83579;05/07/1965;1200;;13.8;;;;
83579;06/07/1965;0000;22.2;;17.4;92.75;2;
83579;06/07/1965;1200;;13.8;;;;
83579;07/07/1965;0000;20.6;;17.2;97.25;1.333333;
83579;07/07/1965;1200;;14.4;;;;
83579;08/07/1965;0000;21;;16.72;94.25;1.333333;
83579;08/07/1965;1200;;14.2;;;;
83579;02/03/1971;0000;28.5;;21.58;82;3;
83579;02/03/1971;1200;;16;;;;
83579;03/03/1971;0000;27;;21.52;79.75;3;
83579;03/03/1971;1200;;15.8;;;;
83579;04/03/1971;0000;29;;21.9;81.5;2;
83579;04/03/1971;1200;;15.7;;;;
83579;05/03/1971;0000;24;;20.38;85;2;
83579;05/03/1971;1200;;17;;;;
83579;06/03/1971;0000;24;;20.36;91.25;1.333333;
83579;06/03/1971;1200;;16.8;;;;
83579;07/03/1971;0000;25;;19.64;90.75;1.666667;
83579;07/03/1971;1200;;16;;;;
83579;08/03/1971;0000;28.5;;21.94;77.5;1.666667;
83579;08/03/1971;1200;;15.2;;;;
83579;09/03/1971;0000;24;;20.08;91;3;
83579;09/03/1971;1200;;15.5;;;;
83579;10/03/1971;0000;24.5;;20.62;92.5;1.666667;
83579;10/03/1971;1200;;17;;;;
83579;11/03/1971;0000;27.4;;21.02;85.75;3;
83579;11/03/1971;1200;;16;;;;
83579;12/03/1971;0000;27.5;;22.44;80.5;4.333333;
83579;12/03/1971;1200;;17;;;;
83579;13/03/1971;0000;30;;23.58;60.75;1;
83579;13/03/1971;1200;;17.6;;;;
83579;14/03/1971;0000;29.9;;23.06;59;3;
83579;14/03/1971;1200;;16.6;;;;
83579;15/03/1971;0000;31;;23.7;53.5;2.333333;
83579;15/03/1971;1200;;17;;;;
83579;16/03/1971;0000;30;;23.96;58.25;3;
83579;16/03/1971;1200;;18.6;;;;
83579;17/03/1971;0000;30;;23.68;59;3;
83579;17/03/1971;1200;;17.4;;;;
83579;18/03/1971;0000;30.5;;23.8;60.25;2.333333;
83579;18/03/1971;1200;;17.5;;;;
83579;19/03/1971;0000;30;;23.4;66.5;3;
83579;19/03/1971;1200;;18;;;;
83579;20/03/1971;0000;30;;22.76;65.75;2.333333;
83579;20/03/1971;1200;;17.8;;;;
83579;21/03/1971;0000;25.6;;21.12;81;1.666667;
83579;21/03/1971;1200;;16;;;;
83579;22/03/1971;0000;27.8;;21.2;76.75;1.666667;
83579;22/03/1971;1200;;16;;;;
83579;23/03/1971;0000;26.5;;21.54;72.5;2.333333;
83579;23/03/1971;1200;;15.7;;;;
83579;24/03/1971;0000;28;;21.26;74.5;2.333333;
83579;24/03/1971;1200;;15.3;;;;
83579;25/03/1971;0000;29;;22.88;67.75;1.666667;
83579;25/03/1971;1200;;17;;;;
83579;26/03/1971;0000;28;;22.26;68.25;2.333333;
83579;26/03/1971;1200;;16.8;;;;
83579;27/03/1971;0000;29.5;;22.88;69.5;2.333333;
83579;27/03/1971;1200;;17.5;;;;
83579;28/03/1971;0000;28;;21;77.75;2.333333;
83579;28/03/1971;1200;;17.5;;;;
83579;29/03/1971;0000;28;;20.74;81.75;2.333333;
83579;29/03/1971;1200;;14.9;;;;
83579;30/03/1971;0000;23.5;;19.38;80.5;1;
83579;30/03/1971;1200;;14.8;;;;
83579;31/03/1971;0000;28;;21.96;65.75;3.666667;
83579;31/03/1971;1200;;16;;;;
83579;01/04/1971;0000;30;;22.84;59.25;2.333333;
83579;01/04/1971;1200;;15.4;;;;
83579;02/04/1971;0000;27.2;;21.42;71.25;2.333333;
83579;02/04/1971;1200;;15.9;;;;
83579;03/04/1971;0000;27.8;;22.34;63;2.333333;
83579;03/04/1971;1200;;16.3;;;;
83579;04/04/1971;0000;29;;22;65;1.666667;
83579;04/04/1971;1200;;15.2;;;;
83579;05/04/1971;0000;29.8;;22.92;55.25;2.333333;
83579;05/04/1971;1200;;15;;;;
83579;06/04/1971;0000;28.7;;21.7;66.75;3;
83579;06/04/1971;1200;;15.1;;;;
83579;07/04/1971;0000;29;;22.22;68.75;3;
83579;07/04/1971;1200;;16.3;;;;
83579;08/04/1971;0000;27.5;;19.88;80.25;2.333333;
83579;08/04/1971;1200;;16;;;;
83579;09/04/1971;0000;25;;19.82;88.75;1.666667;
83579;09/04/1971;1200;;15.3;;;;
83579;10/04/1971;0000;24;;19.88;81.25;1.666667;
83579;10/04/1971;1200;;14.8;;;;
83579;11/04/1971;0000;29;;22.26;69.25;1.666667;
83579;11/04/1971;1200;;15.5;;;;
83579;12/04/1971;0000;28;;21.58;76;3.666667;
