--------------------
BDMEP - INMET
--------------------
Estação           : FLORESTAL - MG (OMM: 83581)
Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Altitude  (metros): 760.00
Estação Operante
Inicio de operação: 09/04/1960
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83581;01/01/1961;0000;27.1;;21.92;88.75;1.666667;
83581;01/01/1961;1200;;18.1;;;;
83581;02/01/1961;0000;25.7;;21.44;91;2.666667;
83581;02/01/1961;1200;;19.7;;;;
83581;03/01/1961;0000;26.5;;21.88;90.5;3.666667;
83581;03/01/1961;1200;;19.9;;;;
83581;04/01/1961;0000;26.5;;21.86;98;1.333333;
83581;04/01/1961;1200;;19.9;;;;
83581;05/01/1961;0000;24.1;;21;92.5;0.666667;
83581;05/01/1961;1200;;19.5;;;;
83581;06/01/1961;0000;26.8;;21.52;89.75;2;
83581;06/01/1961;1200;;19.3;;;;
83581;07/01/1961;0000;27.7;;22.34;92.75;0.333333;
83581;07/01/1961;1200;;20.2;;;;
83581;08/01/1961;0000;24;;21.82;93.5;0.333333;
83581;08/01/1961;1200;;20.3;;;;
83581;09/01/1961;0000;28.7;;22.64;88.25;2;
83581;09/01/1961;1200;;19.6;;;;
83581;10/01/1961;0000;26.1;;22.62;94;0.666667;
83581;10/01/1961;1200;;20.8;;;;
83581;11/01/1961;0000;26.7;;21.72;91;2;
83581;11/01/1961;1200;;18.6;;;;
83581;12/01/1961;0000;21.6;;19.92;93.25;1.333333;
83581;12/01/1961;1200;;19.2;;;;
83581;13/01/1961;0000;23.3;;20.06;93;1;
83581;13/01/1961;1200;;17.3;;;;
83581;14/01/1961;0000;28.2;;21.54;86.25;2.333333;
83581;14/01/1961;1200;;17.2;;;;
83581;15/01/1961;0000;29.4;;21.22;82.5;0.666667;
83581;15/01/1961;1200;;16.7;;;;
83581;16/01/1961;0000;27;;20;91.5;0.333333;
83581;16/01/1961;1200;;15.2;;;;
83581;17/01/1961;0000;31;;22.04;80.25;2;
83581;17/01/1961;1200;;15.8;;;;
83581;18/01/1961;0000;31.7;;22.64;80;0.666667;
83581;18/01/1961;1200;;15.7;;;;
83581;19/01/1961;0000;28.5;;22.72;84.75;2;
83581;19/01/1961;1200;;17.3;;;;
83581;20/01/1961;0000;30.5;;22.3;84.5;0.666667;
83581;20/01/1961;1200;;18.9;;;;
83581;21/01/1961;0000;29;;23.1;81.25;0.333333;
83581;21/01/1961;1200;;19.3;;;;
83581;22/01/1961;0000;29;;21.62;84.25;0.666667;
83581;22/01/1961;1200;;16.3;;;;
83581;23/01/1961;0000;30;;22.76;83.25;2.666667;
83581;23/01/1961;1200;;16.8;;;;
83581;24/01/1961;0000;28.3;;22.04;89;1.666667;
83581;24/01/1961;1200;;19.1;;;;
83581;25/01/1961;0000;25.3;;21.4;94.25;0.666667;
83581;25/01/1961;1200;;19.1;;;;
83581;26/01/1961;0000;24.6;;20.44;96.25;2;
83581;26/01/1961;1200;;18.9;;;;
83581;27/01/1961;0000;22.1;;19.36;92.75;3;
83581;27/01/1961;1200;;18;;;;
83581;28/01/1961;0000;25.2;;20.74;93;1;
83581;28/01/1961;1200;;17.7;;;;
83581;29/01/1961;0000;26.2;;22.14;92;2;
83581;29/01/1961;1200;;20.3;;;;
83581;30/01/1961;0000;27;;22.04;89;0.666667;
83581;30/01/1961;1200;;18.2;;;;
83581;31/01/1961;0000;28.6;;22.18;88.75;0;
83581;31/01/1961;1200;;19.7;;;;
83581;01/02/1961;0000;31.3;;23.5;80.25;1;
83581;01/02/1961;1200;;18;;;;
83581;02/02/1961;0000;30.7;;23.42;75.75;1.666667;
83581;02/02/1961;1200;;17.6;;;;
83581;03/02/1961;0000;31.7;;23.06;81;0.666667;
83581;03/02/1961;1200;;17.2;;;;
83581;04/02/1961;0000;30.3;;23.3;79;1.333333;
83581;04/02/1961;1200;;17.5;;;;
83581;05/02/1961;0000;31.4;;23.58;78.25;1.333333;
83581;05/02/1961;1200;;18.7;;;;
83581;06/02/1961;0000;31.8;;22.82;79.5;0.666667;
83581;06/02/1961;1200;;16.5;;;;
83581;07/02/1961;0000;32.5;;23.5;78;0.666667;
83581;07/02/1961;1200;;16.5;;;;
83581;08/02/1961;0000;32.4;;24.94;71.25;0.333333;
83581;08/02/1961;1200;;18.3;;;;
