--------------------
BDMEP - INMET
--------------------
Estação           : BAMBUI - MG (OMM: 83582)
Latitude  (graus) : -20.03
Longitude (graus) : -45
Altitude  (metros): 661.27
Estação Operante
Inicio de operação: 26/08/1926
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83582;01/01/1961;0000;28.2;;;;1.666667;
83582;01/01/1961;1200;;19.8;;;;
83582;02/01/1961;0000;26.6;;;;1.333333;
83582;02/01/1961;1200;;20;;;;
83582;03/01/1961;0000;27.6;;;;2;
83582;03/01/1961;1200;;20.6;;;;
83582;04/01/1961;0000;27.4;;;;2;
83582;04/01/1961;1200;;21;;;;
83582;05/01/1961;0000;27.4;;;;3;
83582;05/01/1961;1200;;19.8;;;;
83582;06/01/1961;0000;29;;;;2;
83582;06/01/1961;1200;;19.6;;;;
83582;07/01/1961;0000;28.8;;;;1;
83582;07/01/1961;1200;;21;;;;
83582;08/01/1961;0000;27.2;;;;1.666667;
83582;08/01/1961;1200;;21;;;;
83582;09/01/1961;0000;31;;;;1.666667;
83582;09/01/1961;1200;;20.6;;;;
83582;10/01/1961;0000;31.2;;;;2;
83582;10/01/1961;1200;;20.4;;;;
83582;11/01/1961;0000;29.4;;;;1.333333;
83582;11/01/1961;1200;;19.4;;;;
83582;12/01/1961;0000;25.2;;;;2.666667;
83582;12/01/1961;1200;;20.4;;;;
83582;13/01/1961;0000;24.4;;;;2.666667;
83582;13/01/1961;1200;;18.4;;;;
83582;14/01/1961;0000;28.6;;;;1.666667;
83582;14/01/1961;1200;;18.8;;;;
83582;15/01/1961;0000;29.4;;;;2.666667;
83582;15/01/1961;1200;;18.6;;;;
83582;16/01/1961;0000;27.4;;;;2;
83582;16/01/1961;1200;;18.6;;;;
83582;17/01/1961;0000;30.2;;;;2.333333;
83582;17/01/1961;1200;;17.8;;;;
83582;18/01/1961;0000;31.4;;;;1.333333;
83582;18/01/1961;1200;;17.8;;;;
83582;19/01/1961;0000;33.4;;;;2.666667;
83582;19/01/1961;1200;;18.6;;;;
83582;20/01/1961;0000;30.8;;;;1.666667;
83582;20/01/1961;1200;;20;;;;
83582;21/01/1961;0000;30;;;;1.333333;
83582;21/01/1961;1200;;17.8;;;;
83582;22/01/1961;0000;30;;;;1.666667;
83582;22/01/1961;1200;;19.8;;;;
83582;23/01/1961;0000;31.2;;;;2;
83582;23/01/1961;1200;;18.8;;;;
83582;24/01/1961;0000;27.6;;;;1.333333;
83582;24/01/1961;1200;;19.4;;;;
83582;25/01/1961;0000;27.4;;;;2.333333;
83582;25/01/1961;1200;;20.8;;;;
83582;26/01/1961;0000;25;;;;1.333333;
83582;26/01/1961;1200;;20.2;;;;
83582;27/01/1961;0000;22.6;;;;2;
83582;27/01/1961;1200;;18;;;;
83582;28/01/1961;0000;24.2;;;;1.666667;
83582;28/01/1961;1200;;18;;;;
83582;29/01/1961;0000;28.2;;;;2.333333;
83582;29/01/1961;1200;;20;;;;
83582;30/01/1961;0000;27.6;;;;1.666667;
83582;30/01/1961;1200;;19.6;;;;
83582;31/01/1961;0000;29.4;;;;1.333333;
83582;31/01/1961;1200;;18.6;;;;
83582;01/02/1961;0000;30.2;;;;2.333333;
83582;01/02/1961;1200;;19.6;;;;
83582;02/02/1961;0000;30.6;;;;1.666667;
83582;02/02/1961;1200;;19.2;;;;
83582;03/02/1961;0000;33.6;;;;1.333333;
83582;03/02/1961;1200;;18.8;;;;
83582;04/02/1961;0000;30.2;;;;1.333333;
83582;04/02/1961;1200;;20;;;;
83582;05/02/1961;0000;31;;;;1.666667;
83582;05/02/1961;1200;;19;;;;
83582;06/02/1961;0000;31.6;;;;1;
83582;06/02/1961;1200;;19.4;;;;
83582;07/02/1961;0000;34;;;;1.333333;
83582;07/02/1961;1200;;18.4;;;;
83582;08/02/1961;0000;34.6;;;;1;
83582;08/02/1961;1200;;20.8;;;;
83582;09/02/1961;0000;33;;;;2.333333;
83582;09/02/1961;1200;;19.8;;;;
83582;10/02/1961;0000;32.2;;;;1.666667;
83582;10/02/1961;1200;;20;;;;
83582;11/02/1961;0000;29;;;;0.666667;
83582;11/02/1961;1200;;19.6;;;;
83582;12/02/1961;0000;27.8;;;;1.666667;
83582;12/02/1961;1200;;21.2;;;;
83582;13/02/1961;0000;27.4;;;;2;
83582;13/02/1961;1200;;19.4;;;;
83582;14/02/1961;0000;21.6;;;;3;
83582;14/02/1961;1200;;18.2;;;;
83582;15/02/1961;0000;40;;;;1.666667;
83582;15/02/1961;1200;;17.2;;;;
83582;16/02/1961;0000;25.4;;;;2;
83582;16/02/1961;1200;;18;;;;
83582;17/02/1961;0000;24.8;;;;0.666667;
83582;17/02/1961;1200;;18.4;;;;
83582;18/02/1961;0000;24.4;;;;1.666667;
83582;18/02/1961;1200;;19.4;;;;
83582;19/02/1961;0000;26.2;;;;1.333333;
83582;19/02/1961;1200;;19.4;;;;
83582;20/02/1961;0000;25.6;;;;1.666667;
83582;20/02/1961;1200;;19;;;;
83582;21/02/1961;0000;26.4;;;;2;
83582;21/02/1961;1200;;18.8;;;;
83582;22/02/1961;0000;27.6;;;;1.333333;
83582;22/02/1961;1200;;19.4;;;;
83582;23/02/1961;0000;29;;;;1.333333;
83582;23/02/1961;1200;;20.2;;;;
83582;24/02/1961;0000;29;;;;1.666667;
83582;24/02/1961;1200;;19.4;;;;
83582;25/02/1961;0000;30.4;;;;1;
83582;25/02/1961;1200;;19.2;;;;
83582;26/02/1961;0000;27.8;;;;1.333333;
83582;26/02/1961;1200;;20.4;;;;
