--------------------
BDMEP - INMET
--------------------
Estação           : SETE LAGOAS - MG (OMM: 83586)
Latitude  (graus) : -19.46
Longitude (graus) : -44.25
Altitude  (metros): 732.00
Estação Operante
Inicio de operação: 03/05/1926
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83586;01/01/1961;0000;26.7;;21.9;88.75;0.666667;
83586;01/01/1961;1200;;17.4;;;;
83586;02/01/1961;0000;26.1;;20.26;90.5;1.666667;
83586;02/01/1961;1200;;13.7;;;;
83586;03/01/1961;0000;27.4;;21.78;92;1.333333;
83586;03/01/1961;1200;;17.8;;;;
83586;04/01/1961;0000;22.6;;20.16;93;4;
83586;04/01/1961;1200;;17.2;;;;
83586;05/01/1961;0000;23.9;;19.96;92.75;0.333333;
83586;05/01/1961;1200;;17.2;;;;
83586;06/01/1961;0000;27.5;;21.38;89.75;1.666667;
83586;06/01/1961;1200;;17.1;;;;
83586;07/01/1961;0000;25.6;;21.26;89.75;0;
83586;07/01/1961;1200;;17.2;;;;
83586;08/01/1961;0000;24.8;;21.52;91;1;
83586;08/01/1961;1200;;17.9;;;;
83586;09/01/1961;0000;28.1;;22.04;87.5;1.333333;
83586;09/01/1961;1200;;17.8;;;;
83586;10/01/1961;0000;27.2;;21.36;90.5;0;
83586;10/01/1961;1200;;17.6;;;;
83586;11/01/1961;0000;26.7;;20.74;90;0;
83586;11/01/1961;1200;;16;;;;
83586;12/01/1961;0000;20.5;;19.22;91.25;0.666667;
83586;12/01/1961;1200;;16.5;;;;
83586;13/01/1961;0000;22.1;;19.56;91.5;0.666667;
83586;13/01/1961;1200;;16.3;;;;
83586;14/01/1961;0000;27.1;;20.96;81;1.333333;
83586;14/01/1961;1200;;15.3;;;;
83586;15/01/1961;0000;28.6;;20.7;85.5;0.333333;
83586;15/01/1961;1200;;14.9;;;;
83586;16/01/1961;0000;25.9;;20.14;87;1;
83586;16/01/1961;1200;;15.1;;;;
83586;17/01/1961;0000;30.7;;23.02;79;0.666667;
83586;17/01/1961;1200;;15.7;;;;
83586;18/01/1961;0000;31.5;;23.36;79.75;0;
83586;18/01/1961;1200;;15.7;;;;
83586;19/01/1961;0000;30.2;;23.86;79;0.666667;
83586;19/01/1961;1200;;15.8;;;;
83586;20/01/1961;0000;28.7;;21.76;87;1.666667;
83586;20/01/1961;1200;;17.2;;;;
83586;21/01/1961;0000;28.1;;21.3;86.25;0;
83586;21/01/1961;1200;;16.7;;;;
83586;22/01/1961;0000;28.5;;21.82;84.75;1.333333;
83586;22/01/1961;1200;;14.7;;;;
83586;23/01/1961;0000;29.1;;22.38;86;1.333333;
83586;23/01/1961;1200;;15.9;;;;
83586;24/01/1961;0000;25.3;;21.04;92.5;0.333333;
83586;24/01/1961;1200;;18;;;;
83586;25/01/1961;0000;25.8;;21.24;91.25;1.333333;
