--------------------
BDMEP - INMET
--------------------
Estação           : BELO HORIZONTE - MG (OMM: 83587)
Latitude  (graus) : -19.93
Longitude (graus) : -43.93
Altitude  (metros): 915.00
Estação Operante
Inicio de operação: 03/03/1910
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83587;01/01/1961;0000;24.8;;21;93.25;0;
83587;01/01/1961;1200;;18.6;;;;
83587;02/01/1961;0000;23.8;;20.32;97.5;0;
83587;02/01/1961;1200;;18.8;;;;
83587;03/01/1961;0000;24.7;;20.9;97;1.133333;
83587;03/01/1961;1200;;18.7;;;;
83587;04/01/1961;0000;21.4;;19.96;98.5;0.866667;
83587;04/01/1961;1200;;18.8;;;;
83587;05/01/1961;0000;22.4;;20.04;95.25;0;
83587;05/01/1961;1200;;18.4;;;;
83587;06/01/1961;0000;25.6;;20.56;89.75;1.5;
83587;06/01/1961;1200;;18.4;;;;
83587;07/01/1961;0000;27.3;;21.98;88.5;0;
83587;07/01/1961;1200;;18.6;;;;
83587;08/01/1961;0000;24.2;;21.3;96.25;0;
83587;08/01/1961;1200;;19.9;;;;
83587;09/01/1961;0000;27.6;;23.12;79;2;
83587;09/01/1961;1200;;19.2;;;;
83587;10/01/1961;0000;26;;21.2;94;0.666667;
83587;10/01/1961;1200;;19;;;;
83587;11/01/1961;0000;28.2;;21.48;87.5;1.666667;
83587;11/01/1961;1200;;17.4;;;;
83587;12/01/1961;0000;20.9;;18.82;95.25;1.666667;
83587;12/01/1961;1200;;18;;;;
83587;13/01/1961;0000;23.8;;19.54;90;1.666667;
83587;13/01/1961;1200;;17.1;;;;
83587;14/01/1961;0000;26.6;;21.36;86.5;1.666667;
83587;14/01/1961;1200;;17.2;;;;
83587;15/01/1961;0000;25.8;;20.8;84.5;0;
83587;15/01/1961;1200;;16.4;;;;
83587;16/01/1961;0000;27.2;;21.28;83.5;0.666667;
83587;16/01/1961;1200;;17.4;;;;
83587;17/01/1961;0000;31;;23.82;71.25;1.666667;
83587;17/01/1961;1200;;18.3;;;;
83587;18/01/1961;0000;31.4;;24.82;67.25;2;
83587;18/01/1961;1200;;18.7;;;;
83587;19/01/1961;0000;27.8;;23.68;71.5;3;
83587;19/01/1961;1200;;19.8;;;;
83587;20/01/1961;0000;28.8;;22.22;83.75;1.666667;
83587;20/01/1961;1200;;18.8;;;;
83587;21/01/1961;0000;29;;21.72;78;1.5;
83587;21/01/1961;1200;;18;;;;
83587;22/01/1961;0000;27;;22;80.5;1;
83587;22/01/1961;1200;;17;;;;
83587;23/01/1961;0000;28.8;;22.96;78.75;1.833333;
83587;23/01/1961;1200;;18.6;;;;
83587;24/01/1961;0000;27.8;;21.32;92.25;0.666667;
83587;24/01/1961;1200;;19;;;;
83587;25/01/1961;0000;26.4;;21.08;92.25;2;
