--------------------
BDMEP - INMET
--------------------
Estação           : CARATINGA - MG (OMM: 83592)
Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Altitude  (metros): 609.65
Estação Operante
Inicio de operação: 15/03/1924
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83592;01/01/1961;0000;27;;23.06;77.75;0.666667;
83592;01/01/1961;1200;;20;;;;
83592;02/01/1961;0000;25.3;;21.42;88.75;1.333333;
83592;02/01/1961;1200;;19.5;;;;
83592;03/01/1961;0000;26.1;;22.92;78.75;1.333333;
83592;03/01/1961;1200;;19.2;;;;
83592;04/01/1961;0000;24.3;;21.6;91.25;0.666667;
83592;04/01/1961;1200;;19.8;;;;
83592;05/01/1961;0000;24.3;;21.9;89.25;0;
83592;05/01/1961;1200;;19.5;;;;
83592;06/01/1961;0000;28.1;;23.48;73;0.666667;
83592;06/01/1961;1200;;19.4;;;;
83592;07/01/1961;0000;30.2;;23.46;82.75;0.333333;
83592;07/01/1961;1200;;20;;;;
83592;08/01/1961;0000;27.9;;23.44;80.75;0.333333;
83592;08/01/1961;1200;;20;;;;
83592;09/01/1961;0000;29.4;;23.7;81.25;0.666667;
83592;09/01/1961;1200;;19.2;;;;
83592;10/01/1961;0000;22.9;;20.78;94;1;
83592;10/01/1961;1200;;19.4;;;;
83592;11/01/1961;0000;28.3;;21.5;88;0.666667;
83592;11/01/1961;1200;;18;;;;
83592;12/01/1961;0000;22.3;;19.98;89.75;0.333333;
83592;12/01/1961;1200;;18.6;;;;
83592;13/01/1961;0000;23.5;;20.62;85;0.333333;
83592;13/01/1961;1200;;18.2;;;;
83592;14/01/1961;0000;26.7;;21.42;83.25;2.333333;
83592;14/01/1961;1200;;18.8;;;;
83592;15/01/1961;0000;26.5;;21.24;82.75;0.333333;
83592;15/01/1961;1200;;18.2;;;;
83592;16/01/1961;0000;28.1;;22.28;76;1.333333;
83592;16/01/1961;1200;;19;;;;
83592;17/01/1961;0000;30.1;;23.34;72.25;0.666667;
83592;17/01/1961;1200;;19.3;;;;
83592;18/01/1961;0000;30.3;;24.1;71;0.666667;
83592;18/01/1961;1200;;17.7;;;;
83592;19/01/1961;0000;29.8;;23.38;73.5;0.666667;
83592;19/01/1961;1200;;19.6;;;;
83592;20/01/1961;0000;29.1;;21.92;81;1.333333;
83592;20/01/1961;1200;;19.2;;;;
83592;21/01/1961;0000;27.5;;21.24;82;0.333333;
83592;21/01/1961;1200;;18.4;;;;
83592;22/01/1961;0000;27.9;;21.92;77.25;0;
83592;22/01/1961;1200;;16;;;;
83592;23/01/1961;0000;31.1;;23.62;73.5;0.333333;
83592;23/01/1961;1200;;17.1;;;;
83592;24/01/1961;0000;29.5;;23.76;80;2.333333;
83592;24/01/1961;1200;;20.2;;;;
83592;25/01/1961;0000;27.3;;22.38;85;0.666667;
83592;25/01/1961;1200;;20.1;;;;
83592;26/01/1961;0000;24.9;;21.02;91.25;0.333333;
83592;26/01/1961;1200;;18.8;;;;
83592;27/01/1961;0000;24.2;;20.78;93.75;0;
83592;27/01/1961;1200;;18.8;;;;
83592;28/01/1961;0000;27.3;;21.8;86.5;0.333333;
83592;28/01/1961;1200;;18.6;;;;
83592;29/01/1961;0000;27.3;;22.36;81.75;0.333333;
83592;29/01/1961;1200;;19;;;;
83592;30/01/1961;0000;29.5;;23.46;80.25;0;
83592;30/01/1961;1200;;19.9;;;;
83592;31/01/1961;0000;27.9;;23.08;84.5;0.666667;
83592;31/01/1961;1200;;20.4;;;;
83592;01/02/1961;0000;29.5;;23.6;77;0;
83592;01/02/1961;1200;;19.4;;;;
83592;02/02/1961;0000;30.2;;24.02;78.5;0.333333;
83592;02/02/1961;1200;;20.2;;;;
83592;03/02/1961;0000;29.4;;23.5;75;0.666667;
83592;03/02/1961;1200;;20.6;;;;
83592;04/02/1961;0000;30;;22.78;78.5;0.333333;
83592;04/02/1961;1200;;19.4;;;;
83592;05/02/1961;0000;29.1;;22.38;71.75;0.333333;
83592;05/02/1961;1200;;18.4;;;;
83592;06/02/1961;0000;30.7;;22.56;76.75;0.666667;
83592;06/02/1961;1200;;17.2;;;;
83592;07/02/1961;0000;30.7;;22.44;75.25;1;
83592;07/02/1961;1200;;17.4;;;;
83592;08/02/1961;0000;30.9;;23.16;69.5;1;
83592;08/02/1961;1200;;17;;;;
83592;09/02/1961;0000;31.1;;24.16;71.5;1;
83592;09/02/1961;1200;;18.2;;;;
83592;10/02/1961;0000;28.4;;23.34;78.25;0.333333;
83592;10/02/1961;1200;;20.2;;;;
83592;11/02/1961;0000;31.5;;23.98;77.25;0.666667;
83592;11/02/1961;1200;;20.7;;;;
83592;12/02/1961;0000;29.3;;23.48;77.5;0.333333;
83592;12/02/1961;1200;;20.6;;;;
83592;13/02/1961;0000;29.1;;22.54;83.5;0;
83592;13/02/1961;1200;;19.3;;;;
83592;14/02/1961;0000;28.9;;21.94;94.25;0.666667;
83592;14/02/1961;1200;;18.5;;;;
83592;15/02/1961;0000;22.7;;19.32;89.75;0;
83592;15/02/1961;1200;;17.6;;;;
83592;16/02/1961;0000;28.5;;21.74;78.75;0.666667;
83592;16/02/1961;1200;;18;;;;
83592;17/02/1961;0000;29.3;;22.18;69.25;0.333333;
83592;17/02/1961;1200;;17.7;;;;
83592;18/02/1961;0000;28.3;;21.72;78.5;2;
83592;18/02/1961;1200;;17.4;;;;
83592;19/02/1961;0000;28.9;;22.64;68.5;0.333333;
83592;19/02/1961;1200;;18;;;;
83592;20/02/1961;0000;27.7;;22;77.5;1;
83592;20/02/1961;1200;;19;;;;
83592;21/02/1961;0000;30.1;;23.08;69.25;1.333333;
83592;21/02/1961;1200;;18.3;;;;
83592;22/02/1961;0000;30.5;;22.96;72.75;0.666667;
83592;22/02/1961;1200;;19.2;;;;
83592;23/02/1961;0000;27.3;;23.06;75.25;0;
83592;23/02/1961;1200;;19.8;;;;
83592;24/02/1961;0000;30.4;;22.68;74;0.666667;
83592;24/02/1961;1200;;18.7;;;;
83592;25/02/1961;0000;31.5;;24.34;73.25;0.666667;
83592;25/02/1961;1200;;17.5;;;;
83592;26/02/1961;0000;29.9;;23.9;73.75;0.666667;
83592;26/02/1961;1200;;19.3;;;;
83592;27/02/1961;0000;29.4;;23.02;74.25;0.466667;
83592;27/02/1961;1200;;18.8;;;;
83592;28/02/1961;0000;33.1;;24.02;70.75;0.333333;
83592;28/02/1961;1200;;17.2;;;;
83592;01/03/1961;0000;32.5;;24.7;79.5;2;
83592;01/03/1961;1200;;21.5;;;;
83592;02/03/1961;0000;28.7;;23.28;77.75;0.333333;
83592;02/03/1961;1200;;18.7;;;;
83592;03/03/1961;0000;27.3;;22.92;77.25;0.333333;
83592;03/03/1961;1200;;19.6;;;;
83592;04/03/1961;0000;26.1;;22.76;76.5;1;
83592;04/03/1961;1200;;19.8;;;;
83592;05/03/1961;0000;29.7;;24.54;75;0.666667;
83592;05/03/1961;1200;;20.1;;;;
83592;06/03/1961;0000;30.5;;24.44;75.5;0.666667;
83592;06/03/1961;1200;;20;;;;
83592;07/03/1961;0000;28.7;;23.94;73;1;
83592;07/03/1961;1200;;20.1;;;;
83592;08/03/1961;0000;28.7;;23.32;71.75;0.666667;
83592;08/03/1961;1200;;20.2;;;;
83592;09/03/1961;0000;29.2;;23.26;75;0.666667;
83592;09/03/1961;1200;;18.6;;;;
83592;10/03/1961;0000;30.5;;25.44;71.25;1;
83592;10/03/1961;1200;;20.6;;;;
83592;11/03/1961;0000;31.5;;24.44;76;0.666667;
83592;11/03/1961;1200;;21;;;;
83592;12/03/1961;0000;31.3;;24.4;76.5;0.666667;
83592;12/03/1961;1200;;19.6;;;;
83592;13/03/1961;0000;31.3;;23.4;75;1;
83592;13/03/1961;1200;;19.4;;;;
83592;14/03/1961;0000;31.2;;23.02;77.5;0.666667;
83592;14/03/1961;1200;;18.4;;;;
83592;15/03/1961;0000;33.5;;23.72;73.75;1;
83592;15/03/1961;1200;;17.9;;;;
83592;16/03/1961;0000;33.7;;23.22;77.75;2;
83592;16/03/1961;1200;;18.4;;;;
83592;17/03/1961;0000;29.5;;22.88;79;0.333333;
83592;17/03/1961;1200;;18.8;;;;
83592;18/03/1961;0000;29.7;;22.58;81.25;0;
83592;18/03/1961;1200;;19.3;;;;
83592;19/03/1961;0000;28.1;;21.54;84.75;0.333333;
83592;19/03/1961;1200;;17.8;;;;
83592;20/03/1961;0000;29.3;;21.82;80.75;1;
83592;20/03/1961;1200;;17.5;;;;
83592;21/03/1961;0000;29.1;;21.88;74.25;1.333333;
83592;21/03/1961;1200;;18.3;;;;
83592;22/03/1961;0000;29.5;;21.76;78.25;1.333333;
83592;22/03/1961;1200;;17.7;;;;
83592;23/03/1961;0000;29.1;;21.56;79.5;1.666667;
83592;23/03/1961;1200;;17.6;;;;
83592;24/03/1961;0000;30.1;;22.22;78.75;0.666667;
83592;24/03/1961;1200;;17.5;;;;
83592;25/03/1961;0000;29.7;;21.84;78.5;0.666667;
83592;25/03/1961;1200;;18.6;;;;
83592;26/03/1961;0000;30.5;;22.4;78.75;0;
83592;26/03/1961;1200;;18.7;;;;
83592;27/03/1961;0000;29.2;;21.46;87.25;1.333333;
83592;27/03/1961;1200;;17;;;;
83592;28/03/1961;0000;25.7;;20.18;63.5;1;
83592;28/03/1961;1200;;15.7;;;;
83592;29/03/1961;0000;24.3;;17.8;64.5;0.333333;
83592;29/03/1961;1200;;10.4;;;;
83592;30/03/1961;0000;26.9;;18.78;60.75;0.666667;
83592;30/03/1961;1200;;9.7;;;;
83592;31/03/1961;0000;27.5;;19.44;62;0;
83592;31/03/1961;1200;;11.6;;;;
83592;01/04/1961;0000;27.7;;20.46;64.5;1;
83592;01/04/1961;1200;;14.7;;;;
83592;02/04/1961;0000;29.3;;20.88;64.25;0.333333;
83592;02/04/1961;1200;;13.8;;;;
83592;03/04/1961;0000;29.6;;21.04;68.25;1.333333;
83592;03/04/1961;1200;;15.5;;;;
83592;04/04/1961;0000;30.1;;23.48;69.75;1;
83592;04/04/1961;1200;;17.3;;;;
83592;05/04/1961;0000;30.9;;23.6;74.5;1;
83592;05/04/1961;1200;;19.4;;;;
83592;06/04/1961;0000;32.7;;23.36;75.75;1;
83592;06/04/1961;1200;;18.9;;;;
83592;07/04/1961;0000;28.6;;22.74;79.5;0.666667;
83592;07/04/1961;1200;;18.8;;;;
83592;08/04/1961;0000;28.7;;22.1;81.75;0;
83592;08/04/1961;1200;;18.4;;;;
83592;09/04/1961;0000;29.5;;22.32;81;0;
83592;09/04/1961;1200;;18.2;;;;
83592;10/04/1961;0000;26.7;;21.12;81.25;0.666667;
83592;10/04/1961;1200;;17.5;;;;
83592;11/04/1961;0000;28.3;;21.24;82.75;0.666667;
83592;11/04/1961;1200;;18;;;;
83592;12/04/1961;0000;30.3;;21.28;78.5;0;
83592;12/04/1961;1200;;17.4;;;;
83592;13/04/1961;0000;29.9;;21.52;76.25;1.333333;
83592;13/04/1961;1200;;16;;;;
