--------------------
BDMEP - INMET
--------------------
Estação           : AIMORES - MG (OMM: 83595)
Latitude  (graus) : -19.49
Longitude (graus) : -41.07
Altitude  (metros): 82.74
Estação Operante
Inicio de operação: 01/06/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83595;01/06/1972;0000;28.6;;21.72;66.25;1.666667;
83595;01/06/1972;1200;;14.2;;;;
83595;02/06/1972;0000;29.5;;20.76;71.25;1;
83595;02/06/1972;1200;;14.3;;;;
83595;03/06/1972;0000;31;;21.62;73.75;1;
83595;03/06/1972;1200;;14.5;;;;
83595;04/06/1972;0000;31.5;;24.26;71.75;2.333333;
83595;04/06/1972;1200;;16;;;;
83595;05/06/1972;0000;30;;23.2;72.5;1.666667;
83595;05/06/1972;1200;;16;;;;
83595;06/06/1972;0000;30;;23.2;70.25;1;
83595;06/06/1972;1200;;16;;;;
83595;07/06/1972;0000;27;;23.94;73.5;1.666667;
83595;07/06/1972;1200;;21.3;;;;
83595;08/06/1972;0000;31;;23.34;71;1;
83595;08/06/1972;1200;;16.2;;;;
83595;09/06/1972;0000;30.3;;23.76;72.5;1.666667;
83595;09/06/1972;1200;;16;;;;
83595;10/06/1972;0000;31;;23.76;71.5;0.666667;
83595;10/06/1972;1200;;16.8;;;;
83595;11/06/1972;0000;31;;22.32;71;1;
83595;11/06/1972;1200;;15.6;;;;
83595;12/06/1972;0000;31;;23;68.25;1.666667;
83595;12/06/1972;1200;;16;;;;
83595;13/06/1972;0000;31;;22.4;69.75;1;
83595;13/06/1972;1200;;16;;;;
83595;14/06/1972;0000;31;;22.8;69.5;1.666667;
83595;14/06/1972;1200;;15;;;;
83595;15/06/1972;0000;31;;21.64;89.25;1;
83595;15/06/1972;1200;;16.2;;;;
83595;16/06/1972;0000;23;;20.44;80;2;
83595;16/06/1972;1200;;15.2;;;;
83595;17/06/1972;0000;29;;20.76;77.25;1;
83595;17/06/1972;1200;;16;;;;
83595;18/06/1972;0000;29.5;;20.1;72;1;
83595;18/06/1972;1200;;13.8;;;;
83595;19/06/1972;0000;32;;23;63.25;1.333333;
83595;19/06/1972;1200;;16;;;;
83595;20/06/1972;0000;29;;21.8;68.25;1.333333;
83595;20/06/1972;1200;;14;;;;
83595;21/06/1972;0000;29;;22.6;74;1.666667;
83595;21/06/1972;1200;;16;;;;
83595;22/06/1972;0000;31.5;;23.54;72.25;1.333333;
83595;22/06/1972;1200;;16.2;;;;
83595;23/06/1972;0000;32;;22.7;79.25;0.666667;
83595;23/06/1972;1200;;14.5;;;;
83595;24/06/1972;0000;32.5;;24.9;70.5;1.666667;
83595;24/06/1972;1200;;17;;;;
83595;25/06/1972;0000;31.5;;22.8;74.5;1;
83595;25/06/1972;1200;;16;;;;
83595;26/06/1972;0000;31.5;;23.1;75.5;1.666667;
83595;26/06/1972;1200;;15;;;;
83595;27/06/1972;0000;31.8;;23.06;77.25;1;
83595;27/06/1972;1200;;14;;;;
83595;28/06/1972;0000;31;;23.56;74.75;2.333333;
83595;28/06/1972;1200;;15;;;;
83595;29/06/1972;0000;30.5;;22.7;80;1;
83595;29/06/1972;1200;;14;;;;
83595;30/06/1972;0000;30;;22.4;78.5;1;
83595;30/06/1972;1200;;13;;;;
83595;01/07/1972;0000;30;;22.9;95.25;1.666667;
83595;01/07/1972;1200;;18.5;;;;
83595;02/07/1972;0000;30;;22.4;78.75;3;
83595;02/07/1972;1200;;16;;;;
83595;03/07/1972;0000;27.5;;20.6;89.75;1.666667;
83595;03/07/1972;1200;;14;;;;
83595;04/07/1972;0000;27.5;;20.1;89.25;0.333333;
83595;04/07/1972;1200;;13;;;;
83595;05/07/1972;0000;28.5;;20;87.75;1;
83595;05/07/1972;1200;;12.5;;;;
83595;06/07/1972;0000;29.5;;22.3;75.5;1.333333;
83595;06/07/1972;1200;;15;;;;
83595;07/07/1972;0000;29;;20.3;84.5;1;
83595;07/07/1972;1200;;14.5;;;;
83595;08/07/1972;0000;30;;21;80.5;0.666667;
83595;08/07/1972;1200;;14;;;;
83595;09/07/1972;0000;30.5;;22.3;77.75;3.666667;
83595;09/07/1972;1200;;16;;;;
83595;10/07/1972;0000;30.5;;23.1;82.75;1.666667;
83595;10/07/1972;1200;;15;;;;
83595;11/07/1972;0000;29;;21.8;90.5;1.666667;
83595;11/07/1972;1200;;18;;;;
83595;12/07/1972;0000;29;;21.86;89;1.666667;
83595;12/07/1972;1200;;15.8;;;;
83595;13/07/1972;0000;29;;21.5;95;1;
83595;13/07/1972;1200;;15;;;;
83595;14/07/1972;0000;29;;21;81.5;1.666667;
83595;14/07/1972;1200;;13.5;;;;
83595;15/07/1972;0000;28.5;;21.26;85.25;2;
83595;15/07/1972;1200;;15.5;;;;
83595;16/07/1972;0000;28.5;;21.94;82.75;0.666667;
83595;16/07/1972;1200;;14.2;;;;
83595;17/07/1972;0000;28.5;;20.98;82;2;
83595;17/07/1972;1200;;13.8;;;;
83595;18/07/1972;0000;28;;20.04;83.75;3.333333;
83595;18/07/1972;1200;;11.2;;;;
83595;19/07/1972;0000;28;;21.4;89;0.666667;
83595;19/07/1972;1200;;15.8;;;;
83595;20/07/1972;0000;28.5;;21.86;76;1.666667;
83595;20/07/1972;1200;;14.3;;;;
83595;21/07/1972;0000;28.5;;20.74;77;2.666667;
83595;21/07/1972;1200;;13;;;;
83595;22/07/1972;0000;28.5;;20.2;81.5;0.333333;
83595;22/07/1972;1200;;11.5;;;;
83595;23/07/1972;0000;30;;22.2;74.25;1.333333;
83595;23/07/1972;1200;;14;;;;
83595;24/07/1972;0000;30;;21.26;77.75;1.666667;
83595;24/07/1972;1200;;12.5;;;;
83595;25/07/1972;0000;29;;20.5;82.25;2.333333;
83595;25/07/1972;1200;;11;;;;
83595;26/07/1972;0000;29;;20.22;77.5;1.666667;
83595;26/07/1972;1200;;14;;;;
83595;27/07/1972;0000;30;;20.88;75.75;1;
83595;27/07/1972;1200;;12.2;;;;
83595;28/07/1972;0000;28.5;;20.9;71.5;1.666667;
83595;28/07/1972;1200;;16;;;;
83595;29/07/1972;0000;29;;20;70.75;1.666667;
83595;29/07/1972;1200;;10;;;;
83595;30/07/1972;0000;29;;20.48;71.25;2.333333;
83595;30/07/1972;1200;;12;;;;
83595;31/07/1972;0000;27;;20.4;74;2.333333;
83595;31/07/1972;1200;;13.5;;;;
83595;01/08/1972;0000;26.5;;20.9;71.75;1.666667;
83595;01/08/1972;1200;;15;;;;
83595;02/08/1972;0000;28;;20.38;71.75;1;
83595;02/08/1972;1200;;13;;;;
83595;03/08/1972;0000;29;;21;74.25;1;
83595;03/08/1972;1200;;13;;;;
83595;04/08/1972;0000;29.5;;22.96;74.25;1.666667;
83595;04/08/1972;1200;;15;;;;
83595;05/08/1972;0000;27;;21.7;81.5;0.333333;
83595;05/08/1972;1200;;14;;;;
83595;06/08/1972;0000;30;;22.6;72.25;2.333333;
83595;06/08/1972;1200;;14.5;;;;
83595;07/08/1972;0000;31;;22.32;66.75;3;
83595;07/08/1972;1200;;13;;;;
83595;08/08/1972;0000;31;;22.1;75.5;1.666667;
83595;08/08/1972;1200;;14;;;;
83595;09/08/1972;0000;33;;23.34;71.5;3.333333;
83595;09/08/1972;1200;;14;;;;
83595;10/08/1972;0000;28.5;;21.16;71.5;3;
83595;10/08/1972;1200;;11.5;;;;
83595;11/08/1972;0000;28.5;;20.78;76.5;1;
83595;11/08/1972;1200;;14;;;;
83595;12/08/1972;0000;31.5;;22.5;72.75;2;
83595;12/08/1972;1200;;14;;;;
83595;13/08/1972;0000;;;;;0.5;
83595;13/08/1972;1200;;16;;;;
83595;14/08/1972;0000;30;;21.9;73;1.333333;
83595;14/08/1972;1200;;15;;;;
83595;15/08/1972;0000;29;;21.32;73;1.666667;
83595;15/08/1972;1200;;13.8;;;;
83595;16/08/1972;0000;28;;20;69.5;2.333333;
83595;16/08/1972;1200;;12;;;;
83595;17/08/1972;0000;26;;20.2;72;2.333333;
83595;17/08/1972;1200;;14;;;;
83595;18/08/1972;0000;27;;20.8;75;0.666667;
83595;18/08/1972;1200;;15;;;;
83595;19/08/1972;0000;29.5;;21.66;70.5;2.333333;
83595;19/08/1972;1200;;13.8;;;;
83595;20/08/1972;0000;29;;21.8;67.75;2.333333;
83595;20/08/1972;1200;;14;;;;
83595;21/08/1972;0000;29.5;;22.1;71.75;3;
83595;21/08/1972;1200;;15;;;;
83595;22/08/1972;0000;30;;21.7;72.75;1;
83595;22/08/1972;1200;;14;;;;
83595;23/08/1972;0000;30.5;;22.96;76.75;3.666667;
83595;23/08/1972;1200;;15;;;;
83595;24/08/1972;0000;28.5;;22.7;69.25;3.666667;
83595;24/08/1972;1200;;16;;;;
83595;25/08/1972;0000;28.5;;22.2;78;1.333333;
83595;25/08/1972;1200;;15;;;;
83595;26/08/1972;0000;30.3;;22.46;76.25;0.666667;
83595;26/08/1972;1200;;16;;;;
83595;27/08/1972;0000;33;;24;62.75;0.333333;
83595;27/08/1972;1200;;15;;;;
83595;28/08/1972;0000;35.5;;25.4;67;1;
83595;28/08/1972;1200;;15;;;;
83595;29/08/1972;0000;34;;25.02;65.5;3.666667;
83595;29/08/1972;1200;;17;;;;
83595;30/08/1972;0000;32;;24;73.25;2.333333;
83595;30/08/1972;1200;;16;;;;
83595;31/08/1972;0000;29;;22.8;70;5;
83595;31/08/1972;1200;;16;;;;
83595;01/09/1972;0000;29;;21.96;73.5;2.333333;
83595;01/09/1972;1200;;16;;;;
