--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83630;01/01/1961;0000;23.8;;19.64;93.75;6.666667;
83630;01/01/1961;1200;;17.4;;;;
83630;02/01/1961;0000;23;;19.68;97.5;6.666667;
83630;02/01/1961;1200;;17.2;;;;
83630;03/01/1961;0000;26.2;;20.56;92.25;4;
83630;03/01/1961;1200;;17.8;;;;
83630;04/01/1961;0000;22.2;;19.64;97.75;4;
83630;04/01/1961;1200;;18;;;;
83630;05/01/1961;0000;24.8;;20.28;92;2.666667;
83630;05/01/1961;1200;;18;;;;
83630;06/01/1961;0000;23.6;;20.28;96.5;2.666667;
83630;06/01/1961;1200;;18;;;;
83630;07/01/1961;0000;24.4;;20.6;94.75;2.666667;
83630;07/01/1961;1200;;17.2;;;;
83630;08/01/1961;0000;27.4;;21.84;94.75;1.333333;
83630;08/01/1961;1200;;18.8;;;;
83630;09/01/1961;0000;23.4;;20.6;97.25;2;
83630;09/01/1961;1200;;18.2;;;;
83630;10/01/1961;0000;26.8;;22.4;85.25;4;
83630;10/01/1961;1200;;18;;;;
83630;11/01/1961;0000;27.2;;21;84.25;2.666667;
83630;11/01/1961;1200;;16.2;;;;
83630;12/01/1961;0000;26.5;;19.9;88.5;4.666667;
83630;12/01/1961;1200;;17.2;;;;
83630;13/01/1961;0000;25;;19.96;84.25;2.666667;
83630;13/01/1961;1200;;15.8;;;;
83630;14/01/1961;0000;24;;20.24;87;2.666667;
83630;14/01/1961;1200;;16;;;;
83630;15/01/1961;0000;27.8;;20.94;84;3.333333;
83630;15/01/1961;1200;;16.9;;;;
83630;16/01/1961;0000;28.2;;21.2;77.75;3.333333;
83630;16/01/1961;1200;;16.8;;;;
83630;17/01/1961;0000;29;;21.72;76.5;3.333333;
83630;17/01/1961;1200;;16.6;;;;
83630;18/01/1961;0000;30;;23.32;69;2;
83630;18/01/1961;1200;;18.2;;;;
83630;19/01/1961;0000;28.2;;22.2;76.5;2.666667;
83630;19/01/1961;1200;;18.4;;;;
83630;20/01/1961;0000;27.4;;22.4;78;2;
