--------------------
BDMEP - INMET
--------------------
Estação           : SAO S DO PARAISO - MG (OMM: 83631)
Latitude  (graus) : -20.91
Longitude (graus) : -47.11
Altitude  (metros): 820.00
Estação Operante
Inicio de operação: 29/04/1945
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83631;01/01/1961;0000;23.6;;20.4;90.75;1;
83631;01/01/1961;1200;;18.2;;;;
83631;02/01/1961;0000;25.6;;20.64;94.5;2;
83631;02/01/1961;1200;;18.8;;;;
83631;03/01/1961;0000;27;;21.6;91.25;1.666667;
83631;03/01/1961;1200;;19.8;;;;
83631;04/01/1961;0000;22.4;;20.48;95.5;1;
83631;04/01/1961;1200;;18.8;;;;
83631;05/01/1961;0000;25.8;;21.2;93.5;1;
83631;05/01/1961;1200;;19;;;;
83631;06/01/1961;0000;23.2;;20.64;92.5;1;
83631;06/01/1961;1200;;18.8;;;;
83631;07/01/1961;0000;27.4;;22.12;90;1;
83631;07/01/1961;1200;;18.8;;;;
83631;08/01/1961;0000;25.4;;21.56;91;1;
83631;08/01/1961;1200;;19.4;;;;
83631;09/01/1961;0000;25;;21.4;94.25;1;
83631;09/01/1961;1200;;19.8;;;;
83631;10/01/1961;0000;26.6;;22.84;85;1.666667;
83631;10/01/1961;1200;;19.8;;;;
83631;11/01/1961;0000;26.4;;21.68;76.25;1;
83631;11/01/1961;1200;;17.6;;;;
83631;12/01/1961;0000;26.2;;21.04;81.25;2.333333;
83631;12/01/1961;1200;;18.2;;;;
83631;13/01/1961;0000;25.6;;20.76;88;1;
83631;13/01/1961;1200;;17.8;;;;
83631;14/01/1961;0000;23;;20.8;84;1;
83631;14/01/1961;1200;;19;;;;
83631;15/01/1961;0000;27;;21.88;83.5;1;
83631;15/01/1961;1200;;19.4;;;;
83631;16/01/1961;0000;27;;22.12;80.25;1;
83631;16/01/1961;1200;;20;;;;
83631;17/01/1961;0000;28.4;;22.52;71.25;2.333333;
83631;17/01/1961;1200;;17.6;;;;
83631;18/01/1961;0000;29;;24.04;82;1;
83631;18/01/1961;1200;;21.8;;;;
83631;19/01/1961;0000;29;;22.2;85;1;
83631;19/01/1961;1200;;17.8;;;;
83631;20/01/1961;0000;28.4;;21.84;81.5;1;
83631;20/01/1961;1200;;19.2;;;;
83631;21/01/1961;0000;28;;22.08;78.5;1.666667;
83631;21/01/1961;1200;;18.4;;;;
83631;22/01/1961;0000;28;;23.12;91.25;1;
83631;22/01/1961;1200;;19.2;;;;
83631;23/01/1961;0000;26.4;;22.2;83;1;
83631;23/01/1961;1200;;19.8;;;;
83631;24/01/1961;0000;26;;21.96;90.25;1;
83631;24/01/1961;1200;;18.2;;;;
83631;25/01/1961;0000;24.8;;21.48;83.75;1;
83631;25/01/1961;1200;;18.8;;;;
83631;26/01/1961;0000;22;;19.96;94.25;1.666667;
83631;26/01/1961;1200;;18.8;;;;
83631;27/01/1961;0000;21;;18.72;88;1;
83631;27/01/1961;1200;;17.6;;;;
83631;28/01/1961;0000;23.4;;19.8;85.75;1.666667;
83631;28/01/1961;1200;;17.2;;;;
83631;29/01/1961;0000;23;;19.4;95.25;1;
83631;29/01/1961;1200;;17.8;;;;
83631;30/01/1961;0000;26;;20.36;82.5;1;
83631;30/01/1961;1200;;16.2;;;;
