--------------------
BDMEP - INMET
--------------------
Estação           : IBIRITE - MG (OMM: 83632)
Latitude  (graus) : -20.01
Longitude (graus) : -44.05
Altitude  (metros): 814.54
Estação Operante
Inicio de operação: 06/04/1959
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83632;01/01/1961;0000;25.4;;21.64;90.25;0.333333;
83632;01/01/1961;1200;;18.4;;;;
83632;02/01/1961;0000;24.7;;21;92.75;1.333333;
83632;02/01/1961;1200;;19.1;;;;
83632;03/01/1961;0000;25.4;;21.64;92.75;2.666667;
83632;03/01/1961;1200;;19.3;;;;
83632;04/01/1961;0000;23.4;;20.84;96.75;2.333333;
83632;04/01/1961;1200;;19.5;;;;
83632;05/01/1961;0000;23.5;;20.56;92;1.666667;
83632;05/01/1961;1200;;19.2;;;;
83632;06/01/1961;0000;27.1;;21.62;87.25;1.666667;
83632;06/01/1961;1200;;19.1;;;;
83632;07/01/1961;0000;27.5;;22.3;88.5;0.666667;
83632;07/01/1961;1200;;19.3;;;;
83632;08/01/1961;0000;24.8;;21.54;95;0;
83632;08/01/1961;1200;;19.9;;;;
83632;09/01/1961;0000;27.9;;23.04;82.75;2;
83632;09/01/1961;1200;;19.1;;;;
83632;10/01/1961;0000;25.8;;21.68;89.75;0.666667;
83632;10/01/1961;1200;;19.4;;;;
83632;11/01/1961;0000;26.4;;21.12;91.5;3;
83632;11/01/1961;1200;;17.9;;;;
83632;12/01/1961;0000;20.7;;19.28;92.75;1;
83632;12/01/1961;1200;;18.7;;;;
83632;13/01/1961;0000;23.5;;19.94;90;1.333333;
83632;13/01/1961;1200;;18;;;;
83632;14/01/1961;0000;26.9;;21.46;80.5;5.333333;
83632;14/01/1961;1200;;16.6;;;;
83632;15/01/1961;0000;25;;20.6;81.75;3.333333;
83632;15/01/1961;1200;;16.4;;;;
83632;16/01/1961;0000;25.9;;20.2;84.5;2.666667;
83632;16/01/1961;1200;;16.8;;;;
83632;17/01/1961;0000;30.5;;23.16;66.5;3;
83632;17/01/1961;1200;;16.5;;;;
83632;18/01/1961;0000;31.1;;23.16;72.25;1.666667;
83632;18/01/1961;1200;;16.1;;;;
83632;19/01/1961;0000;26;;;;1;
83632;19/01/1961;1200;;18.7;;;;
83632;20/01/1961;0000;29.3;;22.54;79;2;
83632;20/01/1961;1200;;18.4;;;;
83632;21/01/1961;0000;28.1;;21.6;79;3;
83632;21/01/1961;1200;;17.6;;;;
83632;22/01/1961;0000;26.8;;21;85;2;
83632;22/01/1961;1200;;15.8;;;;
83632;23/01/1961;0000;28.8;;22.78;80.75;1.333333;
83632;23/01/1961;1200;;17;;;;
83632;24/01/1961;0000;25.2;;21.44;87.5;2.333333;
83632;24/01/1961;1200;;19.8;;;;
83632;25/01/1961;0000;26;;21.08;90.75;2.333333;
83632;25/01/1961;1200;;17.1;;;;
83632;26/01/1961;0000;22.2;;20.02;95.25;2;
83632;26/01/1961;1200;;18.9;;;;
83632;27/01/1961;0000;22.8;;19.6;88.5;1.333333;
83632;27/01/1961;1200;;17.6;;;;
83632;28/01/1961;0000;23.5;;20.38;93.5;1.666667;
83632;28/01/1961;1200;;17.6;;;;
83632;29/01/1961;0000;26.4;;21.26;88.5;1.466667;
83632;29/01/1961;1200;;18.9;;;;
83632;30/01/1961;0000;26.3;;21.58;87.75;1.333333;
83632;30/01/1961;1200;;17.6;;;;
83632;31/01/1961;0000;28.2;;21.94;87;1.666667;
83632;31/01/1961;1200;;19.5;;;;
83632;01/02/1961;0000;29.6;;22.82;80.5;0.666667;
83632;01/02/1961;1200;;18.7;;;;
83632;02/02/1961;0000;30.5;;22.78;76.5;2;
83632;02/02/1961;1200;;17.6;;;;
83632;03/02/1961;0000;30.7;;23.38;76;0.666667;
83632;03/02/1961;1200;;17.6;;;;
83632;04/02/1961;0000;29.4;;23.02;74.75;2;
83632;04/02/1961;1200;;18;;;;
83632;05/02/1961;0000;29.6;;24.14;67.5;1.333333;
83632;05/02/1961;1200;;20.1;;;;
83632;06/02/1961;0000;31.9;;22.9;72.75;1.666667;
83632;06/02/1961;1200;;16.1;;;;
83632;07/02/1961;0000;32;;23.72;68.25;1.666667;
83632;07/02/1961;1200;;16.8;;;;
83632;08/02/1961;0000;31.7;;23.88;68.75;0.666667;
83632;08/02/1961;1200;;16.4;;;;
83632;09/02/1961;0000;28.8;;22.58;84.75;1.333333;
83632;09/02/1961;1200;;18.7;;;;
83632;10/02/1961;0000;28.2;;22.8;81;3.666667;
83632;10/02/1961;1200;;17.6;;;;
83632;11/02/1961;0000;27.8;;22.24;84;1.333333;
83632;11/02/1961;1200;;18.7;;;;
83632;12/02/1961;0000;27.6;;22;91;1.333333;
83632;12/02/1961;1200;;19.1;;;;
83632;13/02/1961;0000;26.5;;21.2;87.5;1.333333;
83632;13/02/1961;1200;;19.1;;;;
83632;14/02/1961;0000;23.4;;20;90.5;1.333333;
83632;14/02/1961;1200;;18.2;;;;
83632;15/02/1961;0000;20.8;;18.78;93.5;0;
83632;15/02/1961;1200;;17.9;;;;
83632;16/02/1961;0000;27.2;;21.12;81;1.666667;
83632;16/02/1961;1200;;17.4;;;;
83632;17/02/1961;0000;26.2;;21.86;68;2.666667;
83632;17/02/1961;1200;;17.7;;;;
83632;18/02/1961;0000;27.3;;21.36;76.25;1.333333;
83632;18/02/1961;1200;;16.6;;;;
83632;19/02/1961;0000;28.4;;22.44;74;1.666667;
83632;19/02/1961;1200;;18.2;;;;
83632;20/02/1961;0000;27.1;;21.6;88;1.333333;
83632;20/02/1961;1200;;18.2;;;;
83632;21/02/1961;0000;27.1;;21.32;86.75;0.666667;
83632;21/02/1961;1200;;18;;;;
83632;22/02/1961;0000;27.6;;21.84;81.25;2;
83632;22/02/1961;1200;;16.8;;;;
83632;23/02/1961;0000;27.4;;22.24;84.75;0.666667;
83632;23/02/1961;1200;;19;;;;
83632;24/02/1961;0000;27.7;;22.24;83.75;0.666667;
83632;24/02/1961;1200;;18.7;;;;
83632;25/02/1961;0000;28.7;;22.14;82.5;1;
83632;25/02/1961;1200;;17;;;;
83632;26/02/1961;0000;29.4;;21.56;86.25;1.666667;
83632;26/02/1961;1200;;17.3;;;;
83632;27/02/1961;0000;29.4;;22.28;80.75;2;
83632;27/02/1961;1200;;16.1;;;;
83632;28/02/1961;0000;29.2;;22.62;80.5;1.333333;
83632;28/02/1961;1200;;17.4;;;;
83632;01/03/1961;0000;29.3;;22.54;81.5;1.333333;
83632;01/03/1961;1200;;17.3;;;;
83632;02/03/1961;0000;26;;21.82;88.25;3.666667;
83632;02/03/1961;1200;;18.4;;;;
83632;03/03/1961;0000;29.3;;23.5;73.25;3;
83632;03/03/1961;1200;;18.3;;;;
