--------------------
BDMEP - INMET
--------------------
Estação           : DIVINOPOLIS - MG (OMM: 83635)
Latitude  (graus) : -20.17
Longitude (graus) : -44.87
Altitude  (metros): 788.35
Estação Operante
Inicio de operação: 11/10/1995
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83635;11/10/1995;0000;30.2;;21.8;64.25;0.333333;
83635;11/10/1995;1200;;13.6;;;;
83635;12/10/1995;0000;31.4;;25.76;44.5;1.666667;
83635;12/10/1995;1200;;15.4;;;;
83635;13/10/1995;0000;29.4;;23.48;68.75;2.666667;
83635;13/10/1995;1200;;18;;;;
83635;14/10/1995;0000;23.4;;19.88;90.5;1;
83635;14/10/1995;1200;;17.4;;;;
83635;15/10/1995;0000;29.2;;21.04;80.75;1;
83635;15/10/1995;1200;;16.4;;;;
83635;16/10/1995;0000;31;;21.28;66.5;5.333333;
83635;16/10/1995;1200;;12;;;;
83635;17/10/1995;0000;31;;21.28;68.25;3;
83635;17/10/1995;1200;;14.8;;;;
83635;18/10/1995;0000;32;;23.56;57.75;0.333333;
83635;18/10/1995;1200;;15;;;;
83635;19/10/1995;0000;26.6;;21.64;72.75;0.666667;
83635;19/10/1995;1200;;17;;;;
83635;20/10/1995;0000;31.2;;21.16;72;6;
83635;20/10/1995;1200;;12.4;;;;
83635;21/10/1995;0000;23.2;;19.6;86.25;1;
83635;21/10/1995;1200;;15.6;;;;
83635;22/10/1995;0000;27.6;;20.84;60.25;4.666667;
83635;22/10/1995;1200;;16.4;;;;
83635;23/10/1995;0000;29;;20.24;47.25;2;
83635;23/10/1995;1200;;10.8;;;;
83635;24/10/1995;0000;31.2;;22.36;48.25;0.333333;
83635;24/10/1995;1200;;11.6;;;;
83635;25/10/1995;0000;31.6;;23.94;46.75;1.666667;
83635;25/10/1995;1200;;15.6;;;;
83635;26/10/1995;0000;32.4;;23.88;47;0.333333;
83635;26/10/1995;1200;;14;;;;
83635;27/10/1995;0000;33.2;;24.54;44.25;0.666667;
83635;27/10/1995;1200;;13.5;;;;
83635;28/10/1995;0000;35.2;;25.5;41.25;3;
83635;28/10/1995;1200;;15;;;;
83635;29/10/1995;0000;27.6;;20.4;77;2.333333;
83635;29/10/1995;1200;;16;;;;
83635;30/10/1995;0000;18.6;;15.56;88.5;2;
83635;30/10/1995;1200;;12.6;;;;
83635;31/10/1995;0000;20.2;;16.26;88.75;2;
83635;31/10/1995;1200;;12.4;;;;
83635;01/11/1995;0000;21.8;;17.68;84.5;1;
83635;01/11/1995;1200;;14.3;;;;
83635;02/11/1995;0000;23.4;;18.42;81.75;0.666667;
83635;02/11/1995;1200;;14.5;;;;
83635;03/11/1995;0000;20.3;;18.16;89.5;1;
83635;03/11/1995;1200;;16.1;;;;
83635;04/11/1995;0000;22.2;;19.12;82.75;0.333333;
83635;04/11/1995;1200;;16;;;;
83635;05/11/1995;0000;27.4;;21.24;60.25;2;
