--------------------
BDMEP - INMET
--------------------
Estação           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Estação Operante
Inicio de operação: 17/11/1972
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83639;19/02/1973;0000;30.6;;23.04;68;2.066667;
83639;19/02/1973;1200;;14;;;;
83639;20/02/1973;0000;29.5;;22.04;82.25;1.533333;
83639;20/02/1973;1200;;15.8;;;;
83639;21/02/1973;0000;30.7;;23.04;79;1.566667;
83639;21/02/1973;1200;;14.5;;;;
83639;22/02/1973;0000;30.3;;22.36;76;2.566667;
83639;22/02/1973;1200;;17.5;;;;
83639;23/02/1973;0000;30.6;;23.82;71.75;2.066667;
83639;23/02/1973;1200;;16.8;;;;
83639;24/02/1973;0000;29.7;;23.86;74.75;1.7;
83639;24/02/1973;1200;;17.2;;;;
83639;25/02/1973;0000;30.2;;22.98;79.25;1.566667;
83639;25/02/1973;1200;;17;;;;
83639;26/02/1973;0000;27.8;;21.32;86.75;3.1;
83639;26/02/1973;1200;;17.8;;;;
83639;27/02/1973;0000;29;;21.48;83.5;2.066667;
83639;27/02/1973;1200;;15.4;;;;
83639;28/02/1973;0000;30.7;;23.12;78;3.1;
83639;28/02/1973;1200;;16.8;;;;
83639;01/03/1973;0000;31;;23.08;71.25;1.4;
83639;01/03/1973;1200;;13.6;;;;
83639;02/03/1973;0000;31.4;;21.88;75.5;2.233333;
83639;02/03/1973;1200;;15.2;;;;
83639;03/03/1973;0000;31.6;;23.16;74.75;1.9;
83639;03/03/1973;1200;;15.5;;;;
83639;04/03/1973;0000;32.6;;22.98;75.75;2.233333;
83639;04/03/1973;1200;;16;;;;
83639;05/03/1973;0000;27.8;;22.6;85.5;2.933333;
83639;05/03/1973;1200;;19;;;;
83639;06/03/1973;0000;24.8;;20.28;88.75;1;
83639;06/03/1973;1200;;15.4;;;;
83639;07/03/1973;0000;25.8;;21.12;88.25;2.9;
83639;07/03/1973;1200;;17;;;;
83639;08/03/1973;0000;27.9;;23.28;83.5;1.9;
83639;08/03/1973;1200;;18.6;;;;
83639;09/03/1973;0000;27.2;;23.24;80.75;3.266667;
83639;09/03/1973;1200;;17.8;;;;
83639;10/03/1973;0000;24.6;;20.76;87.5;1.2;
83639;10/03/1973;1200;;18.2;;;;
83639;11/03/1973;0000;21;;18.64;94;1.033333;
83639;11/03/1973;1200;;16;;;;
83639;12/03/1973;0000;21;;19.18;95;0;
83639;12/03/1973;1200;;16.4;;;;
83639;13/03/1973;0000;25;;20.64;87.25;1.733333;
83639;13/03/1973;1200;;16.5;;;;
83639;14/03/1973;0000;27;;20.22;79.25;2.4;
83639;14/03/1973;1200;;14.5;;;;
83639;15/03/1973;0000;27.6;;20.28;86.25;0.866667;
83639;15/03/1973;1200;;15.6;;;;
83639;16/03/1973;0000;28.6;;21.16;80.5;2.566667;
83639;16/03/1973;1200;;15.4;;;;
83639;17/03/1973;0000;29.9;;20.96;78.25;2.066667;
83639;17/03/1973;1200;;14.2;;;;
83639;18/03/1973;0000;27.5;;20.62;82.5;1.366667;
83639;18/03/1973;1200;;14;;;;
83639;19/03/1973;0000;27.4;;21.18;83.25;2.233333;
83639;19/03/1973;1200;;17.2;;;;
83639;20/03/1973;0000;26.6;;21.4;82.75;2.233333;
83639;20/03/1973;1200;;17.6;;;;
83639;21/03/1973;0000;27.6;;22.2;84.5;1.9;
83639;21/03/1973;1200;;17.6;;;;
83639;22/03/1973;0000;28.8;;22.18;83.75;0.333333;
83639;22/03/1973;1200;;17.4;;;;
83639;23/03/1973;0000;24.9;;21.48;87.25;2.4;
83639;23/03/1973;1200;;18.5;;;;
83639;24/03/1973;0000;25.4;;21.14;90.75;2.433333;
83639;24/03/1973;1200;;17.8;;;;
83639;25/03/1973;0000;24;;20.48;92.25;0;
83639;25/03/1973;1200;;17;;;;
83639;26/03/1973;0000;24.8;;20.22;89;1.033333;
83639;26/03/1973;1200;;17.2;;;;
83639;27/03/1973;0000;28.8;;20.78;84.75;1.033333;
83639;27/03/1973;1200;;14.6;;;;
83639;28/03/1973;0000;26.1;;21.06;85.5;1.366667;
83639;28/03/1973;1200;;15.4;;;;
83639;29/03/1973;0000;25;;20.76;88.75;1.2;
83639;29/03/1973;1200;;17.8;;;;
83639;30/03/1973;0000;26;;20.76;81;0;
83639;30/03/1973;1200;;16.7;;;;
83639;31/03/1973;0000;27;;21.64;85.75;0.7;
83639;31/03/1973;1200;;17;;;;
83639;01/04/1973;0000;27.4;;21.62;83.75;0.866667;
83639;01/04/1973;1200;;17.1;;;;
83639;02/04/1973;0000;28.4;;20.9;82;2.066667;
83639;02/04/1973;1200;;15.8;;;;
83639;03/04/1973;0000;28.8;;21;80.25;1.866667;
83639;03/04/1973;1200;;14.8;;;;
83639;04/04/1973;0000;30;;21.78;84.25;0.5;
83639;04/04/1973;1200;;14.4;;;;
83639;05/04/1973;0000;29.6;;21.7;84.25;0.5;
83639;05/04/1973;1200;;15.2;;;;
83639;06/04/1973;0000;30.2;;22.66;75.25;0;
83639;06/04/1973;1200;;16.8;;;;
83639;07/04/1973;0000;30;;22.16;79.75;2.066667;
83639;07/04/1973;1200;;15.7;;;;
83639;08/04/1973;0000;29.4;;21.54;86;1.533333;
83639;08/04/1973;1200;;14.4;;;;
83639;09/04/1973;0000;26.8;;21.12;79.5;1;
83639;09/04/1973;1200;;13.8;;;;
83639;10/04/1973;0000;27.4;;22.24;70.25;2.233333;
83639;10/04/1973;1200;;16.8;;;;
83639;11/04/1973;0000;26.5;;21.18;74;2.566667;
83639;11/04/1973;1200;;14.6;;;;
83639;12/04/1973;0000;26;;20.38;85.5;1.033333;
83639;12/04/1973;1200;;14.5;;;;
83639;13/04/1973;0000;26.6;;21.38;83.25;1.733333;
83639;13/04/1973;1200;;16.1;;;;
83639;14/04/1973;0000;28.8;;21.4;81.5;1.033333;
83639;14/04/1973;1200;;17.6;;;;
83639;15/04/1973;0000;28.8;;21.12;82;0.7;
83639;15/04/1973;1200;;15;;;;
83639;16/04/1973;0000;29;;20.48;83.25;1;
83639;16/04/1973;1200;;14.8;;;;
83639;17/04/1973;0000;30;;21.76;82;0.5;
83639;17/04/1973;1200;;13;;;;
83639;18/04/1973;0000;29.5;;22.54;79.5;2.066667;
83639;18/04/1973;1200;;17;;;;
83639;19/04/1973;0000;30.2;;23.36;80;1.9;
83639;19/04/1973;1200;;18.4;;;;
83639;20/04/1973;0000;29.4;;22.56;84.25;0.333333;
83639;20/04/1973;1200;;18.2;;;;
83639;21/04/1973;0000;26.6;;21.48;80.5;1.733333;
83639;21/04/1973;1200;;17;;;;
83639;22/04/1973;0000;25.8;;20.22;80.75;2.933333;
83639;22/04/1973;1200;;15.4;;;;
83639;23/04/1973;0000;25.4;;19.42;84.25;1.033333;
83639;23/04/1973;1200;;12.2;;;;
83639;24/04/1973;0000;28;;21.36;84.25;0.7;
83639;24/04/1973;1200;;16.1;;;;
83639;25/04/1973;0000;29.2;;22.22;81.5;1.2;
83639;25/04/1973;1200;;15.5;;;;
83639;26/04/1973;0000;29;;21.18;82.5;1.733333;
83639;26/04/1973;1200;;15.6;;;;
83639;27/04/1973;0000;28.7;;21.2;82.5;1.2;
83639;27/04/1973;1200;;14.5;;;;
83639;28/04/1973;0000;29;;19.5;79.75;0;
83639;28/04/1973;1200;;13.4;;;;
83639;29/04/1973;0000;28.4;;18.78;79.25;0.866667;
83639;29/04/1973;1200;;10.7;;;;
83639;30/04/1973;0000;27;;17.96;83.25;1;
83639;30/04/1973;1200;;9.2;;;;
83639;01/05/1973;0000;26.7;;17.82;82.5;1.4;
83639;01/05/1973;1200;;9.1;;;;
83639;02/05/1973;0000;26.8;;18.8;77.75;2.4;
83639;02/05/1973;1200;;12.2;;;;
83639;03/05/1973;0000;28.2;;20.56;78.5;1.033333;
83639;03/05/1973;1200;;13.2;;;;
83639;04/05/1973;0000;27;;20.56;80.5;1.533333;
83639;04/05/1973;1200;;14;;;;
83639;05/05/1973;0000;26.2;;18.16;80.25;1.333333;
83639;05/05/1973;1200;;12.6;;;;
83639;06/05/1973;0000;26;;19.38;83.75;1.866667;
83639;06/05/1973;1200;;11.5;;;;
