--------------------
BDMEP - INMET
--------------------
Estação           : VICOSA - MG (OMM: 83642)
Latitude  (graus) : -20.76
Longitude (graus) : -42.86
Altitude  (metros): 712.20
Estação Operante
Inicio de operação: 01/10/1919
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83642;03/01/1961;0000;30;;22.96;80.75;0;
83642;03/01/1961;1200;;17.8;;;;
83642;04/01/1961;0000;24.8;;21.4;87.75;0;
83642;04/01/1961;1200;;15.8;;;;
83642;05/01/1961;0000;23.8;;21.36;92.25;0;
83642;05/01/1961;1200;;20;;;;
83642;06/01/1961;0000;28.8;;23.84;80;0;
83642;06/01/1961;1200;;20;;;;
83642;07/01/1961;0000;24.6;;22.32;89.5;0;
83642;07/01/1961;1200;;20.6;;;;
83642;08/01/1961;0000;24.6;;22.64;87.5;0;
83642;08/01/1961;1200;;20;;;;
83642;09/01/1961;0000;25.8;;22.4;89.25;0;
83642;09/01/1961;1200;;19.8;;;;
83642;10/01/1961;0000;23.8;;21.32;92.75;0;
83642;10/01/1961;1200;;19.4;;;;
83642;11/01/1961;0000;28;;23.16;77.75;0;
83642;11/01/1961;1200;;19;;;;
83642;12/01/1961;0000;21;;19.72;96.75;0;
83642;12/01/1961;1200;;18;;;;
83642;13/01/1961;0000;23.2;;20.04;90.75;0;
83642;13/01/1961;1200;;17.8;;;;
83642;14/01/1961;0000;26.8;;21.64;83.5;0;
83642;14/01/1961;1200;;18.8;;;;
83642;15/01/1961;0000;24.2;;20.6;85.5;0;
83642;15/01/1961;1200;;16.8;;;;
83642;16/01/1961;0000;27;;21.24;83.5;0;
83642;16/01/1961;1200;;16.8;;;;
83642;17/01/1961;0000;29;;21.72;80.25;0;
83642;17/01/1961;1200;;17.4;;;;
83642;18/01/1961;0000;30.8;;23;80.25;0;
83642;18/01/1961;1200;;16.4;;;;
83642;19/01/1961;0000;29.8;;23.52;80.75;0;
83642;19/01/1961;1200;;19.2;;;;
83642;20/01/1961;0000;26.2;;21.08;85;0;
83642;20/01/1961;1200;;18.2;;;;
83642;21/01/1961;0000;27.4;;21.72;83.75;0;
83642;21/01/1961;1200;;18.2;;;;
83642;22/01/1961;0000;28.6;;22.32;83.25;0;
83642;22/01/1961;1200;;19.4;;;;
83642;23/01/1961;0000;28;;22.2;85;0;
83642;23/01/1961;1200;;17;;;;
83642;24/01/1961;0000;27.8;;23.12;88.75;0;
83642;24/01/1961;1200;;20;;;;
83642;25/01/1961;0000;26.4;;22.68;86.25;0;
83642;25/01/1961;1200;;20;;;;
83642;26/01/1961;0000;22;;19.92;95.25;0;
83642;26/01/1961;1200;;18.8;;;;
83642;27/01/1961;0000;21.4;;19.04;94.25;0;
83642;27/01/1961;1200;;17.4;;;;
83642;28/01/1961;0000;23.8;;19.76;93;0;
83642;28/01/1961;1200;;17.2;;;;
