--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Estação Operante
Inicio de operação: 20/11/1923
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83648;01/01/1961;0000;32.2;;26.86;73.25;3.666667;
83648;01/01/1961;1200;;24;;;;
83648;02/01/1961;0000;25.5;;24.42;89.5;3.333333;
83648;02/01/1961;1200;;23.4;;;;
83648;03/01/1961;0000;28.8;;24.78;83;4.333333;
83648;03/01/1961;1200;;22.4;;;;
83648;04/01/1961;0000;28;;24.68;88.5;2.666667;
83648;04/01/1961;1200;;22.6;;;;
83648;05/01/1961;0000;27.6;;25.46;88;1.666667;
83648;05/01/1961;1200;;23.6;;;;
83648;06/01/1961;0000;29.4;;26.02;84.25;3;
83648;06/01/1961;1200;;23.9;;;;
83648;07/01/1961;0000;32.2;;26.78;76.75;4.333333;
83648;07/01/1961;1200;;22.9;;;;
83648;08/01/1961;0000;32.6;;27.14;76.5;3;
83648;08/01/1961;1200;;23.4;;;;
83648;09/01/1961;0000;32.2;;26.92;79.75;4;
83648;09/01/1961;1200;;24;;;;
83648;10/01/1961;0000;31.6;;26.16;84.25;3;
83648;10/01/1961;1200;;23.2;;;;
83648;11/01/1961;0000;30.1;;25.06;84.5;3;
83648;11/01/1961;1200;;22.2;;;;
83648;12/01/1961;0000;27;;23.96;90.5;0.666667;
83648;12/01/1961;1200;;22.4;;;;
83648;13/01/1961;0000;27.6;;24.16;86;0.666667;
83648;13/01/1961;1200;;22;;;;
83648;14/01/1961;0000;24;;22.52;86.75;2;
83648;14/01/1961;1200;;21.2;;;;
83648;15/01/1961;0000;29.8;;25.66;79.5;2.333333;
83648;15/01/1961;1200;;21.8;;;;
83648;16/01/1961;0000;30;;25.8;83.25;1.333333;
83648;16/01/1961;1200;;23;;;;
83648;17/01/1961;0000;30.4;;26.36;79;2.333333;
83648;17/01/1961;1200;;22.9;;;;
83648;18/01/1961;0000;31.9;;26.58;73.75;3.666667;
83648;18/01/1961;1200;;23.2;;;;
83648;19/01/1961;0000;32;;26.58;73.75;2.666667;
83648;19/01/1961;1200;;22.7;;;;
83648;20/01/1961;0000;30.2;;26.34;76.5;4.333333;
83648;20/01/1961;1200;;23.6;;;;
83648;21/01/1961;0000;30;;25.88;75.75;4.333333;
83648;21/01/1961;1200;;22.4;;;;
83648;22/01/1961;0000;32.8;;27.24;71.5;3;
83648;22/01/1961;1200;;22.2;;;;
83648;23/01/1961;0000;33.8;;27.36;78;1;
83648;23/01/1961;1200;;21.8;;;;
83648;24/01/1961;0000;32.2;;27.72;82;0.666667;
83648;24/01/1961;1200;;23.9;;;;
83648;25/01/1961;0000;33.8;;27.76;73;3.333333;
83648;25/01/1961;1200;;25;;;;
83648;26/01/1961;0000;26.6;;24.72;90;5;
83648;26/01/1961;1200;;23.6;;;;
83648;27/01/1961;0000;24.6;;21.8;93;2.333333;
83648;27/01/1961;1200;;20.4;;;;
83648;28/01/1961;0000;27.4;;24.42;88.5;2;
83648;28/01/1961;1200;;20.4;;;;
83648;29/01/1961;0000;32.8;;26.38;85;3.333333;
83648;29/01/1961;1200;;22.9;;;;
83648;30/01/1961;0000;34;;26.58;81.25;1.333333;
83648;30/01/1961;1200;;22.1;;;;
83648;31/01/1961;0000;31.2;;25.78;83.5;1;
83648;31/01/1961;1200;;23.1;;;;
83648;01/02/1961;0000;32.6;;26.5;78;3.666667;
83648;01/02/1961;1200;;23.1;;;;
83648;02/02/1961;0000;32;;26.16;73.5;3.666667;
83648;02/02/1961;1200;;23;;;;
83648;03/02/1961;0000;32.8;;26;78.75;4.333333;
83648;03/02/1961;1200;;22;;;;
83648;04/02/1961;0000;31;;26.46;75.5;4.333333;
83648;04/02/1961;1200;;22.6;;;;
83648;05/02/1961;0000;31.8;;26.74;73;3.333333;
83648;05/02/1961;1200;;23.1;;;;
83648;06/02/1961;0000;33.8;;27.18;72.5;4.666667;
83648;06/02/1961;1200;;22.8;;;;
83648;07/02/1961;0000;32.2;;26.86;76.75;4;
83648;07/02/1961;1200;;22.9;;;;
83648;08/02/1961;0000;33.8;;27.22;74.75;3.333333;
83648;08/02/1961;1200;;23.3;;;;
83648;09/02/1961;0000;32.6;;27.14;72;2;
83648;09/02/1961;1200;;23.1;;;;
83648;10/02/1961;0000;32.2;;26.96;75.5;2.333333;
83648;10/02/1961;1200;;23.1;;;;
83648;11/02/1961;0000;33.8;;27.54;71.25;4.333333;
83648;11/02/1961;1200;;23.3;;;;
83648;12/02/1961;0000;34.4;;28.1;75.75;1.666667;
83648;12/02/1961;1200;;23.9;;;;
83648;13/02/1961;0000;31.4;;25.84;82.75;1.333333;
83648;13/02/1961;1200;;23;;;;
83648;14/02/1961;0000;24.8;;23.46;85;4.333333;
83648;14/02/1961;1200;;22.4;;;;
83648;15/02/1961;0000;27.8;;23.86;80;3;
83648;15/02/1961;1200;;20.9;;;;
83648;16/02/1961;0000;30.2;;25.3;81;1;
83648;16/02/1961;1200;;20.7;;;;
83648;17/02/1961;0000;31.4;;26.36;77.25;1;
83648;17/02/1961;1200;;22;;;;
83648;18/02/1961;0000;31.8;;26.26;81.25;1;
83648;18/02/1961;1200;;22.3;;;;
83648;19/02/1961;0000;32.4;;26.76;76.5;2;
