--------------------
BDMEP - INMET
--------------------
Estação           : CALDAS P  DE CALDAS  - MG (OMM: 83681)
Latitude  (graus) : -21.91
Longitude (graus) : -46.38
Altitude  (metros): 1150.00
Estação Operante
Inicio de operação: 10/11/1988
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83681;01/01/1961;0000;23.3;;19.98;92.5;1;
83681;01/01/1961;1200;;18;;;;
83681;02/01/1961;0000;20.7;;19.04;94.75;1.666667;
83681;02/01/1961;1200;;18;;;;
83681;03/01/1961;0000;26.7;;20.94;88.75;0.333333;
83681;03/01/1961;1200;;17.8;;;;
83681;04/01/1961;0000;23.3;;19.8;93;0.666667;
83681;04/01/1961;1200;;17.9;;;;
83681;05/01/1961;0000;26.2;;21.06;84.75;1;
83681;05/01/1961;1200;;16.1;;;;
83681;06/01/1961;0000;23.5;;20.1;94.75;1.333333;
83681;06/01/1961;1200;;18.6;;;;
83681;07/01/1961;0000;25.9;;20.76;90.5;0.333333;
83681;07/01/1961;1200;;17.3;;;;
83681;08/01/1961;0000;26.5;;21.22;91.25;0.666667;
83681;08/01/1961;1200;;18.4;;;;
83681;09/01/1961;0000;25.3;;21.1;90;0.333333;
83681;09/01/1961;1200;;18.2;;;;
83681;10/01/1961;0000;27.6;;22.5;85.75;0.666667;
83681;10/01/1961;1200;;18.9;;;;
83681;11/01/1961;0000;28.3;;21.78;85.25;1.333333;
83681;11/01/1961;1200;;18.5;;;;
83681;12/01/1961;0000;26.8;;20.46;84.75;1.666667;
83681;12/01/1961;1200;;17.1;;;;
83681;13/01/1961;0000;26.1;;19.82;90;1;
83681;13/01/1961;1200;;15.7;;;;
83681;14/01/1961;0000;25.3;;20.78;86.25;1.333333;
83681;14/01/1961;1200;;17.6;;;;
83681;15/01/1961;0000;27.1;;20.92;87.5;1.666667;
83681;15/01/1961;1200;;15.7;;;;
83681;16/01/1961;0000;28.1;;20.94;84.5;2.333333;
83681;16/01/1961;1200;;17.3;;;;
83681;17/01/1961;0000;27.9;;21.86;81.5;1.666667;
83681;17/01/1961;1200;;16.6;;;;
83681;18/01/1961;0000;29.5;;22.8;77;2;
83681;18/01/1961;1200;;16.7;;;;
83681;19/01/1961;0000;27.1;;20.86;91;0.333333;
83681;19/01/1961;1200;;17.8;;;;
83681;20/01/1961;0000;26.5;;21.6;83.25;0.333333;
83681;20/01/1961;1200;;16.8;;;;
83681;21/01/1961;0000;27.5;;21.32;86.75;0.666667;
83681;21/01/1961;1200;;16.9;;;;
83681;22/01/1961;0000;27.7;;21.98;83.25;1.333333;
83681;22/01/1961;1200;;16.8;;;;
83681;23/01/1961;0000;24.6;;20.24;92.5;1;
83681;23/01/1961;1200;;18.2;;;;
83681;24/01/1961;0000;27.5;;21.3;89;0.666667;
83681;24/01/1961;1200;;17.6;;;;
83681;25/01/1961;0000;25.5;;20.86;89.5;0.333333;
83681;25/01/1961;1200;;18.6;;;;
83681;26/01/1961;0000;23.5;;19.92;76;1.666667;
83681;26/01/1961;1200;;16.9;;;;
83681;27/01/1961;0000;21.7;;17.78;86;2;
83681;27/01/1961;1200;;14.1;;;;
83681;28/01/1961;0000;21.7;;18.74;90.75;1;
83681;28/01/1961;1200;;15.3;;;;
83681;29/01/1961;0000;20.9;;18.72;93;0.666667;
83681;29/01/1961;1200;;16.9;;;;
83681;30/01/1961;0000;26.7;;20.52;85;0.333333;
83681;30/01/1961;1200;;16.1;;;;
83681;31/01/1961;0000;24.1;;19.92;90.25;0.666667;
83681;31/01/1961;1200;;16.1;;;;
83681;01/02/1961;0000;26.9;;21.4;86.25;0.666667;
83681;01/02/1961;1200;;17.1;;;;
83681;02/02/1961;0000;28.1;;21.2;90.25;3.333333;
83681;02/02/1961;1200;;15.3;;;;
83681;03/02/1961;0000;28.7;;21.32;86.5;1.333333;
83681;03/02/1961;1200;;15.9;;;;
83681;04/02/1961;0000;26.6;;20.7;83.75;0.333333;
83681;04/02/1961;1200;;15.3;;;;
83681;05/02/1961;0000;26.7;;20.1;86.75;0.666667;
83681;05/02/1961;1200;;16.3;;;;
83681;06/02/1961;0000;28.1;;20.74;86.25;1;
83681;06/02/1961;1200;;16.1;;;;
83681;07/02/1961;0000;29.1;;22.44;84.75;0.333333;
83681;07/02/1961;1200;;17.5;;;;
83681;08/02/1961;0000;28.3;;22.18;87.25;0.333333;
83681;08/02/1961;1200;;17.8;;;;
83681;09/02/1961;0000;27.5;;21.64;90.5;0.333333;
83681;09/02/1961;1200;;17.2;;;;
83681;10/02/1961;0000;28.1;;21.5;89.25;0.333333;
83681;10/02/1961;1200;;17.8;;;;
83681;11/02/1961;0000;28;;21.68;91.5;1.333333;
83681;11/02/1961;1200;;17.8;;;;
83681;12/02/1961;0000;25;;20.92;88.25;1.666667;
