--------------------
BDMEP - INMET
--------------------
Estação           : MACHADO - MG (OMM: 83683)
Latitude  (graus) : -21.68
Longitude (graus) : -45.94
Altitude  (metros): 873.35
Estação Operante
Inicio de operação: 01/09/1961
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83683;01/09/1961;0000;30.4;;22.3;52;0;
83683;01/09/1961;1200;;13.2;;;;
83683;02/09/1961;0000;29;;22.08;46.25;1.333333;
83683;02/09/1961;1200;;14.1;;;;
83683;03/09/1961;0000;28.9;;20.82;48;0.666667;
83683;03/09/1961;1200;;11.8;;;;
83683;04/09/1961;0000;31.7;;22.06;44.75;0.333333;
83683;04/09/1961;1200;;11.7;;;;
83683;05/09/1961;0000;32.5;;22.3;49;0.333333;
83683;05/09/1961;1200;;12.9;;;;
83683;06/09/1961;0000;32.5;;23.08;47.25;0;
83683;06/09/1961;1200;;13.7;;;;
83683;07/09/1961;0000;25.3;;20.46;67.5;0;
83683;07/09/1961;1200;;17.2;;;;
83683;08/09/1961;0000;26.5;;20.68;71.75;0;
83683;08/09/1961;1200;;15.8;;;;
83683;09/09/1961;0000;29.3;;21.72;63.25;0.333333;
83683;09/09/1961;1200;;15.2;;;;
83683;10/09/1961;0000;32;;23.3;47.25;0.666667;
83683;10/09/1961;1200;;15.3;;;;
83683;11/09/1961;0000;34;;24.42;42.5;0;
83683;11/09/1961;1200;;14.7;;;;
83683;12/09/1961;0000;33.9;;22.4;57;0;
83683;12/09/1961;1200;;13.9;;;;
83683;13/09/1961;0000;33.4;;23.46;51;0;
83683;13/09/1961;1200;;13.9;;;;
83683;14/09/1961;0000;33;;24.38;52.25;0;
83683;14/09/1961;1200;;16.5;;;;
83683;15/09/1961;0000;32.9;;24.98;51;0;
83683;15/09/1961;1200;;17.2;;;;
83683;16/09/1961;0000;31.6;;22.76;58.25;0;
83683;16/09/1961;1200;;14.6;;;;
83683;17/09/1961;0000;32.5;;23.16;45.75;0.333333;
83683;17/09/1961;1200;;14.5;;;;
83683;18/09/1961;0000;35;;24.04;39;0;
83683;18/09/1961;1200;;14.2;;;;
83683;19/09/1961;0000;35.6;;24.78;37.5;0;
83683;19/09/1961;1200;;14.5;;;;
83683;20/09/1961;0000;33.5;;23.84;47.5;0;
83683;20/09/1961;1200;;15.9;;;;
83683;21/09/1961;0000;33.4;;23.38;39.5;0;
83683;21/09/1961;1200;;12.9;;;;
83683;22/09/1961;0000;30.5;;22.68;60.5;0.333333;
83683;22/09/1961;1200;;18.1;;;;
