--------------------
BDMEP - INMET
--------------------
Estação           : LAVRAS - MG (OMM: 83687)
Latitude  (graus) : -21.75
Longitude (graus) : -45
Altitude  (metros): 918.84
Estação Operante
Inicio de operação: 18/02/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83687;01/01/1961;0000;26.4;;21.82;88.5;2.666667;
83687;01/01/1961;1200;;19.5;;;;
83687;02/01/1961;0000;25.2;;21.22;93;2.666667;
83687;02/01/1961;1200;;19.5;;;;
83687;03/01/1961;0000;29.5;;22.4;87.75;1.666667;
83687;03/01/1961;1200;;19.5;;;;
83687;04/01/1961;0000;29.3;;22.4;96;0.666667;
83687;04/01/1961;1200;;19.9;;;;
83687;05/01/1961;0000;24.8;;21.54;92.5;0.666667;
83687;05/01/1961;1200;;19.5;;;;
83687;06/01/1961;0000;25.8;;21.94;92.75;2;
83687;06/01/1961;1200;;19.5;;;;
83687;07/01/1961;0000;28.5;;22.66;89;1;
83687;07/01/1961;1200;;19;;;;
83687;08/01/1961;0000;29.2;;22.66;90.25;1;
83687;08/01/1961;1200;;19.5;;;;
83687;09/01/1961;0000;29.4;;23;83.75;2.333333;
83687;09/01/1961;1200;;19.5;;;;
83687;10/01/1961;0000;29.1;;23.2;83.75;3.666667;
83687;10/01/1961;1200;;19;;;;
83687;11/01/1961;0000;30.3;;23.08;85;3;
83687;11/01/1961;1200;;18.5;;;;
83687;12/01/1961;0000;27.8;;21.16;86.75;3;
83687;12/01/1961;1200;;18.5;;;;
83687;13/01/1961;0000;24.7;;20.3;91;0.666667;
83687;13/01/1961;1200;;18.1;;;;
83687;14/01/1961;0000;29.6;;22.24;85.5;3;
83687;14/01/1961;1200;;17;;;;
83687;15/01/1961;0000;29.6;;21.7;84.75;0.666667;
83687;15/01/1961;1200;;16.5;;;;
83687;16/01/1961;0000;27.8;;20.72;84.75;1.666667;
83687;16/01/1961;1200;;17.1;;;;
83687;17/01/1961;0000;30.6;;22.34;78;3.666667;
83687;17/01/1961;1200;;15.5;;;;
83687;18/01/1961;0000;32;;23.88;70.5;1;
83687;18/01/1961;1200;;17;;;;
83687;19/01/1961;0000;28.9;;21.96;84.75;1;
83687;19/01/1961;1200;;19;;;;
83687;20/01/1961;0000;29.8;;22.16;81.75;0.666667;
83687;20/01/1961;1200;;19.6;;;;
83687;21/01/1961;0000;29.9;;22.3;79.5;3;
83687;21/01/1961;1200;;18.1;;;;
83687;22/01/1961;0000;29.6;;22.64;78.25;2;
83687;22/01/1961;1200;;19;;;;
83687;23/01/1961;0000;26.5;;21.86;92.5;0.666667;
83687;23/01/1961;1200;;19.5;;;;
83687;24/01/1961;0000;28.3;;22.18;87.25;2;
83687;24/01/1961;1200;;18.6;;;;
83687;25/01/1961;0000;27.3;;22.2;93.75;1.666667;
83687;25/01/1961;1200;;19.5;;;;
83687;26/01/1961;0000;22;;19.06;91.75;1.333333;
83687;26/01/1961;1200;;17.7;;;;
83687;27/01/1961;0000;23.8;;19.08;93.5;2.333333;
83687;27/01/1961;1200;;16.5;;;;
83687;28/01/1961;0000;24.2;;20.08;91;2;
83687;28/01/1961;1200;;17;;;;
83687;29/01/1961;0000;26;;20.64;93.25;2;
83687;29/01/1961;1200;;18.8;;;;
83687;30/01/1961;0000;28.6;;22.12;81.25;2;
83687;30/01/1961;1200;;18;;;;
83687;31/01/1961;0000;27;;21.82;83.25;1.666667;
83687;31/01/1961;1200;;19.5;;;;
83687;01/02/1961;0000;27.9;;22.34;86.75;1.333333;
83687;01/02/1961;1200;;18;;;;
83687;02/02/1961;0000;31.6;;23.38;70;1.666667;
83687;02/02/1961;1200;;17.5;;;;
83687;03/02/1961;0000;32.4;;23.64;70.5;2.333333;
83687;03/02/1961;1200;;17.1;;;;
83687;04/02/1961;0000;30.6;;22.26;75.25;3.333333;
83687;04/02/1961;1200;;17.5;;;;
83687;05/02/1961;0000;29.2;;21.92;83.5;1.666667;
83687;05/02/1961;1200;;17;;;;
83687;06/02/1961;0000;31.9;;22.9;72.75;1;
83687;06/02/1961;1200;;17;;;;
83687;07/02/1961;0000;31.8;;24.02;73.5;3;
