--------------------
BDMEP - INMET
--------------------
Estação           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Estação Operante
Inicio de operação: 09/06/1914
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83689;01/01/1961;0000;25;;20.08;90;3.666667;
83689;01/01/1961;1200;;17.7;;;;
83689;02/01/1961;0000;24;;19.64;94.25;3.666667;
83689;02/01/1961;1200;;17.7;;;;
83689;03/01/1961;0000;23.7;;20.46;89.75;2;
83689;03/01/1961;1200;;18.2;;;;
83689;04/01/1961;0000;23.5;;20.22;93.25;1.333333;
83689;04/01/1961;1200;;17.9;;;;
83689;05/01/1961;0000;22;;19.5;96.25;0;
83689;05/01/1961;1200;;17.8;;;;
83689;06/01/1961;0000;24.5;;19.82;87.75;4.333333;
83689;06/01/1961;1200;;17.7;;;;
83689;07/01/1961;0000;25;;20.08;94.25;0.666667;
83689;07/01/1961;1200;;18;;;;
83689;08/01/1961;0000;25.5;;20.24;92.25;0;
83689;08/01/1961;1200;;17.7;;;;
83689;09/01/1961;0000;26.5;;20.96;86.25;1.333333;
83689;09/01/1961;1200;;18.1;;;;
83689;10/01/1961;0000;25.5;;20.9;91.25;3.666667;
83689;10/01/1961;1200;;17.8;;;;
83689;11/01/1961;0000;24.5;;19.8;91.5;0.666667;
83689;11/01/1961;1200;;17.2;;;;
83689;12/01/1961;0000;23;;18.88;91;0.333333;
83689;12/01/1961;1200;;16.9;;;;
83689;13/01/1961;0000;23;;18.36;91;1;
83689;13/01/1961;1200;;15.7;;;;
83689;14/01/1961;0000;26;;19.22;83;2.333333;
83689;14/01/1961;1200;;15.2;;;;
83689;15/01/1961;0000;25.5;;19.84;83;0.666667;
83689;15/01/1961;1200;;17.9;;;;
83689;16/01/1961;0000;26.5;;19.3;87.5;1.333333;
83689;16/01/1961;1200;;14.7;;;;
83689;17/01/1961;0000;28;;21.44;80.75;0.666667;
83689;17/01/1961;1200;;16.3;;;;
83689;18/01/1961;0000;28.5;;21.38;81.75;1;
83689;18/01/1961;1200;;15.9;;;;
83689;19/01/1961;0000;26;;19.48;91.75;2.333333;
83689;19/01/1961;1200;;16.3;;;;
83689;20/01/1961;0000;24.5;;19.82;88;0.666667;
83689;20/01/1961;1200;;15.5;;;;
83689;21/01/1961;0000;26;;19.72;92.25;0.333333;
83689;21/01/1961;1200;;15.5;;;;
83689;22/01/1961;0000;27;;20.52;78.75;2;
83689;22/01/1961;1200;;15.1;;;;
83689;23/01/1961;0000;24.5;;19.48;93.75;1;
83689;23/01/1961;1200;;17.3;;;;
83689;24/01/1961;0000;26.5;;20.34;90.25;1;
83689;24/01/1961;1200;;17.5;;;;
83689;25/01/1961;0000;25;;19.78;93;0;
83689;25/01/1961;1200;;16.7;;;;
83689;26/01/1961;0000;20;;17.82;97.25;1;
83689;26/01/1961;1200;;17;;;;
83689;27/01/1961;0000;21;;17.68;94.25;1.333333;
83689;27/01/1961;1200;;15;;;;
83689;28/01/1961;0000;21.5;;18.1;95;0.333333;
83689;28/01/1961;1200;;15.7;;;;
83689;29/01/1961;0000;23.5;;19.5;96.25;3.333333;
83689;29/01/1961;1200;;17.3;;;;
83689;30/01/1961;0000;26.5;;20.66;83.5;3.666667;
83689;30/01/1961;1200;;17.3;;;;
83689;31/01/1961;0000;26;;19.96;86.25;0;
83689;31/01/1961;1200;;16.8;;;;
83689;01/02/1961;0000;28.5;;20.26;87;0.333333;
83689;01/02/1961;1200;;16.1;;;;
83689;02/02/1961;0000;29.5;;20.88;82;1;
83689;02/02/1961;1200;;14.9;;;;
83689;03/02/1961;0000;29;;21.24;87;0;
83689;03/02/1961;1200;;17;;;;
83689;04/02/1961;0000;27.5;;20.44;87.75;0.333333;
83689;04/02/1961;1200;;17.2;;;;
83689;05/02/1961;0000;28;;20.9;82.25;1.1;
83689;05/02/1961;1200;;15.6;;;;
83689;06/02/1961;0000;31;;22.86;77.25;0.333333;
83689;06/02/1961;1200;;16.5;;;;
83689;07/02/1961;0000;31.5;;22.68;73.5;0.666667;
83689;07/02/1961;1200;;16.3;;;;
83689;08/02/1961;0000;28.5;;22.16;85.25;1.666667;
83689;08/02/1961;1200;;18.2;;;;
83689;09/02/1961;0000;28;;22.46;75;0.333333;
83689;09/02/1961;1200;;16.7;;;;
83689;10/02/1961;0000;25.5;;20.72;90.5;0;
83689;10/02/1961;1200;;17.9;;;;
83689;11/02/1961;0000;27.5;;20.98;87.75;2.333333;
83689;11/02/1961;1200;;17.2;;;;
83689;12/02/1961;0000;22.5;;18.74;95;0.333333;
83689;12/02/1961;1200;;17.1;;;;
83689;13/02/1961;0000;22.5;;18.62;97.25;0.333333;
83689;13/02/1961;1200;;16.8;;;;
83689;14/02/1961;0000;18.5;;16.16;98.25;2.066667;
83689;14/02/1961;1200;;15.4;;;;
83689;15/02/1961;0000;17.5;;15.68;97;0.666667;
83689;15/02/1961;1200;;13.5;;;;
83689;16/02/1961;0000;25;;18.86;91;0.333333;
83689;16/02/1961;1200;;14.9;;;;
83689;17/02/1961;0000;24;;18.7;86;0.333333;
83689;17/02/1961;1200;;16.4;;;;
83689;18/02/1961;0000;24;;19.28;82;0.333333;
83689;18/02/1961;1200;;16.2;;;;
83689;19/02/1961;0000;26;;19.86;84.75;0.666667;
83689;19/02/1961;1200;;16.4;;;;
83689;20/02/1961;0000;22.5;;18.5;94.25;0;
83689;20/02/1961;1200;;17.1;;;;
83689;21/02/1961;0000;25.5;;20.16;87;0.333333;
83689;21/02/1961;1200;;16.1;;;;
83689;22/02/1961;0000;27.5;;20.3;83.5;0.333333;
83689;22/02/1961;1200;;15.5;;;;
83689;23/02/1961;0000;26;;20.2;96;0.333333;
83689;23/02/1961;1200;;17.7;;;;
83689;24/02/1961;0000;27;;20.22;84.75;0.666667;
83689;24/02/1961;1200;;16.2;;;;
83689;25/02/1961;0000;26;;19.78;87.75;0.666667;
83689;25/02/1961;1200;;16.8;;;;
83689;26/02/1961;0000;29;;21.32;78.25;2;
83689;26/02/1961;1200;;15.2;;;;
83689;27/02/1961;0000;28.5;;21.08;86;1.666667;
83689;27/02/1961;1200;;16.2;;;;
83689;28/02/1961;0000;27.5;;21.6;85.25;0.333333;
83689;28/02/1961;1200;;17.7;;;;
83689;01/03/1961;0000;26.5;;19.74;96.75;0;
83689;01/03/1961;1200;;16.4;;;;
83689;02/03/1961;0000;23;;17.64;86.5;2.333333;
83689;02/03/1961;1200;;15.7;;;;
83689;03/03/1961;0000;26;;18.22;78.25;1.666667;
83689;03/03/1961;1200;;10.4;;;;
83689;04/03/1961;0000;28;;21.58;80.75;1.333333;
83689;04/03/1961;1200;;16.4;;;;
83689;05/03/1961;0000;27.7;;21.58;84.25;2;
83689;05/03/1961;1200;;17.1;;;;
83689;06/03/1961;0000;27;;20.2;88.75;0.666667;
83689;06/03/1961;1200;;16.9;;;;
83689;07/03/1961;0000;24;;19.72;88;1;
83689;07/03/1961;1200;;17.7;;;;
83689;08/03/1961;0000;24.5;;19.4;91.25;0.333333;
83689;08/03/1961;1200;;16.3;;;;
83689;09/03/1961;0000;26.5;;20.26;94.5;0.333333;
83689;09/03/1961;1200;;17.5;;;;
83689;10/03/1961;0000;29.5;;21.8;81.75;0.333333;
83689;10/03/1961;1200;;16.3;;;;
83689;11/03/1961;0000;28.5;;22.58;80.25;0.333333;
83689;11/03/1961;1200;;17.5;;;;
83689;12/03/1961;0000;29.5;;22.72;80.25;1.666667;
83689;12/03/1961;1200;;17.9;;;;
83689;13/03/1961;0000;28;;20.72;84.25;1;
83689;13/03/1961;1200;;16.1;;;;
83689;14/03/1961;0000;28.6;;21.26;86.75;1.666667;
83689;14/03/1961;1200;;17.3;;;;
83689;15/03/1961;0000;28;;20.66;84.25;1.333333;
83689;15/03/1961;1200;;16.3;;;;
83689;16/03/1961;0000;28;;21.16;84;1.666667;
83689;16/03/1961;1200;;17.1;;;;
83689;17/03/1961;0000;26;;22.1;82.5;1;
83689;17/03/1961;1200;;18.3;;;;
83689;18/03/1961;0000;27.5;;21.72;84;0;
83689;18/03/1961;1200;;17.7;;;;
83689;19/03/1961;0000;28.5;;20.22;88.5;2.333333;
83689;19/03/1961;1200;;17.3;;;;
83689;20/03/1961;0000;26.5;;20.3;87;1;
83689;20/03/1961;1200;;15.5;;;;
83689;21/03/1961;0000;28.5;;22;83;0.333333;
83689;21/03/1961;1200;;18.1;;;;
83689;22/03/1961;0000;27;;20.98;80.5;0.666667;
83689;22/03/1961;1200;;18.3;;;;
83689;23/03/1961;0000;25.5;;19.46;85.5;1.333333;
83689;23/03/1961;1200;;15.7;;;;
83689;24/03/1961;0000;24.5;;19.82;85;0.333333;
83689;24/03/1961;1200;;15.9;;;;
83689;25/03/1961;0000;26.5;;20.26;77.75;1.333333;
83689;25/03/1961;1200;;16.8;;;;
83689;26/03/1961;0000;28.5;;19.64;82.5;1;
83689;26/03/1961;1200;;16.3;;;;
83689;27/03/1961;0000;22.5;;17.04;87;3.333333;
83689;27/03/1961;1200;;15.1;;;;
83689;28/03/1961;0000;20.5;;14.7;89;2.333333;
83689;28/03/1961;1200;;12.3;;;;
83689;29/03/1961;0000;20;;13.72;87.5;2.333333;
83689;29/03/1961;1200;;10.3;;;;
83689;30/03/1961;0000;21.5;;14.6;81.5;1.666667;
83689;30/03/1961;1200;;9.9;;;;
83689;31/03/1961;0000;23;;18.56;80;1.666667;
83689;31/03/1961;1200;;14.3;;;;
83689;01/04/1961;0000;24;;16.96;85.5;0.666667;
83689;01/04/1961;1200;;11.2;;;;
83689;02/04/1961;0000;26.5;;18.28;72.5;1;
83689;02/04/1961;1200;;12.4;;;;
83689;03/04/1961;0000;26.5;;20.5;75.5;2;
83689;03/04/1961;1200;;14.4;;;;
83689;04/04/1961;0000;27.5;;21.14;76.25;2.666667;
83689;04/04/1961;1200;;16.4;;;;
83689;05/04/1961;0000;27;;21.2;82.25;1.666667;
83689;05/04/1961;1200;;16.8;;;;
83689;06/04/1961;0000;25;;19.9;94;0.666667;
83689;06/04/1961;1200;;16.7;;;;
83689;07/04/1961;0000;22;;18.22;90.75;2.666667;
83689;07/04/1961;1200;;16.2;;;;
83689;08/04/1961;0000;25;;19.16;86.25;0.333333;
83689;08/04/1961;1200;;16.5;;;;
83689;09/04/1961;0000;27.5;;20.44;86.5;0.666667;
83689;09/04/1961;1200;;16.1;;;;
83689;10/04/1961;0000;27.5;;20.84;84;1;
83689;10/04/1961;1200;;17.8;;;;
83689;11/04/1961;0000;26.5;;19.92;83;1;
83689;11/04/1961;1200;;15.1;;;;
83689;12/04/1961;0000;28.5;;20.76;79.75;0.333333;
83689;12/04/1961;1200;;15.9;;;;
83689;13/04/1961;0000;28.5;;20.32;75.75;1;
83689;13/04/1961;1200;;14.3;;;;
83689;14/04/1961;0000;27.5;;18.96;79;0;
83689;14/04/1961;1200;;12.6;;;;
83689;15/04/1961;0000;26.5;;19.7;79.25;0;
83689;15/04/1961;1200;;15.7;;;;
83689;16/04/1961;0000;25;;18.24;87.75;0;
83689;16/04/1961;1200;;13.9;;;;
83689;17/04/1961;0000;25.5;;18.14;79.75;0.333333;
83689;17/04/1961;1200;;14;;;;
83689;18/04/1961;0000;26.5;;19.02;72.25;1.333333;
83689;18/04/1961;1200;;12.7;;;;
83689;19/04/1961;0000;26.5;;18.64;84;0.666667;
83689;19/04/1961;1200;;13.6;;;;
83689;20/04/1961;0000;18;;15;92.5;2;
83689;20/04/1961;1200;;13.3;;;;
83689;21/04/1961;0000;17.5;;14.6;96.25;0.333333;
83689;21/04/1961;1200;;12;;;;
83689;22/04/1961;0000;20.5;;16.72;92.25;0.666667;
83689;22/04/1961;1200;;14.7;;;;
83689;23/04/1961;0000;26;;18.96;84.5;0;
83689;23/04/1961;1200;;14.5;;;;
83689;24/04/1961;0000;27.5;;19.52;81.5;0.666667;
83689;24/04/1961;1200;;14.9;;;;
83689;25/04/1961;0000;24.5;;19.36;86;1;
83689;25/04/1961;1200;;15.5;;;;
83689;26/04/1961;0000;22;;17.52;93.25;2.666667;
83689;26/04/1961;1200;;15.3;;;;
83689;27/04/1961;0000;25;;17.18;87;1;
83689;27/04/1961;1200;;11.3;;;;
83689;28/04/1961;0000;24.5;;17.92;88.75;0;
83689;28/04/1961;1200;;14.8;;;;
83689;29/04/1961;0000;21.5;;17.46;95.25;2;
83689;29/04/1961;1200;;15.6;;;;
83689;30/04/1961;0000;23;;17.92;87.25;0.666667;
83689;30/04/1961;1200;;15.6;;;;
83689;01/05/1961;0000;23.5;;16.98;85.75;0.333333;
83689;01/05/1961;1200;;13.2;;;;
83689;02/05/1961;0000;23;;17.06;85.75;1;
83689;02/05/1961;1200;;13.7;;;;
83689;03/05/1961;0000;25.5;;18.08;85;1;
83689;03/05/1961;1200;;12.7;;;;
83689;04/05/1961;0000;18.5;;15.72;94.5;1.333333;
83689;04/05/1961;1200;;14.4;;;;
