--------------------
BDMEP - INMET
--------------------
Estação           : JUIZ DE FORA - MG (OMM: 83692)
Latitude  (graus) : -21.76
Longitude (graus) : -43.36
Altitude  (metros): 939.96
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83692;01/01/1961;0000;26.4;;22.2;78;0.666667;
83692;01/01/1961;1200;;19.4;;;;
83692;02/01/1961;0000;25.8;;21.82;80.5;0;
83692;02/01/1961;1200;;20.4;;;;
83692;03/01/1961;0000;26.4;;22.92;82.5;0;
83692;03/01/1961;1200;;21;;;;
83692;04/01/1961;0000;28;;22.48;85.25;0;
83692;04/01/1961;1200;;20.4;;;;
83692;05/01/1961;0000;24.4;;21.8;87.75;0.333333;
83692;05/01/1961;1200;;20;;;;
83692;06/01/1961;0000;28.4;;23.38;78;1.333333;
83692;06/01/1961;1200;;20.7;;;;
83692;07/01/1961;0000;26.8;;22.56;86.5;0;
83692;07/01/1961;1200;;20.4;;;;
83692;08/01/1961;0000;27.2;;22.16;86.5;0;
83692;08/01/1961;1200;;19.6;;;;
83692;09/01/1961;0000;29.4;;23.06;80.5;0.666667;
83692;09/01/1961;1200;;20.4;;;;
83692;10/01/1961;0000;29;;23.28;78.5;0.666667;
83692;10/01/1961;1200;;20.2;;;;
83692;11/01/1961;0000;29;;22.64;78.5;0.666667;
83692;11/01/1961;1200;;19.8;;;;
83692;12/01/1961;0000;23.9;;20.96;90;1.666667;
83692;12/01/1961;1200;;19.9;;;;
83692;13/01/1961;0000;25.7;;21.54;78;1.333333;
83692;13/01/1961;1200;;18.6;;;;
83692;14/01/1961;0000;28;;21.46;82.75;0.666667;
83692;14/01/1961;1200;;19.4;;;;
83692;15/01/1961;0000;28.9;;21.5;75.75;1.333333;
83692;15/01/1961;1200;;15.6;;;;
83692;16/01/1961;0000;30;;22.28;73.75;1.666667;
83692;16/01/1961;1200;;16.4;;;;
83692;17/01/1961;0000;30.4;;23.48;69.25;2;
83692;17/01/1961;1200;;18.3;;;;
83692;18/01/1961;0000;31;;23.84;62.25;1.333333;
83692;18/01/1961;1200;;18.6;;;;
83692;19/01/1961;0000;32;;24.44;69;2;
83692;19/01/1961;1200;;19.2;;;;
83692;20/01/1961;0000;28.4;;22.72;75.25;1.333333;
83692;20/01/1961;1200;;18.6;;;;
83692;21/01/1961;0000;30;;23.32;67;0.666667;
83692;21/01/1961;1200;;18.3;;;;
83692;22/01/1961;0000;31.1;;24.44;61.5;1.666667;
83692;22/01/1961;1200;;19;;;;
83692;23/01/1961;0000;28.4;;23.04;78.25;0.666667;
83692;23/01/1961;1200;;21;;;;
83692;24/01/1961;0000;29.2;;22.56;76;2;
83692;24/01/1961;1200;;18.8;;;;
83692;25/01/1961;0000;29.8;;23.38;74.25;0;
83692;25/01/1961;1200;;20.1;;;;
83692;26/01/1961;0000;22.7;;20.72;86.25;1.333333;
83692;26/01/1961;1200;;19.8;;;;
83692;27/01/1961;0000;23.6;;20.04;82;2;
83692;27/01/1961;1200;;18.6;;;;
83692;28/01/1961;0000;24.8;;20.4;85;0;
83692;28/01/1961;1200;;18.8;;;;
83692;29/01/1961;0000;27.4;;22.08;85;0;
83692;29/01/1961;1200;;18.6;;;;
83692;30/01/1961;0000;28;;23.04;75;0;
83692;30/01/1961;1200;;19.8;;;;
83692;31/01/1961;0000;25.4;;21.76;80.75;1.333333;
83692;31/01/1961;1200;;19;;;;
83692;01/02/1961;0000;29.2;;22.98;73;1.333333;
83692;01/02/1961;1200;;19.1;;;;
83692;02/02/1961;0000;29.9;;22.9;72.75;1.333333;
83692;02/02/1961;1200;;18.2;;;;
83692;03/02/1961;0000;32;;24.52;66;1.333333;
83692;03/02/1961;1200;;19.2;;;;
83692;04/02/1961;0000;31;;23.76;72.75;1.333333;
83692;04/02/1961;1200;;20.4;;;;
83692;05/02/1961;0000;29.9;;23.58;70.25;1.333333;
83692;05/02/1961;1200;;18.2;;;;
83692;06/02/1961;0000;33;;25.24;59.75;2;
83692;06/02/1961;1200;;19.4;;;;
83692;07/02/1961;0000;32.4;;24.92;64.25;1.333333;
83692;07/02/1961;1200;;19.6;;;;
83692;08/02/1961;0000;33.2;;24.44;69;1.666667;
83692;08/02/1961;1200;;19;;;;
83692;09/02/1961;0000;29.7;;22.9;75.25;1.333333;
83692;09/02/1961;1200;;18.4;;;;
83692;10/02/1961;0000;30.2;;24.32;76.25;1.333333;
83692;10/02/1961;1200;;21;;;;
83692;11/02/1961;0000;31.2;;24.64;71.25;0.666667;
83692;11/02/1961;1200;;20.3;;;;
83692;12/02/1961;0000;24.2;;21.3;94.75;0;
83692;12/02/1961;1200;;20;;;;
83692;13/02/1961;0000;23.9;;21.32;85;0.666667;
83692;13/02/1961;1200;;18.4;;;;
83692;14/02/1961;0000;21.8;;18.94;95.5;0;
83692;14/02/1961;1200;;18;;;;
83692;15/02/1961;0000;18.6;;17.8;94;0.666667;
83692;15/02/1961;1200;;17;;;;
83692;16/02/1961;0000;27.4;;21.18;78;1.333333;
83692;16/02/1961;1200;;17.1;;;;
83692;17/02/1961;0000;28;;22.84;73.25;0;
83692;17/02/1961;1200;;19.6;;;;
83692;18/02/1961;0000;27;;21.64;75;2;
83692;18/02/1961;1200;;18.2;;;;
83692;19/02/1961;0000;25.4;;22.1;72;0.666667;
83692;19/02/1961;1200;;19.6;;;;
83692;20/02/1961;0000;25.4;;21.32;80.25;0;
83692;20/02/1961;1200;;18.8;;;;
83692;21/02/1961;0000;28.4;;22.36;72.5;1.333333;
83692;21/02/1961;1200;;18.6;;;;
83692;22/02/1961;0000;30.9;;24.1;67.75;1.666667;
83692;22/02/1961;1200;;20.4;;;;
83692;23/02/1961;0000;31.4;;22.74;76;2;
83692;23/02/1961;1200;;20.2;;;;
83692;24/02/1961;0000;26;;21.44;80.5;0.666667;
83692;24/02/1961;1200;;19.2;;;;
83692;25/02/1961;0000;29.8;;22.92;73.25;1;
83692;25/02/1961;1200;;19.3;;;;
83692;26/02/1961;0000;31.2;;23.16;75.5;3;
83692;26/02/1961;1200;;18;;;;
83692;27/02/1961;0000;31.5;;23.92;74;0.666667;
83692;27/02/1961;1200;;19.2;;;;
83692;28/02/1961;0000;28.6;;23.46;73;2;
83692;28/02/1961;1200;;19.6;;;;
83692;01/03/1961;0000;27.6;;23.42;71.25;1.333333;
83692;01/03/1961;1200;;20.3;;;;
83692;01/04/1961;0000;26.4;;19.56;73;0.666667;
