--------------------
BDMEP - INMET
--------------------
Estação           : ITAPERUNA - RJ (OMM: 83695)
Latitude  (graus) : -21.2
Longitude (graus) : -41.9
Altitude  (metros): 123.59
Estação Operante
Inicio de operação: 01/01/1922
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83695;01/01/1961;0000;34.3;;26.78;76.75;0;
83695;01/01/1961;1200;;21.6;;;;
83695;02/01/1961;0000;31.4;;25.96;85.5;0;
83695;02/01/1961;1200;;23.6;;;;
83695;03/01/1961;0000;32.6;;27.32;78.5;0.333333;
83695;03/01/1961;1200;;23.2;;;;
83695;04/01/1961;0000;30.8;;25.34;85.5;0;
83695;04/01/1961;1200;;22.4;;;;
83695;05/01/1961;0000;29.4;;25;86.75;0.333333;
83695;05/01/1961;1200;;23.2;;;;
83695;06/01/1961;0000;32.8;;26.76;82.5;0;
83695;06/01/1961;1200;;23.2;;;;
83695;07/01/1961;0000;32.2;;26.08;83.5;0;
83695;07/01/1961;1200;;22.4;;;;
83695;08/01/1961;0000;29.6;;25.44;86.75;0.333333;
83695;08/01/1961;1200;;22.8;;;;
83695;09/01/1961;0000;31.2;;25.96;88;0;
83695;09/01/1961;1200;;23.2;;;;
83695;10/01/1961;0000;31.4;;25.28;91.75;0;
83695;10/01/1961;1200;;22.6;;;;
83695;11/01/1961;0000;32.2;;25.8;83.5;1;
83695;11/01/1961;1200;;22;;;;
83695;12/01/1961;0000;26.2;;23.08;93;0;
83695;12/01/1961;1200;;21.4;;;;
83695;13/01/1961;0000;26.3;;23.08;87.5;0.333333;
83695;13/01/1961;1200;;21.3;;;;
83695;14/01/1961;0000;27.4;;23.18;93.5;0;
83695;14/01/1961;1200;;20.7;;;;
83695;15/01/1961;0000;31.2;;23.3;89.5;0;
83695;15/01/1961;1200;;19.3;;;;
83695;16/01/1961;0000;31.4;;24.7;80.75;0.333333;
83695;16/01/1961;1200;;20.3;;;;
83695;17/01/1961;0000;34.4;;26.76;74;0.666667;
83695;17/01/1961;1200;;22.4;;;;
83695;18/01/1961;0000;35.4;;27.24;72.5;0.333333;
83695;18/01/1961;1200;;22.6;;;;
83695;19/01/1961;0000;33.9;;25.02;80.25;0;
83695;19/01/1961;1200;;20.4;;;;
83695;20/01/1961;0000;32.2;;24.58;80;0.333333;
83695;20/01/1961;1200;;20.5;;;;
83695;21/01/1961;0000;32.6;;25.6;74;1;
83695;21/01/1961;1200;;20.8;;;;
83695;22/01/1961;0000;32.8;;26.52;72.5;0;
83695;22/01/1961;1200;;21.4;;;;
83695;23/01/1961;0000;32;;26.12;78.75;0;
83695;23/01/1961;1200;;22;;;;
83695;24/01/1961;0000;33.8;;26.04;88.25;0.333333;
83695;24/01/1961;1200;;22.2;;;;
83695;25/01/1961;0000;28.8;;25.92;83.25;0.333333;
83695;25/01/1961;1200;;22.8;;;;
83695;26/01/1961;0000;25.6;;23.04;96;0.666667;
83695;26/01/1961;1200;;21.8;;;;
83695;27/01/1961;0000;25;;22.2;95;0;
83695;27/01/1961;1200;;20.8;;;;
83695;28/01/1961;0000;29.6;;24.36;87;0.666667;
83695;28/01/1961;1200;;20.8;;;;
83695;29/01/1961;0000;33;;25.6;85.5;0;
83695;29/01/1961;1200;;22.2;;;;
83695;30/01/1961;0000;33;;26.44;79.75;0.666667;
83695;30/01/1961;1200;;23;;;;
83695;31/01/1961;0000;28.4;;23.88;93.25;0;
83695;31/01/1961;1200;;20.8;;;;
83695;01/02/1961;0000;33.6;;26.76;74;1.333333;
