--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS - RJ (OMM: 83698)
Latitude  (graus) : -21.74
Longitude (graus) : -41.33
Altitude  (metros): 11.20
Estação Operante
Inicio de operação: 17/06/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83698;01/01/1961;0000;30.1;;25.54;83.25;3.366667;
83698;01/01/1961;1200;;22.7;;;;
83698;02/01/1961;0000;29.3;;25.3;94;3.266667;
83698;02/01/1961;1200;;23.2;;;;
83698;03/01/1961;0000;29.4;;25.36;86.5;1.8;
83698;03/01/1961;1200;;23.1;;;;
83698;04/01/1961;0000;32.6;;25.84;87.5;1.1;
83698;04/01/1961;1200;;22.4;;;;
83698;05/01/1961;0000;28.1;;25.08;90.25;2.033333;
83698;05/01/1961;1200;;23.4;;;;
83698;06/01/1961;0000;34;;26.6;88.75;2.7;
83698;06/01/1961;1200;;22.6;;;;
83698;07/01/1961;0000;34.3;;27.44;83;3.7;
83698;07/01/1961;1200;;23.3;;;;
83698;08/01/1961;0000;29.5;;25.72;84.5;2.2;
83698;08/01/1961;1200;;23.5;;;;
83698;09/01/1961;0000;32.2;;25.64;91;1.333333;
83698;09/01/1961;1200;;22.4;;;;
83698;10/01/1961;0000;29.7;;25.42;88.75;2.6;
83698;10/01/1961;1200;;22.6;;;;
83698;11/01/1961;0000;31.1;;26.34;84.5;3.5;
83698;11/01/1961;1200;;22;;;;
83698;12/01/1961;0000;26.8;;23.96;86.25;3.8;
83698;12/01/1961;1200;;22.6;;;;
83698;13/01/1961;0000;28.2;;23.56;90.75;3.966667;
83698;13/01/1961;1200;;21.4;;;;
83698;14/01/1961;0000;27.3;;23.4;88;3.066667;
83698;14/01/1961;1200;;20.8;;;;
83698;15/01/1961;0000;29.1;;24.4;81.25;3.3;
83698;15/01/1961;1200;;19.4;;;;
83698;16/01/1961;0000;30.6;;26.02;79.75;6.1;
83698;16/01/1961;1200;;22.2;;;;
83698;17/01/1961;0000;31.4;;26.28;77;5.9;
83698;17/01/1961;1200;;21.4;;;;
83698;18/01/1961;0000;33.6;;26.92;77.5;5.166667;
83698;18/01/1961;1200;;21.9;;;;
83698;19/01/1961;0000;32.6;;26.94;76.25;3.9;
83698;19/01/1961;1200;;22.4;;;;
83698;20/01/1961;0000;29.9;;25.72;75.5;6.466667;
83698;20/01/1961;1200;;20.9;;;;
83698;21/01/1961;0000;31.6;;26.4;73.75;5.633333;
83698;21/01/1961;1200;;22.4;;;;
83698;22/01/1961;0000;34.4;;26.96;72.75;2.166667;
83698;22/01/1961;1200;;21.5;;;;
83698;23/01/1961;0000;32.9;;27.26;79;1.633333;
83698;23/01/1961;1200;;22.6;;;;
83698;24/01/1961;0000;34.7;;26.92;80.25;1.4;
