--------------------
BDMEP - INMET
--------------------
Estação           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Estação Operante
Inicio de operação: 24/11/1941
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83702;01/01/1961;0000;27.4;;21.96;88.25;2.333333;
83702;01/01/1961;1200;;20;;;;
83702;02/01/1961;0000;29;;23.56;82.5;2.666667;
83702;02/01/1961;1200;;18.6;;;;
83702;03/01/1961;0000;32.4;;25.4;75.25;2.333333;
83702;03/01/1961;1200;;19;;;;
83702;04/01/1961;0000;32.4;;24.52;77.75;1.666667;
83702;04/01/1961;1200;;19.4;;;;
83702;05/01/1961;0000;30.6;;24.96;78.25;3;
83702;05/01/1961;1200;;20.2;;;;
83702;06/01/1961;0000;24.8;;19.8;86.25;2.333333;
83702;06/01/1961;1200;;16.8;;;;
83702;07/01/1961;0000;27.4;;22.2;80.25;2.333333;
83702;07/01/1961;1200;;17.8;;;;
83702;08/01/1961;0000;26.2;;22.68;88.25;2;
83702;08/01/1961;1200;;19.4;;;;
83702;09/01/1961;0000;33;;25.64;76.25;1.666667;
83702;09/01/1961;1200;;20;;;;
83702;10/01/1961;0000;32;;24.48;80.5;2.666667;
83702;10/01/1961;1200;;21;;;;
83702;11/01/1961;0000;30.4;;24.28;76;2;
83702;11/01/1961;1200;;18.6;;;;
83702;12/01/1961;0000;31;;25.28;75.5;3.333333;
83702;12/01/1961;1200;;20.8;;;;
83702;13/01/1961;0000;31.6;;25.4;73.25;2.666667;
83702;13/01/1961;1200;;19.4;;;;
83702;14/01/1961;0000;30.4;;25.08;75.5;3;
83702;14/01/1961;1200;;20.8;;;;
83702;15/01/1961;0000;32.2;;25.96;73.75;2.666667;
83702;15/01/1961;1200;;20.8;;;;
83702;16/01/1961;0000;32.2;;26.2;72.5;3;
83702;16/01/1961;1200;;20.4;;;;
83702;17/01/1961;0000;32.4;;25.44;76.25;3.333333;
83702;17/01/1961;1200;;20.2;;;;
83702;18/01/1961;0000;30.8;;23.56;80.25;2.333333;
83702;18/01/1961;1200;;20.8;;;;
83702;19/01/1961;0000;31;;23.72;79.25;2;
83702;19/01/1961;1200;;19.8;;;;
83702;20/01/1961;0000;32.4;;26.16;72;2.333333;
83702;20/01/1961;1200;;19.8;;;;
83702;21/01/1961;0000;33.6;;26.76;72.75;3.333333;
83702;21/01/1961;1200;;22;;;;
83702;22/01/1961;0000;31.8;;26.16;80;1.666667;
83702;22/01/1961;1200;;22;;;;
83702;23/01/1961;0000;28;;24.24;84.25;2.666667;
83702;23/01/1961;1200;;21.4;;;;
83702;24/01/1961;0000;31;;25.2;79.5;2.333333;
83702;24/01/1961;1200;;21;;;;
83702;25/01/1961;0000;30.4;;24.64;76.25;1.666667;
83702;25/01/1961;1200;;21;;;;
83702;26/01/1961;0000;29.6;;22.32;76.25;2.666667;
83702;26/01/1961;1200;;18.6;;;;
83702;27/01/1961;0000;27.2;;19.28;84.5;2.666667;
83702;27/01/1961;1200;;16.6;;;;
83702;28/01/1961;0000;25.6;;19.2;79;3;
83702;28/01/1961;1200;;15;;;;
83702;29/01/1961;0000;30;;21.48;74.25;3;
83702;29/01/1961;1200;;15.4;;;;
83702;30/01/1961;0000;31.8;;24.08;71.25;2.666667;
83702;30/01/1961;1200;;17.4;;;;
83702;31/01/1961;0000;32.6;;25.8;61.5;2.666667;
83702;31/01/1961;1200;;19.4;;;;
83702;01/02/1961;0000;32.6;;26.2;65;2.666667;
83702;01/02/1961;1200;;19.4;;;;
83702;02/02/1961;0000;33.2;;25.64;72.5;2.333333;
83702;02/02/1961;1200;;19.8;;;;
83702;03/02/1961;0000;32.8;;25;73.25;2.333333;
83702;03/02/1961;1200;;19.2;;;;
83702;04/02/1961;0000;32.8;;25.56;76.75;2.666667;
83702;04/02/1961;1200;;20.4;;;;
83702;05/02/1961;0000;31;;24.32;82.25;2.333333;
83702;05/02/1961;1200;;20.4;;;;
83702;06/02/1961;0000;30.4;;23.68;72.75;3;
83702;06/02/1961;1200;;18;;;;
83702;07/02/1961;0000;32.4;;26.16;74.75;3;
83702;07/02/1961;1200;;19.4;;;;
83702;08/02/1961;0000;32.4;;23.84;85.75;2.333333;
83702;08/02/1961;1200;;19.8;;;;
83702;09/02/1961;0000;31.8;;25.2;79.5;1.666667;
83702;09/02/1961;1200;;19;;;;
83702;10/02/1961;0000;30.4;;24.76;78.25;2.333333;
83702;10/02/1961;1200;;20.4;;;;
83702;11/02/1961;0000;30.6;;24.16;82;3;
83702;11/02/1961;1200;;21.4;;;;
83702;12/02/1961;0000;27.4;;21.64;75.75;2;
83702;12/02/1961;1200;;19;;;;
83702;13/02/1961;0000;30.4;;23.76;63.75;2.666667;
83702;13/02/1961;1200;;17;;;;
83702;14/02/1961;0000;31;;25.08;68.5;2;
83702;14/02/1961;1200;;19.8;;;;
83702;15/02/1961;0000;29;;22.4;66.75;3.333333;
83702;15/02/1961;1200;;17;;;;
83702;16/02/1961;0000;26.8;;22.04;75.5;2.666667;
83702;16/02/1961;1200;;18.8;;;;
83702;17/02/1961;0000;29.8;;23.36;77;2.666667;
83702;17/02/1961;1200;;17.4;;;;
83702;18/02/1961;0000;31.8;;24.48;75.75;2.666667;
83702;18/02/1961;1200;;19.6;;;;
83702;19/02/1961;0000;29.6;;24;78.25;2.666667;
83702;19/02/1961;1200;;19.2;;;;
83702;20/02/1961;0000;30.6;;24.48;79.5;2.333333;
83702;20/02/1961;1200;;19.8;;;;
83702;21/02/1961;0000;30;;23.32;87.25;2.333333;
83702;21/02/1961;1200;;19.6;;;;
83702;22/02/1961;0000;31.4;;23.88;85.75;2.333333;
83702;22/02/1961;1200;;19.4;;;;
83702;23/02/1961;0000;26.6;;22.44;81.5;1.666667;
83702;23/02/1961;1200;;20;;;;
83702;24/02/1961;0000;30.4;;24.4;78;2;
83702;24/02/1961;1200;;19.4;;;;
83702;25/02/1961;0000;29.8;;24.12;79.5;2.666667;
83702;25/02/1961;1200;;20.6;;;;
83702;26/02/1961;0000;30.2;;24.64;76.75;2.333333;
83702;26/02/1961;1200;;20.6;;;;
83702;27/02/1961;0000;29;;23.84;80.5;2.333333;
83702;27/02/1961;1200;;20.4;;;;
83702;28/02/1961;0000;28.6;;23.2;82.5;1.666667;
83702;28/02/1961;1200;;20;;;;
83702;01/03/1961;0000;28.6;;23.12;81.75;2;
83702;01/03/1961;1200;;20;;;;
83702;02/03/1961;0000;28.8;;23.44;82.5;3.333333;
83702;02/03/1961;1200;;20;;;;
83702;03/03/1961;0000;30.4;;23.76;87;2.666667;
83702;03/03/1961;1200;;19.8;;;;
83702;04/03/1961;0000;30;;24.04;78.75;2.333333;
83702;04/03/1961;1200;;20.4;;;;
83702;05/03/1961;0000;26.6;;21.84;86.5;2;
83702;05/03/1961;1200;;19.6;;;;
83702;06/03/1961;0000;27.4;;20.72;90;2.666667;
83702;06/03/1961;1200;;17.8;;;;
