--------------------
BDMEP - INMET
--------------------
Estação           : CORDEIRO - RJ (OMM: 83718)
Latitude  (graus) : -22.02
Longitude (graus) : -42.36
Altitude  (metros): 505.92
Estação Operante
Inicio de operação: 16/07/1971
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83718;01/08/1971;0000;23.3;;17.2;83.5;0;
83718;01/08/1971;1200;;14.6;;;;
83718;02/08/1971;0000;26.1;;17.78;80.25;1.666667;
83718;02/08/1971;1200;;13.4;;;;
83718;03/08/1971;0000;24.9;;16.76;80.5;1.333333;
83718;03/08/1971;1200;;11.3;;;;
83718;04/08/1971;0000;27.5;;18.68;81.5;0;
83718;04/08/1971;1200;;13.7;;;;
83718;05/08/1971;0000;29.9;;19.44;73;0;
83718;05/08/1971;1200;;13.9;;;;
83718;06/08/1971;0000;28.3;;19.12;73.75;0;
83718;06/08/1971;1200;;14.1;;;;
83718;07/08/1971;0000;29.8;;21.34;63;0;
83718;07/08/1971;1200;;13.1;;;;
83718;08/08/1971;0000;24.5;;18.66;73.5;0;
83718;08/08/1971;1200;;15.6;;;;
83718;09/08/1971;0000;27.7;;18.68;80.5;0.666667;
83718;09/08/1971;1200;;13.4;;;;
83718;10/08/1971;0000;29.9;;21.06;73.5;0;
83718;10/08/1971;1200;;15;;;;
83718;11/08/1971;0000;25.5;;19.58;90.5;3;
83718;11/08/1971;1200;;17;;;;
83718;12/08/1971;0000;26.3;;18.98;82.5;0;
83718;12/08/1971;1200;;16.2;;;;
83718;13/08/1971;0000;27.3;;18.16;79.25;0;
83718;13/08/1971;1200;;12.5;;;;
83718;14/08/1971;0000;29.5;;19.56;74.75;0;
