--------------------
BDMEP - INMET
--------------------
Estação           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Estação Operante
Inicio de operação: 24/09/1939
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83726;01/01/1961;0000;23.7;;20.6;93.5;2.666667;
83726;01/01/1961;1200;;17.9;;;;
83726;02/01/1961;0000;22.2;;20.28;97.5;4;
83726;02/01/1961;1200;;18.8;;;;
83726;03/01/1961;0000;28.3;;22.74;83.5;2.666667;
83726;03/01/1961;1200;;19.3;;;;
83726;04/01/1961;0000;25.8;;21.56;93;2;
83726;04/01/1961;1200;;19;;;;
83726;05/01/1961;0000;28;;22.5;86;2;
83726;05/01/1961;1200;;18.1;;;;
83726;06/01/1961;0000;25.6;;21.14;94;3;
83726;06/01/1961;1200;;18.1;;;;
83726;07/01/1961;0000;23.6;;20.92;92.5;2;
83726;07/01/1961;1200;;18.2;;;;
83726;08/01/1961;0000;25.6;;21.88;88.5;2;
83726;08/01/1961;1200;;17.9;;;;
83726;09/01/1961;0000;28.2;;22.94;88;2;
83726;09/01/1961;1200;;18.9;;;;
83726;10/01/1961;0000;28.8;;22.56;89.25;2.666667;
83726;10/01/1961;1200;;19.9;;;;
83726;11/01/1961;0000;28;;23.64;84.25;2.333333;
83726;11/01/1961;1200;;19.2;;;;
83726;12/01/1961;0000;29.2;;22.38;84.25;3;
83726;12/01/1961;1200;;16.9;;;;
83726;13/01/1961;0000;25.4;;20.48;87.5;2;
83726;13/01/1961;1200;;12.3;;;;
83726;14/01/1961;0000;28;;22.74;85.75;2.666667;
83726;14/01/1961;1200;;17.3;;;;
83726;15/01/1961;0000;29;;23.22;82.5;2.666667;
83726;15/01/1961;1200;;18.8;;;;
83726;16/01/1961;0000;28;;23.12;80.25;3.666667;
83726;16/01/1961;1200;;18;;;;
83726;17/01/1961;0000;28;;22.2;89;3;
83726;17/01/1961;1200;;18.2;;;;
83726;18/01/1961;0000;29.4;;24.68;76.25;2;
83726;18/01/1961;1200;;18.4;;;;
