--------------------
BDMEP - INMET
--------------------
Estação           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Estação Operante
Inicio de operação: 04/02/1922
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83736;01/01/1961;0000;25.6;;21.6;89.25;0.866667;
83736;01/01/1961;1200;;19.4;;;;
83736;02/01/1961;0000;23.8;;21.6;91.75;0.766667;
83736;02/01/1961;1200;;20;;;;
83736;03/01/1961;0000;29.4;;23.04;84;0.833333;
83736;03/01/1961;1200;;19.6;;;;
83736;04/01/1961;0000;28;;23.4;86.75;0;
83736;04/01/1961;1200;;20.2;;;;
83736;05/01/1961;0000;28;;22.32;85;1.233333;
83736;05/01/1961;1200;;18.6;;;;
83736;06/01/1961;0000;25.6;;21.96;90.75;1.6;
83736;06/01/1961;1200;;19.6;;;;
83736;07/01/1961;0000;29.4;;22.8;82.75;0.966667;
83736;07/01/1961;1200;;20.2;;;;
83736;08/01/1961;0000;28.8;;22.76;81.75;0.766667;
83736;08/01/1961;1200;;19.4;;;;
83736;09/01/1961;0000;26.8;;23.6;82.5;0.933333;
83736;09/01/1961;1200;;19.6;;;;
83736;10/01/1961;0000;30;;23.48;78.75;0.766667;
83736;10/01/1961;1200;;19.4;;;;
83736;11/01/1961;0000;29.6;;23;73.5;0.866667;
83736;11/01/1961;1200;;17.2;;;;
83736;12/01/1961;0000;27.8;;21.4;78.5;1.533333;
83736;12/01/1961;1200;;17.8;;;;
83736;13/01/1961;0000;27;;21.28;81;0;
83736;13/01/1961;1200;;16.4;;;;
