--------------------
BDMEP - INMET
--------------------
Estação           : RESENDE - RJ (OMM: 83738)
Latitude  (graus) : -22.45
Longitude (graus) : -44.44
Altitude  (metros): 439.89
Estação Operante
Inicio de operação: 22/05/1944
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83738;01/01/1961;0000;32;;25.12;81.5;0;
83738;01/01/1961;1200;;21.2;;;;
83738;02/01/1961;0000;28.2;;23.84;88.75;0;
83738;02/01/1961;1200;;21.6;;;;
83738;03/01/1961;0000;33;;24.84;79.5;0;
83738;03/01/1961;1200;;21.2;;;;
83738;04/01/1961;0000;28.2;;23.3;88.25;0;
83738;04/01/1961;1200;;19.7;;;;
83738;05/01/1961;0000;33.7;;23.98;90;0;
83738;05/01/1961;1200;;20.4;;;;
83738;06/01/1961;0000;33.8;;25.24;83.5;0;
83738;06/01/1961;1200;;20.2;;;;
83738;07/01/1961;0000;32.2;;23.96;83.75;1.166667;
83738;07/01/1961;1200;;20.8;;;;
83738;08/01/1961;0000;30.5;;24.18;84.25;1.266667;
83738;08/01/1961;1200;;20.6;;;;
83738;09/01/1961;0000;32.1;;24.54;79;1.366667;
83738;09/01/1961;1200;;21.4;;;;
83738;10/01/1961;0000;30.6;;25.06;75.75;0;
83738;10/01/1961;1200;;21.3;;;;
83738;11/01/1961;0000;30;;23.88;74.25;0;
83738;11/01/1961;1200;;19;;;;
83738;12/01/1961;0000;29.8;;23.4;79;2.333333;
83738;12/01/1961;1200;;20.6;;;;
83738;13/01/1961;0000;31;;23.48;79.75;0;
83738;13/01/1961;1200;;19.6;;;;
83738;14/01/1961;0000;29.5;;22.78;79.5;0;
83738;14/01/1961;1200;;19.6;;;;
83738;15/01/1961;0000;31;;21.98;79;0;
83738;15/01/1961;1200;;17.7;;;;
83738;16/01/1961;0000;30.6;;22.4;83.25;0;
83738;16/01/1961;1200;;17.4;;;;
83738;17/01/1961;0000;33.8;;26.12;67.25;0;
83738;17/01/1961;1200;;18;;;;
83738;18/01/1961;0000;33.5;;25.76;71.75;1.6;
83738;18/01/1961;1200;;21;;;;
83738;19/01/1961;0000;30.6;;23.96;81.5;0;
83738;19/01/1961;1200;;20.8;;;;
83738;20/01/1961;0000;29.6;;23.52;80;1.166667;
83738;20/01/1961;1200;;19.6;;;;
83738;21/01/1961;0000;31.7;;24.46;80;0;
83738;21/01/1961;1200;;20.6;;;;
83738;22/01/1961;0000;33.2;;24.9;73.75;0;
83738;22/01/1961;1200;;20.3;;;;
83738;23/01/1961;0000;28.3;;23.84;83.25;0;
83738;23/01/1961;1200;;21.6;;;;
83738;24/01/1961;0000;32;;24.92;79.25;0;
83738;24/01/1961;1200;;21.4;;;;
83738;25/01/1961;0000;28.3;;23.9;89.75;0;
83738;25/01/1961;1200;;21.4;;;;
83738;26/01/1961;0000;24.8;;21.92;84.5;0;
83738;26/01/1961;1200;;21;;;;
83738;27/01/1961;0000;24.1;;20.78;85;0;
83738;27/01/1961;1200;;19;;;;
83738;28/01/1961;0000;25.4;;21.46;89.25;0;
83738;28/01/1961;1200;;19.1;;;;
83738;29/01/1961;0000;28.2;;23.5;82;0;
83738;29/01/1961;1200;;20.1;;;;
83738;30/01/1961;0000;29.7;;23.34;88.5;0;
