--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83743;01/01/1961;0000;32.4;;27.54;77.75;0;
83743;01/01/1961;1200;;23.9;;;;
83743;02/01/1961;0000;30.9;;26.86;81.75;0;
83743;02/01/1961;1200;;24.8;;;;
83743;03/01/1961;0000;28.5;;25.98;82.75;1;
83743;03/01/1961;1200;;24.6;;;;
83743;04/01/1961;0000;28;;25.74;81.25;2.266667;
83743;04/01/1961;1200;;23.5;;;;
83743;05/01/1961;0000;28;;25.48;83.75;2.1;
83743;05/01/1961;1200;;24.2;;;;
83743;06/01/1961;0000;31.2;;27.78;74.25;2.033333;
83743;06/01/1961;1200;;23.7;;;;
83743;07/01/1961;0000;30.6;;27.48;75;0.9;
83743;07/01/1961;1200;;26.4;;;;
83743;08/01/1961;0000;28.3;;26.04;81;1;
83743;08/01/1961;1200;;24.8;;;;
83743;09/01/1961;0000;28.6;;25.9;82.25;3;
83743;09/01/1961;1200;;23.7;;;;
83743;10/01/1961;0000;28.9;;26.34;83.25;2.333333;
83743;10/01/1961;1200;;24.1;;;;
83743;11/01/1961;0000;29.4;;26.54;81.25;1.333333;
83743;11/01/1961;1200;;24.4;;;;
83743;12/01/1961;0000;29.4;;26.06;82.5;1;
83743;12/01/1961;1200;;23.7;;;;
83743;13/01/1961;0000;31.6;;26.46;72.75;3.333333;
83743;13/01/1961;1200;;22.9;;;;
83743;14/01/1961;0000;31.7;;26.06;70;1.333333;
83743;14/01/1961;1200;;22.2;;;;
83743;15/01/1961;0000;34;;27.94;67;0.666667;
83743;15/01/1961;1200;;23.1;;;;
83743;16/01/1961;0000;34.7;;29.32;56.25;0;
83743;16/01/1961;1200;;24.7;;;;
83743;17/01/1961;0000;35.4;;30.54;58;1.866667;
83743;17/01/1961;1200;;25.5;;;;
83743;18/01/1961;0000;36.7;;31.14;63;2;
83743;18/01/1961;1200;;26.8;;;;
83743;19/01/1961;0000;30;;27.14;78.5;1.833333;
83743;19/01/1961;1200;;25.1;;;;
83743;20/01/1961;0000;30.4;;27.42;68.25;2.166667;
83743;20/01/1961;1200;;23.5;;;;
83743;21/01/1961;0000;33.4;;28.62;64.25;1.333333;
83743;21/01/1961;1200;;24.3;;;;
83743;22/01/1961;0000;34.3;;28.6;67.25;2.333333;
83743;22/01/1961;1200;;25.1;;;;
83743;23/01/1961;0000;28.6;;25.88;84;0.666667;
83743;23/01/1961;1200;;24.1;;;;
83743;24/01/1961;0000;28.3;;26.32;79.5;2.266667;
83743;24/01/1961;1200;;24.3;;;;
83743;25/01/1961;0000;29.2;;25.62;89.25;2.433333;
83743;25/01/1961;1200;;24.2;;;;
83743;26/01/1961;0000;25.3;;24.4;83.25;2.933333;
83743;26/01/1961;1200;;23.1;;;;
83743;27/01/1961;0000;24.8;;23.26;88.5;3.666667;
83743;27/01/1961;1200;;21.3;;;;
83743;28/01/1961;0000;25.6;;23.24;92.25;4.266667;
83743;28/01/1961;1200;;21.7;;;;
83743;29/01/1961;0000;27.1;;24.64;86.75;0.5;
83743;29/01/1961;1200;;22.3;;;;
83743;30/01/1961;0000;27.6;;25.1;89.5;0.666667;
83743;30/01/1961;1200;;23.3;;;;
83743;31/01/1961;0000;27.3;;25.24;85.25;1.666667;
83743;31/01/1961;1200;;23.3;;;;
83743;01/02/1961;0000;29.8;;26.62;88.25;1.666667;
83743;01/02/1961;1200;;24.1;;;;
83743;02/02/1961;0000;29.4;;27.5;76.75;1.666667;
83743;02/02/1961;1200;;24.1;;;;
83743;03/02/1961;0000;30.6;;27.36;80.75;0.333333;
83743;03/02/1961;1200;;25.1;;;;
83743;04/02/1961;0000;28.8;;26.18;80.5;2;
83743;04/02/1961;1200;;24.1;;;;
83743;05/02/1961;0000;29.3;;26.78;81.25;0;
83743;05/02/1961;1200;;24.6;;;;
83743;06/02/1961;0000;30.9;;27.64;73.75;2.333333;
83743;06/02/1961;1200;;24.5;;;;
83743;07/02/1961;0000;31.3;;27.18;74.5;1.766667;
83743;07/02/1961;1200;;25.1;;;;
83743;08/02/1961;0000;32;;27.64;76.25;1.5;
83743;08/02/1961;1200;;24.4;;;;
83743;09/02/1961;0000;29.6;;27.16;79;1.666667;
83743;09/02/1961;1200;;25.2;;;;
83743;10/02/1961;0000;28.3;;26.1;80.75;1.933333;
83743;10/02/1961;1200;;23.9;;;;
83743;11/02/1961;0000;31.8;;28.36;72.5;2;
83743;11/02/1961;1200;;23.4;;;;
83743;12/02/1961;0000;29.6;;26.18;73.25;1.1;
83743;12/02/1961;1200;;23.1;;;;
83743;13/02/1961;0000;26.1;;24.3;85.5;2.333333;
83743;13/02/1961;1200;;23.6;;;;
83743;14/02/1961;0000;24.5;;21.98;82.5;0.333333;
83743;14/02/1961;1200;;20.2;;;;
83743;15/02/1961;0000;23.9;;22.34;89;0.666667;
83743;15/02/1961;1200;;21.1;;;;
83743;16/02/1961;0000;27.2;;23.72;85.25;2.666667;
83743;16/02/1961;1200;;21.4;;;;
83743;17/02/1961;0000;28.4;;25;81.5;3.366667;
83743;17/02/1961;1200;;22.5;;;;
83743;18/02/1961;0000;29.2;;25.94;79.75;1.333333;
83743;18/02/1961;1200;;23.5;;;;
83743;19/02/1961;0000;27.7;;25.98;77.25;3.333333;
83743;19/02/1961;1200;;23.5;;;;
83743;20/02/1961;0000;28.7;;25.76;72;1.5;
83743;20/02/1961;1200;;22.9;;;;
83743;21/02/1961;0000;32.5;;27.08;70.25;1.7;
83743;21/02/1961;1200;;23.4;;;;
83743;22/02/1961;0000;34.1;;28.3;68.25;2.166667;
83743;22/02/1961;1200;;24.6;;;;
83743;23/02/1961;0000;31.6;;25.62;81.75;0.6;
83743;23/02/1961;1200;;22.1;;;;
83743;24/02/1961;0000;30.5;;26.82;74.25;0.866667;
83743;24/02/1961;1200;;22.8;;;;
83743;25/02/1961;0000;34.5;;28.84;66.5;3.466667;
83743;25/02/1961;1200;;24.9;;;;
83743;26/02/1961;0000;35.3;;29.86;59.25;1.5;
83743;26/02/1961;1200;;25.2;;;;
83743;27/02/1961;0000;36.4;;29.06;72.25;1.9;
83743;27/02/1961;1200;;26.1;;;;
83743;28/02/1961;0000;29.1;;26.78;82.75;2.166667;
83743;28/02/1961;1200;;25.6;;;;
83743;01/03/1961;0000;26.4;;24.6;89.5;2.766667;
83743;01/03/1961;1200;;23;;;;
83743;02/03/1961;0000;27;;24.32;70.5;2;
83743;02/03/1961;1200;;22.7;;;;
83743;03/03/1961;0000;26.1;;23.56;77.75;2.833333;
83743;03/03/1961;1200;;20.8;;;;
83743;04/03/1961;0000;27;;24.76;78.75;2.333333;
83743;04/03/1961;1200;;21.5;;;;
83743;05/03/1961;0000;29.2;;26.12;78.75;2.333333;
83743;05/03/1961;1200;;23.1;;;;
83743;06/03/1961;0000;27.6;;24.84;80;1.566667;
83743;06/03/1961;1200;;22.6;;;;
83743;07/03/1961;0000;25.7;;24.18;90.75;0;
83743;07/03/1961;1200;;23.1;;;;
83743;08/03/1961;0000;31.3;;26.86;71.5;0;
83743;08/03/1961;1200;;23.4;;;;
83743;09/03/1961;0000;28.9;;26.34;77.5;3.466667;
83743;09/03/1961;1200;;24;;;;
83743;10/03/1961;0000;29.1;;26.18;81.25;4;
83743;10/03/1961;1200;;23.3;;;;
83743;11/03/1961;0000;29.8;;26.88;82.75;2.666667;
83743;11/03/1961;1200;;24.3;;;;
83743;12/03/1961;0000;30.3;;25.5;86.5;4.133333;
83743;12/03/1961;1200;;23.3;;;;
83743;13/03/1961;0000;33.5;;28.52;75.25;0;
83743;13/03/1961;1200;;23;;;;
83743;14/03/1961;0000;32.2;;27.74;78.5;2.233333;
83743;14/03/1961;1200;;25.3;;;;
83743;15/03/1961;0000;29.5;;26.78;82.75;2.666667;
83743;15/03/1961;1200;;24.7;;;;
83743;16/03/1961;0000;34.3;;28.92;75;0.333333;
83743;16/03/1961;1200;;24.5;;;;
83743;17/03/1961;0000;35.4;;30.4;70.5;0.6;
83743;17/03/1961;1200;;26.7;;;;
83743;18/03/1961;0000;30.9;;27.14;82.25;2.666667;
83743;18/03/1961;1200;;25.8;;;;
83743;19/03/1961;0000;30.6;;26.74;84.5;1.666667;
83743;19/03/1961;1200;;24.6;;;;
83743;20/03/1961;0000;29.8;;26.52;82.5;2.233333;
83743;20/03/1961;1200;;24;;;;
83743;21/03/1961;0000;31.6;;28.1;75.25;1;
83743;21/03/1961;1200;;24.3;;;;
83743;22/03/1961;0000;30.2;;27.06;82;2.333333;
83743;22/03/1961;1200;;24.1;;;;
83743;23/03/1961;0000;30.1;;26.92;75.5;1.533333;
83743;23/03/1961;1200;;24.1;;;;
83743;24/03/1961;0000;31.2;;26.86;75;2;
83743;24/03/1961;1200;;23.7;;;;
83743;25/03/1961;0000;29.5;;26.6;69.75;1;
83743;25/03/1961;1200;;23.5;;;;
83743;26/03/1961;0000;30.9;;26.62;75.25;1.766667;
83743;26/03/1961;1200;;23.5;;;;
83743;27/03/1961;0000;26.3;;23.44;74;1.666667;
83743;27/03/1961;1200;;21.8;;;;
83743;28/03/1961;0000;24.9;;22;73;2.433333;
83743;28/03/1961;1200;;19.4;;;;
83743;29/03/1961;0000;25.3;;22.3;72.25;1.666667;
83743;29/03/1961;1200;;19.3;;;;
83743;30/03/1961;0000;26.1;;22.34;74;0.833333;
83743;30/03/1961;1200;;18.6;;;;
83743;31/03/1961;0000;26.2;;23.22;69.5;1.333333;
83743;31/03/1961;1200;;20.1;;;;
83743;01/04/1961;0000;29;;24.2;68;1.666667;
83743;01/04/1961;1200;;20.5;;;;
83743;02/04/1961;0000;31.3;;26.42;59.25;0;
83743;02/04/1961;1200;;21.8;;;;
83743;03/04/1961;0000;34.6;;28.52;57.25;0.766667;
83743;03/04/1961;1200;;23.2;;;;
83743;04/04/1961;0000;34.7;;29.42;60;0;
83743;04/04/1961;1200;;24.7;;;;
83743;05/04/1961;0000;32.4;;27.18;74.5;2.566667;
83743;05/04/1961;1200;;24.4;;;;
83743;06/04/1961;0000;30.1;;25.56;80.25;0.666667;
83743;06/04/1961;1200;;22.4;;;;
83743;07/04/1961;0000;24.6;;23.04;92.25;2.166667;
83743;07/04/1961;1200;;22;;;;
83743;08/04/1961;0000;26.6;;24.66;86.5;1;
83743;08/04/1961;1200;;22.2;;;;
83743;09/04/1961;0000;28.8;;26.34;77.75;1;
83743;09/04/1961;1200;;23.5;;;;
83743;10/04/1961;0000;29.5;;26.2;80.5;1.7;
83743;10/04/1961;1200;;24.3;;;;
83743;11/04/1961;0000;29.2;;26.58;80;1.333333;
83743;11/04/1961;1200;;23.8;;;;
83743;12/04/1961;0000;32.8;;28.6;68.25;1.166667;
83743;12/04/1961;1200;;24.3;;;;
83743;13/04/1961;0000;31.6;;28.48;70.5;1.133333;
83743;13/04/1961;1200;;24.7;;;;
83743;14/04/1961;0000;30.1;;26.82;81;1.3;
83743;14/04/1961;1200;;24.5;;;;
