--------------------
BDMEP - INMET
--------------------
Estação           : LONDRINA - PR (OMM: 83766)
Latitude  (graus) : -23.31
Longitude (graus) : -51.13
Altitude  (metros): 566.00
Estação Operante
Inicio de operação: 11/12/1953
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83766;01/01/1961;0000;21.9;;20.36;93.75;1.333333;
83766;01/01/1961;1200;;18.4;;;;
83766;02/01/1961;0000;30.4;;24.64;76.25;1.666667;
83766;02/01/1961;1200;;19.8;;;;
83766;03/01/1961;0000;32;;25.48;74.75;1;
83766;03/01/1961;1200;;20.8;;;;
83766;04/01/1961;0000;31;;23.72;84.25;1.666667;
83766;04/01/1961;1200;;19.4;;;;
83766;05/01/1961;0000;30;;24.92;75.25;2.666667;
83766;05/01/1961;1200;;21;;;;
83766;06/01/1961;0000;25.9;;21.9;92.75;2;
83766;06/01/1961;1200;;19.9;;;;
83766;07/01/1961;0000;26.8;;22.22;84.25;2.333333;
83766;07/01/1961;1200;;18.7;;;;
83766;08/01/1961;0000;25.2;;22.24;85;3.333333;
83766;08/01/1961;1200;;18.7;;;;
83766;09/01/1961;0000;27.8;;23.08;81.75;2;
83766;09/01/1961;1200;;17.9;;;;
83766;10/01/1961;0000;31.6;;24.22;78.25;2;
83766;10/01/1961;1200;;20.9;;;;
83766;11/01/1961;0000;30;;24.24;80.5;4.666667;
83766;11/01/1961;1200;;19.2;;;;
83766;12/01/1961;0000;30.3;;24.22;74.75;1.666667;
83766;12/01/1961;1200;;18.5;;;;
83766;13/01/1961;0000;28.9;;23.72;74.25;3.333333;
83766;13/01/1961;1200;;19.4;;;;
83766;14/01/1961;0000;30.4;;25.08;76.75;2.333333;
83766;14/01/1961;1200;;21.4;;;;
83766;15/01/1961;0000;29.9;;24.14;89.5;1.333333;
83766;15/01/1961;1200;;20.2;;;;
83766;16/01/1961;0000;31;;24.36;84.5;1.333333;
83766;16/01/1961;1200;;19.7;;;;
83766;17/01/1961;0000;30.5;;25.26;86.5;1.333333;
83766;17/01/1961;1200;;20.7;;;;
83766;18/01/1961;0000;29.9;;23.2;92;1.666667;
83766;18/01/1961;1200;;20.6;;;;
83766;19/01/1961;0000;31.4;;23.42;86.75;1.333333;
