--------------------
BDMEP - INMET
--------------------
Estação           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Estação Operante
Inicio de operação: 01/12/1953
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83767;01/01/1961;0000;22.7;;21.06;98.75;1.666667;
83767;01/01/1961;1200;;19.6;;;;
83767;02/01/1961;0000;27.2;;23.6;81.5;0.666667;
83767;02/01/1961;1200;;18.2;;;;
83767;03/01/1961;0000;32.6;;24.72;75.25;0.666667;
83767;03/01/1961;1200;;18.4;;;;
83767;04/01/1961;0000;33;;26.26;69.75;1.333333;
83767;04/01/1961;1200;;21.6;;;;
83767;05/01/1961;0000;31.2;;24.62;84.25;2.333333;
83767;05/01/1961;1200;;21.4;;;;
83767;06/01/1961;0000;28.1;;23.66;94.25;2;
83767;06/01/1961;1200;;20.9;;;;
83767;07/01/1961;0000;28.6;;22.92;80.25;0.666667;
83767;07/01/1961;1200;;19.8;;;;
83767;08/01/1961;0000;29.2;;23.04;76.25;1;
83767;08/01/1961;1200;;19.3;;;;
83767;09/01/1961;0000;32;;24.32;73.75;1.333333;
83767;09/01/1961;1200;;19.7;;;;
83767;10/01/1961;0000;33.8;;26.02;67.5;1.666667;
83767;10/01/1961;1200;;19.4;;;;
83767;11/01/1961;0000;34.2;;26.2;63.5;2.333333;
83767;11/01/1961;1200;;19.6;;;;
83767;12/01/1961;0000;32;;24.22;67.75;1.666667;
83767;12/01/1961;1200;;18.8;;;;
83767;13/01/1961;0000;30.7;;24.88;70.25;1.666667;
83767;13/01/1961;1200;;19.7;;;;
83767;14/01/1961;0000;31.3;;25.8;69.25;1;
83767;14/01/1961;1200;;20.3;;;;
83767;15/01/1961;0000;30.4;;25.56;76.5;1.333333;
83767;15/01/1961;1200;;21.4;;;;
83767;16/01/1961;0000;29.8;;25.4;75.25;0.666667;
83767;16/01/1961;1200;;20.2;;;;
83767;17/01/1961;0000;30.6;;25.7;80;1;
83767;17/01/1961;1200;;21.6;;;;
83767;18/01/1961;0000;30.9;;25.5;77.5;2.333333;
83767;18/01/1961;1200;;22;;;;
83767;19/01/1961;0000;32;;25.68;68.5;1;
83767;19/01/1961;1200;;20.1;;;;
83767;20/01/1961;0000;31.2;;25.44;77.75;1.666667;
83767;20/01/1961;1200;;20.8;;;;
83767;21/01/1961;0000;32.2;;26.06;65;2.333333;
83767;21/01/1961;1200;;20.2;;;;
83767;22/01/1961;0000;32.6;;26.26;65.25;2;
83767;22/01/1961;1200;;20.4;;;;
83767;23/01/1961;0000;33.7;;26.66;64.75;2.333333;
83767;23/01/1961;1200;;19.8;;;;
83767;24/01/1961;0000;34.2;;26.82;64.5;1.333333;
83767;24/01/1961;1200;;20.6;;;;
83767;25/01/1961;0000;33;;25.84;57.5;1.666667;
83767;25/01/1961;1200;;20.1;;;;
83767;26/01/1961;0000;32;;25.34;64.75;1.666667;
83767;26/01/1961;1200;;19.8;;;;
83767;27/01/1961;0000;25;;19.18;92.25;1.333333;
83767;27/01/1961;1200;;16.3;;;;
83767;28/01/1961;0000;21.3;;18.6;87;1.333333;
83767;28/01/1961;1200;;16.2;;;;
83767;29/01/1961;0000;25.4;;21.26;76.25;0.666667;
83767;29/01/1961;1200;;17.9;;;;
83767;30/01/1961;0000;28.1;;23.66;72;1.333333;
83767;30/01/1961;1200;;18.7;;;;
83767;31/01/1961;0000;31;;25.36;69;1.333333;
83767;31/01/1961;1200;;19.6;;;;
83767;01/02/1961;0000;33.8;;26.32;67;1;
83767;01/02/1961;1200;;20.2;;;;
83767;02/02/1961;0000;33.7;;27.14;64.5;1.666667;
83767;02/02/1961;1200;;21;;;;
83767;03/02/1961;0000;34.2;;25.54;78.75;2.333333;
83767;03/02/1961;1200;;21.4;;;;
83767;04/02/1961;0000;28.4;;24.12;79.75;1.666667;
83767;04/02/1961;1200;;20.4;;;;
83767;05/02/1961;0000;32.1;;23.9;77.5;2.666667;
83767;05/02/1961;1200;;20;;;;
83767;06/02/1961;0000;26.2;;22.42;82.75;1;
83767;06/02/1961;1200;;17.9;;;;
83767;07/02/1961;0000;33.2;;25.6;69.25;2.666667;
83767;07/02/1961;1200;;19.4;;;;
83767;08/02/1961;0000;30.2;;24.52;81;1.333333;
83767;08/02/1961;1200;;21.4;;;;
83767;09/02/1961;0000;30.5;;24.76;74.75;1.333333;
83767;09/02/1961;1200;;19.5;;;;
83767;10/02/1961;0000;32;;25.9;70;1;
83767;10/02/1961;1200;;20.3;;;;
83767;11/02/1961;0000;31.2;;23.66;87.5;1.666667;
83767;11/02/1961;1200;;20;;;;
83767;12/02/1961;0000;32.2;;24.52;82.75;2;
83767;12/02/1961;1200;;19.2;;;;
83767;13/02/1961;0000;33.2;;26.04;71.75;0.333333;
83767;13/02/1961;1200;;19.9;;;;
83767;14/02/1961;0000;28.7;;24.12;67.75;1.333333;
83767;14/02/1961;1200;;19.6;;;;
83767;15/02/1961;0000;28;;23.18;79.25;0.666667;
83767;15/02/1961;1200;;19.4;;;;
83767;16/02/1961;0000;29.8;;23.72;68.5;1.333333;
83767;16/02/1961;1200;;19.1;;;;
