--------------------
BDMEP - INMET
--------------------
Estação           : CAMPO MOURAO - PR (OMM: 83783)
Latitude  (graus) : -24.05
Longitude (graus) : -52.36
Altitude  (metros): 616.40
Estação Operante
Inicio de operação: 02/04/1958
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83783;02/01/1961;0000;31.5;;24.1;77;1.433333;
83783;02/01/1961;1200;;16.3;;;;
83783;03/01/1961;0000;32.2;;24.68;79.5;0.666667;
83783;03/01/1961;1200;;18.5;;;;
83783;04/01/1961;0000;32.8;;25.54;66.25;1.666667;
83783;04/01/1961;1200;;17.2;;;;
83783;05/01/1961;0000;30.4;;24.58;77.5;3.333333;
83783;05/01/1961;1200;;18.5;;;;
83783;06/01/1961;0000;25.1;;21.52;89;4;
83783;06/01/1961;1200;;19.4;;;;
83783;07/01/1961;0000;26.8;;22.64;80.5;0.666667;
83783;07/01/1961;1200;;16.6;;;;
83783;08/01/1961;0000;24;;21.48;90.5;2.333333;
83783;08/01/1961;1200;;19.1;;;;
83783;09/01/1961;0000;29.6;;24.38;83.25;2.333333;
83783;09/01/1961;1200;;19.3;;;;
83783;10/01/1961;0000;31.9;;23.46;75;3.333333;
83783;10/01/1961;1200;;19.5;;;;
83783;11/01/1961;0000;33.3;;24.84;70.5;2.333333;
83783;11/01/1961;1200;;15.8;;;;
83783;12/01/1961;0000;31.9;;25.18;65.5;4.666667;
83783;12/01/1961;1200;;19.5;;;;
83783;13/01/1961;0000;29.9;;24.04;70.25;4.333333;
83783;13/01/1961;1200;;18;;;;
83783;14/01/1961;0000;31.1;;24.54;78;3.333333;
83783;14/01/1961;1200;;18;;;;
83783;15/01/1961;0000;31.4;;25.52;83.75;2.333333;
83783;15/01/1961;1200;;19.8;;;;
83783;16/01/1961;0000;29.8;;23.54;89.75;3;
83783;16/01/1961;1200;;17.8;;;;
83783;17/01/1961;0000;33.4;;23.66;84;1.666667;
83783;17/01/1961;1200;;18.3;;;;
83783;18/01/1961;0000;29.7;;22.74;88.25;3;
83783;18/01/1961;1200;;19.5;;;;
83783;19/01/1961;0000;29.3;;23.16;84.5;3.333333;
83783;19/01/1961;1200;;18.6;;;;
83783;20/01/1961;0000;32.9;;26.76;76.75;1;
83783;20/01/1961;1200;;20.8;;;;
83783;21/01/1961;0000;30.2;;24.38;84.75;2.666667;
83783;21/01/1961;1200;;19.9;;;;
83783;22/01/1961;0000;31.8;;24.6;77.25;2;
83783;22/01/1961;1200;;19.9;;;;
83783;23/01/1961;0000;31.9;;25.12;77;2.666667;
83783;23/01/1961;1200;;19;;;;
83783;24/01/1961;0000;33.3;;25.54;69.75;3;
83783;24/01/1961;1200;;17.5;;;;
83783;25/01/1961;0000;33.1;;24.96;78.25;1.333333;
83783;25/01/1961;1200;;19.4;;;;
83783;26/01/1961;0000;28.7;;21.04;74;5.666667;
83783;26/01/1961;1200;;17;;;;
83783;27/01/1961;0000;18.6;;15.9;94;4.666667;
83783;27/01/1961;1200;;13.4;;;;
83783;28/01/1961;0000;22.1;;17.86;87;3.333333;
83783;28/01/1961;1200;;14.5;;;;
83783;29/01/1961;0000;27.9;;20.78;82.75;3.333333;
83783;29/01/1961;1200;;14.4;;;;
83783;30/01/1961;0000;30.4;;22.14;73.5;2.666667;
83783;30/01/1961;1200;;14;;;;
83783;31/01/1961;0000;32.8;;24.82;65.5;1;
83783;31/01/1961;1200;;21.1;;;;
83783;01/02/1961;0000;33.2;;24.76;69.5;3;
83783;01/02/1961;1200;;15.7;;;;
