--------------------
BDMEP - INMET
--------------------
Estação           : IVAI - PR (OMM: 83811)
Latitude  (graus) : -25
Longitude (graus) : -50.86
Altitude  (metros): 808.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83811;01/01/1961;0000;22.1;;20.68;91.75;1.666667;
83811;01/01/1961;1200;;16.6;;;;
83811;02/01/1961;0000;29.9;;22.8;87.5;1.666667;
83811;02/01/1961;1200;;17.1;;;;
83811;03/01/1961;0000;31.6;;22.78;81;3.666667;
83811;03/01/1961;1200;;16.8;;;;
83811;04/01/1961;0000;31.7;;23.18;77.75;2.333333;
83811;04/01/1961;1200;;16.8;;;;
83811;05/01/1961;0000;29.3;;23.02;85.75;4;
83811;05/01/1961;1200;;18.8;;;;
83811;06/01/1961;0000;25.8;;21.24;84.75;2.333333;
83811;06/01/1961;1200;;17.8;;;;
83811;07/01/1961;0000;26.9;;21.22;75.75;4;
83811;07/01/1961;1200;;14.8;;;;
83811;08/01/1961;0000;25.9;;20.08;82;6.333333;
83811;08/01/1961;1200;;14.5;;;;
83811;09/01/1961;0000;28.3;;22.26;84;4;
83811;09/01/1961;1200;;17.3;;;;
83811;10/01/1961;0000;29.9;;22.48;85;3;
83811;10/01/1961;1200;;17.6;;;;
83811;11/01/1961;0000;38.2;;24.36;84.25;3.666667;
83811;11/01/1961;1200;;16.1;;;;
83811;12/01/1961;0000;30.1;;23.24;79.75;5;
83811;12/01/1961;1200;;18.5;;;;
83811;13/01/1961;0000;30.8;;23.06;71.75;3.333333;
83811;13/01/1961;1200;;16.2;;;;
83811;14/01/1961;0000;30.8;;23.24;73.5;2;
83811;14/01/1961;1200;;17.3;;;;
83811;15/01/1961;0000;31.4;;24.18;79.5;2.666667;
83811;15/01/1961;1200;;18.7;;;;
83811;16/01/1961;0000;31.7;;23.76;80.25;2.666667;
83811;16/01/1961;1200;;18.3;;;;
83811;17/01/1961;0000;29.4;;22.54;81.5;2.333333;
83811;17/01/1961;1200;;17.4;;;;
83811;18/01/1961;0000;29.9;;22.42;85.25;2;
83811;18/01/1961;1200;;17.6;;;;
83811;19/01/1961;0000;29.6;;22.6;88;1.333333;
83811;19/01/1961;1200;;18.3;;;;
83811;20/01/1961;0000;31.9;;23.3;84;2.333333;
83811;20/01/1961;1200;;17.7;;;;
83811;21/01/1961;0000;32.5;;24.5;80;2;
83811;21/01/1961;1200;;19.7;;;;
83811;22/01/1961;0000;30.1;;23.22;75;2.333333;
83811;22/01/1961;1200;;16.7;;;;
83811;23/01/1961;0000;28.6;;22.48;79.75;3.333333;
83811;23/01/1961;1200;;18.7;;;;
83811;24/01/1961;0000;29.9;;22.02;73.5;2.333333;
83811;24/01/1961;1200;;16.3;;;;
83811;25/01/1961;0000;30.8;;21.74;65;3.666667;
83811;25/01/1961;1200;;14;;;;
83811;26/01/1961;0000;23.3;;17.64;86.25;8.333333;
83811;26/01/1961;1200;;14.8;;;;
83811;27/01/1961;0000;17.9;;15.8;90;4.333333;
83811;27/01/1961;1200;;12.6;;;;
83811;28/01/1961;0000;18.7;;16.32;96;4.333333;
83811;28/01/1961;1200;;13.8;;;;
83811;29/01/1961;0000;26.9;;19.4;80;2;
83811;29/01/1961;1200;;14;;;;
83811;30/01/1961;0000;27.7;;20.5;80;1.666667;
83811;30/01/1961;1200;;15.3;;;;
