--------------------
BDMEP - INMET
--------------------
Estação           : IRATI - PR (OMM: 83836)
Latitude  (graus) : -25.46
Longitude (graus) : -50.63
Altitude  (metros): 836.95
Estação Operante
Inicio de operação: 24/09/1966
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83836;24/09/1966;0000;22.4;;11.62;61.75;1;
83836;24/09/1966;1200;;1.1;;;;
83836;25/09/1966;0000;25.8;;16.54;66.75;2;
83836;25/09/1966;1200;;6.2;;;;
83836;26/09/1966;0000;27.1;;17.46;64.5;3;
83836;26/09/1966;1200;;12.6;;;;
83836;27/09/1966;0000;15.2;;9.84;88.75;4.666667;
83836;27/09/1966;1200;;0.4;;;;
83836;28/09/1966;0000;14.5;;12.16;86.25;5.666667;
83836;28/09/1966;1200;;9.3;;;;
83836;29/09/1966;0000;20.1;;14.5;86.75;3.666667;
83836;29/09/1966;1200;;10.1;;;;
83836;30/09/1966;0000;27.2;;19.52;62;3.333333;
83836;30/09/1966;1200;;12.6;;;;
83836;01/10/1966;0000;29;;19.82;63.75;2;
83836;01/10/1966;1200;;12.5;;;;
83836;02/10/1966;0000;29.1;;21.22;69.25;3;
83836;02/10/1966;1200;;14.2;;;;
83836;03/10/1966;0000;20.4;;16.96;96;4.333333;
83836;03/10/1966;1200;;14.8;;;;
83836;04/10/1966;0000;17;;14.64;84.75;8;
83836;04/10/1966;1200;;13.2;;;;
83836;05/10/1966;0000;16;;12.52;93.5;5;
83836;05/10/1966;1200;;9.4;;;;
83836;06/10/1966;0000;14;;12.88;97.25;2.333333;
83836;06/10/1966;1200;;11.2;;;;
83836;07/10/1966;0000;14.2;;13.48;93.5;1.733333;
83836;07/10/1966;1200;;12;;;;
83836;08/10/1966;0000;20;;16.12;93;0;
83836;08/10/1966;1200;;12.8;;;;
83836;09/10/1966;0000;25.4;;19;68.75;0.333333;
83836;09/10/1966;1200;;12.8;;;;
83836;10/10/1966;0000;20.5;;16.16;76.25;0.333333;
83836;10/10/1966;1200;;10.3;;;;
83836;11/10/1966;0000;28.4;;19.2;78.5;3.333333;
83836;11/10/1966;1200;;9.8;;;;
83836;12/10/1966;0000;23.1;;18.58;86.25;3.333333;
83836;12/10/1966;1200;;15;;;;
83836;13/10/1966;0000;21.4;;16.68;80.75;3;
83836;13/10/1966;1200;;13;;;;
83836;14/10/1966;0000;25.8;;20.28;78;2.666667;
83836;14/10/1966;1200;;14.8;;;;
83836;15/10/1966;0000;29.3;;19.82;78.75;5;
83836;15/10/1966;1200;;15;;;;
83836;16/10/1966;0000;20.6;;16.2;89.25;5;
83836;16/10/1966;1200;;14.2;;;;
83836;17/10/1966;0000;23;;16.98;84;3;
83836;17/10/1966;1200;;11.8;;;;
83836;18/10/1966;0000;27.2;;19.4;65.75;3.666667;
83836;18/10/1966;1200;;13.8;;;;
83836;19/10/1966;0000;21.4;;12.3;67.25;6.333333;
83836;19/10/1966;1200;;0.7;;;;
83836;20/10/1966;0000;23.3;;14.42;53.25;3;
83836;20/10/1966;1200;;4.8;;;;
83836;21/10/1966;0000;23.3;;15.42;79.75;1.666667;
83836;21/10/1966;1200;;7.6;;;;
83836;22/10/1966;0000;20.7;;14.66;97.25;2.333333;
83836;22/10/1966;1200;;12.6;;;;
83836;23/10/1966;0000;22;;15.4;63;6.333333;
83836;23/10/1966;1200;;13;;;;
83836;24/10/1966;0000;24.8;;16.32;57;3;
83836;24/10/1966;1200;;8.6;;;;
83836;25/10/1966;0000;20.2;;18.28;67;2;
83836;25/10/1966;1200;;12;;;;
83836;26/10/1966;0000;28;;20.72;74.75;3.333333;
83836;26/10/1966;1200;;12;;;;
83836;27/10/1966;0000;22.1;;17.64;89;1.666667;
83836;27/10/1966;1200;;15.3;;;;
83836;28/10/1966;0000;16.8;;12.44;95;6.333333;
83836;28/10/1966;1200;;10.6;;;;
