--------------------
BDMEP - INMET
--------------------
Estação           : PARANAGUA - PR (OMM: 83844)
Latitude  (graus) : -25.53
Longitude (graus) : -48.51
Altitude  (metros): 4.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83844;01/01/1961;0000;28.9;;23.8;91;1.466667;
83844;01/01/1961;1200;;21.5;;;;
83844;02/01/1961;0000;28.1;;24.46;85.75;0;
83844;02/01/1961;1200;;21.2;;;;
83844;03/01/1961;0000;30.6;;25.78;79.75;1.333333;
83844;03/01/1961;1200;;21.8;;;;
83844;04/01/1961;0000;29.7;;24.9;83.25;1.333333;
83844;04/01/1961;1200;;21.2;;;;
83844;05/01/1961;0000;29.1;;25.2;79.25;2.533333;
83844;05/01/1961;1200;;22.5;;;;
83844;06/01/1961;0000;29.2;;26.02;85;0.7;
83844;06/01/1961;1200;;21.7;;;;
83844;07/01/1961;0000;27.1;;23.82;72;1.133333;
83844;07/01/1961;1200;;22.1;;;;
83844;08/01/1961;0000;25.5;;23.14;75;0;
83844;08/01/1961;1200;;20;;;;
83844;09/01/1961;0000;26.6;;23.6;87.25;0;
83844;09/01/1961;1200;;20.4;;;;
83844;10/01/1961;0000;30.4;;26.02;84;1.8;
83844;10/01/1961;1200;;21.8;;;;
83844;11/01/1961;0000;27.1;;24.18;93.25;2.166667;
83844;11/01/1961;1200;;22.6;;;;
83844;12/01/1961;0000;30.1;;25.48;80.5;1.2;
83844;12/01/1961;1200;;21.4;;;;
83844;13/01/1961;0000;29.5;;26.04;82.25;1.6;
83844;13/01/1961;1200;;22.5;;;;
83844;14/01/1961;0000;30.8;;26.48;80.5;2.133333;
83844;14/01/1961;1200;;22;;;;
83844;15/01/1961;0000;31.5;;27.26;79.75;1.266667;
83844;15/01/1961;1200;;23.2;;;;
83844;16/01/1961;0000;32.9;;27.06;80.5;1.266667;
83844;16/01/1961;1200;;23.8;;;;
83844;17/01/1961;0000;35.5;;28.46;71.75;1.5;
83844;17/01/1961;1200;;23.1;;;;
83844;18/01/1961;0000;30.6;;26.34;81;0.966667;
83844;18/01/1961;1200;;23.5;;;;
83844;19/01/1961;0000;31.2;;27.02;84.5;0.633333;
83844;19/01/1961;1200;;22.9;;;;
83844;20/01/1961;0000;31.8;;27.38;78.25;0.666667;
83844;20/01/1961;1200;;22.8;;;;
83844;21/01/1961;0000;32.5;;28.28;75.5;1.033333;
83844;21/01/1961;1200;;23.5;;;;
83844;22/01/1961;0000;30.3;;25.8;84.5;2.4;
83844;22/01/1961;1200;;23;;;;
83844;23/01/1961;0000;25.9;;23.3;80;0.666667;
83844;23/01/1961;1200;;20.6;;;;
83844;24/01/1961;0000;30.6;;25.42;72.5;1.233333;
83844;24/01/1961;1200;;19.9;;;;
83844;25/01/1961;0000;30.4;;25.5;76.25;0.9;
83844;25/01/1961;1200;;21.1;;;;
83844;26/01/1961;0000;25.5;;21.02;90.75;2.3;
83844;26/01/1961;1200;;19.2;;;;
83844;27/01/1961;0000;25;;21.4;85.5;0.766667;
83844;27/01/1961;1200;;18.4;;;;
83844;28/01/1961;0000;23;;20.86;94;0;
83844;28/01/1961;1200;;19.2;;;;
83844;29/01/1961;0000;24.5;;21.14;89.5;1.266667;
83844;29/01/1961;1200;;18.8;;;;
83844;30/01/1961;0000;30.1;;24;82.75;0;
83844;30/01/1961;1200;;18.7;;;;
83844;31/01/1961;0000;31.1;;25.02;79.75;1.033333;
83844;31/01/1961;1200;;20.6;;;;
83844;01/02/1961;0000;31.7;;25.82;71;1.1;
83844;01/02/1961;1200;;19;;;;
83844;02/02/1961;0000;32.9;;25.9;81;2.066667;
83844;02/02/1961;1200;;21.2;;;;
83844;03/02/1961;0000;30.4;;26.04;82.5;0.933333;
83844;03/02/1961;1200;;21.6;;;;
83844;04/02/1961;0000;29.2;;24.76;86.75;2.1;
83844;04/02/1961;1200;;22.6;;;;
