--------------------
BDMEP - INMET
--------------------
Estação           : INDAIAL - SC (OMM: 83872)
Latitude  (graus) : -26.9
Longitude (graus) : -49.21
Altitude  (metros): 86.13
Estação Operante
Inicio de operação: 14/10/1970
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83872;14/12/1970;0000;30.6;;;;4.5;
83872;15/12/1970;0000;28.9;;23.54;72;2.666667;
83872;15/12/1970;1200;;19;;;;
83872;16/12/1970;0000;30.2;;23.44;83;0;
83872;16/12/1970;1200;;19.2;;;;
83872;17/12/1970;0000;28.8;;23.98;84.75;2;
83872;17/12/1970;1200;;20.1;;;;
83872;18/12/1970;0000;33.8;;25.58;70;3.333333;
83872;18/12/1970;1200;;20.1;;;;
83872;19/12/1970;0000;28.4;;22.36;65.75;4.666667;
83872;19/12/1970;1200;;20.4;;;;
83872;20/12/1970;0000;28.2;;22.7;65;2.666667;
83872;20/12/1970;1200;;15.9;;;;
83872;21/12/1970;0000;32.4;;24.48;68.5;2;
83872;21/12/1970;1200;;20.2;;;;
83872;22/12/1970;0000;23.2;;20.28;95.25;1;
83872;22/12/1970;1200;;19.2;;;;
83872;23/12/1970;0000;29.4;;22.7;83.25;0;
83872;23/12/1970;1200;;19.1;;;;
83872;24/12/1970;0000;31.6;;24.54;81;3.333333;
83872;24/12/1970;1200;;20.1;;;;
83872;25/12/1970;0000;32.6;;24.52;78;1;
83872;25/12/1970;1200;;21.6;;;;
83872;26/12/1970;0000;34.4;;24.76;75.25;2;
83872;26/12/1970;1200;;21;;;;
83872;27/12/1970;0000;34.4;;26.64;78.75;2.666667;
83872;27/12/1970;1200;;21;;;;
83872;28/12/1970;0000;36.6;;25.4;74.5;1;
83872;28/12/1970;1200;;21.2;;;;
83872;29/12/1970;0000;27.6;;22.28;87;2.666667;
83872;29/12/1970;1200;;20;;;;
83872;30/12/1970;0000;22.6;;20.5;91;1;
83872;30/12/1970;1200;;18.3;;;;
83872;31/12/1970;0000;32.6;;24.56;73.75;3;
83872;31/12/1970;1200;;19.2;;;;
83872;01/01/1971;0000;24;;20.48;92;1;
83872;01/01/1971;1200;;19;;;;
83872;02/01/1971;0000;22.4;;19.6;94.25;1;
83872;02/01/1971;1200;;18.2;;;;
83872;03/01/1971;0000;24;;20.8;89.5;1.666667;
83872;03/01/1971;1200;;18;;;;
83872;04/01/1971;0000;31.8;;23.72;82.25;1;
83872;04/01/1971;1200;;20.2;;;;
83872;05/01/1971;0000;26.6;;21.9;94;3;
83872;05/01/1971;1200;;20.1;;;;
83872;06/01/1971;0000;25.2;;21.32;84.5;1.333333;
83872;06/01/1971;1200;;19;;;;
83872;07/01/1971;0000;28;;23.68;88;0;
83872;07/01/1971;1200;;20.6;;;;
83872;08/01/1971;0000;31;;25.56;86.25;2;
83872;08/01/1971;1200;;22;;;;
83872;09/01/1971;0000;34.2;;26.92;73;3;
83872;09/01/1971;1200;;23.2;;;;
83872;10/01/1971;0000;32.2;;24.04;82.75;3.666667;
83872;10/01/1971;1200;;21.4;;;;
83872;11/01/1971;0000;32.7;;24.26;82;0;
83872;11/01/1971;1200;;19.8;;;;
83872;12/01/1971;0000;32;;24.72;84.75;0;
83872;12/01/1971;1200;;21;;;;
83872;13/01/1971;0000;32.1;;24.86;86.5;3;
83872;13/01/1971;1200;;21.8;;;;
83872;14/01/1971;0000;29.4;;23.72;70.5;1;
83872;14/01/1971;1200;;21.6;;;;
83872;15/01/1971;0000;30;;22.88;67.75;1;
83872;15/01/1971;1200;;16.6;;;;
83872;16/01/1971;0000;29;;22.88;67.25;1.666667;
83872;16/01/1971;1200;;16.8;;;;
83872;17/01/1971;0000;26.2;;21.88;82;0;
83872;17/01/1971;1200;;19;;;;
83872;18/01/1971;0000;31.6;;24.28;75.75;2.666667;
83872;18/01/1971;1200;;18.2;;;;
83872;19/01/1971;0000;32.6;;25.84;75.75;2;
83872;19/01/1971;1200;;21.2;;;;
83872;20/01/1971;0000;36;;27.04;74.25;1;
83872;20/01/1971;1200;;23.2;;;;
83872;21/01/1971;0000;32.2;;26.16;76;2;
83872;21/01/1971;1200;;22;;;;
83872;22/01/1971;0000;34.8;;25.92;79.75;1;
83872;22/01/1971;1200;;22.2;;;;
83872;23/01/1971;0000;35.8;;28.28;77.5;1;
83872;23/01/1971;1200;;23;;;;
83872;24/01/1971;0000;39;;29.92;60.75;2.666667;
83872;24/01/1971;1200;;25;;;;
83872;25/01/1971;0000;38.8;;29.04;66.5;2.666667;
83872;25/01/1971;1200;;23;;;;
83872;26/01/1971;0000;38;;27.52;74;2;
83872;26/01/1971;1200;;23.2;;;;
83872;27/01/1971;0000;37.3;;27.06;65.75;1;
83872;27/01/1971;1200;;22;;;;
83872;28/01/1971;0000;35.6;;27.36;67.75;2.666667;
83872;28/01/1971;1200;;20.8;;;;
83872;29/01/1971;0000;34.2;;28.24;70.5;1;
83872;29/01/1971;1200;;22.8;;;;
83872;30/01/1971;0000;33.2;;24.88;77;3.333333;
83872;30/01/1971;1200;;21.4;;;;
83872;31/01/1971;0000;34.3;;25.46;78;3;
83872;31/01/1971;1200;;21;;;;
83872;01/02/1971;0000;31.8;;26.32;77;2;
83872;01/02/1971;1200;;22.2;;;;
83872;02/02/1971;0000;35.8;;27.76;67;1;
83872;02/02/1971;1200;;22.4;;;;
83872;03/02/1971;0000;37;;26.72;75.25;2;
83872;03/02/1971;1200;;22.4;;;;
83872;04/02/1971;0000;35.4;;27.6;76.25;1;
83872;04/02/1971;1200;;21.8;;;;
83872;05/02/1971;0000;34.8;;27.6;75.25;2;
83872;05/02/1971;1200;;22.6;;;;
83872;06/02/1971;0000;35.6;;26.08;82.25;2.666667;
83872;06/02/1971;1200;;23;;;;
83872;07/02/1971;0000;32.4;;26.44;78.25;2;
83872;07/02/1971;1200;;22.8;;;;
83872;08/02/1971;0000;34.3;;25.98;82.25;1;
83872;08/02/1971;1200;;22.4;;;;
83872;09/02/1971;0000;33.4;;25;84.75;0;
83872;09/02/1971;1200;;21.8;;;;
83872;10/02/1971;0000;32.3;;24.62;93.5;1;
83872;10/02/1971;1200;;21.6;;;;
83872;11/02/1971;0000;31;;24.72;83.75;1;
83872;11/02/1971;1200;;21.6;;;;
83872;12/02/1971;0000;33.6;;26.04;85.25;0;
83872;12/02/1971;1200;;22.8;;;;
83872;13/02/1971;0000;35.3;;27.26;76.25;1.666667;
83872;13/02/1971;1200;;22.6;;;;
83872;14/02/1971;0000;34.8;;26.64;80;1;
83872;14/02/1971;1200;;21.6;;;;
83872;15/02/1971;0000;33.6;;27;77.5;1.666667;
83872;15/02/1971;1200;;23;;;;
83872;16/02/1971;0000;30.8;;25.12;86.25;0;
83872;16/02/1971;1200;;22;;;;
83872;17/02/1971;0000;33.6;;26.88;74.5;2;
83872;17/02/1971;1200;;22;;;;
83872;18/02/1971;0000;34;;27.36;75.5;1;
83872;18/02/1971;1200;;23.4;;;;
83872;19/02/1971;0000;35.7;;26.7;80.25;5;
83872;19/02/1971;1200;;22.8;;;;
83872;20/02/1971;0000;27.1;;22.82;87.25;1;
83872;20/02/1971;1200;;20.8;;;;
83872;21/02/1971;0000;21.8;;20.36;92.5;0;
83872;21/02/1971;1200;;19.4;;;;
